year,quarter,period,start_date,end_date,merged_available,unmerged_available
2018,Q1,2018-Q1,2018-01-01,2018-03-31,29,15
2018,Q2,2018-Q2,2018-04-01,2018-06-30,55,22
2018,Q3,2018-Q3,2018-07-01,2018-09-30,17,12
2018,Q4,2018-Q4,2018-10-01,2018-12-31,28,22
2019,Q1,2019-Q1,2019-01-01,2019-03-31,21,10
2019,Q2,2019-Q2,2019-04-01,2019-06-30,59,22
2019,Q3,2019-Q3,2019-07-01,2019-09-30,25,15
2019,Q4,2019-Q4,2019-10-01,2019-12-31,18,12
2020,Q1,2020-Q1,2020-01-01,2020-03-31,21,11
2020,Q2,2020-Q2,2020-04-01,2020-06-30,29,21
2020,Q3,2020-Q3,2020-07-01,2020-09-30,44,17
2020,Q4,2020-Q4,2020-10-01,2020-12-31,24,26
2021,Q1,2021-Q1,2021-01-01,2021-03-31,36,16
2021,Q2,2021-Q2,2021-04-01,2021-06-30,82,36
2021,Q3,2021-Q3,2021-07-01,2021-09-30,32,17
