year,quarter,period,start_date,end_date,merged_available,unmerged_available
2018,Q1,2018-Q1,2018-01-01,2018-03-31,29,15
2018,Q2,2018-Q2,2018-04-01,2018-06-30,55,22
2018,Q3,2018-Q3,2018-07-01,2018-09-30,17,12
2018,Q4,2018-Q4,2018-10-01,2018-12-31,28,22
2019,Q1,2019-Q1,2019-01-01,2019-03-31,21,10
2019,Q2,2019-Q2,2019-04-01,2019-06-30,59,22
2019,Q3,2019-Q3,2019-07-01,2019-09-30,25,15
2019,Q4,2019-Q4,2019-10-01,2019-12-31,18,12
2020,Q1,2020-Q1,2020-01-01,2020-03-31,21,11
2020,Q2,2020-Q2,2020-04-01,2020-06-30,29,21
2020,Q3,2020-Q3,2020-07-01,2020-09-30,44,17
2020,Q4,2020-Q4,2020-10-01,2020-12-31,24,26
2021,Q1,2021-Q1,2021-01-01,2021-03-31,36,16
2021,Q2,2021-Q2,2021-04-01,2021-06-30,82,36
2021,Q3,2021-Q3,2021-07-01,2021-09-30,32,17
2021,Q4,2021-Q4,2021-10-01,2021-12-31,28,42
2022,Q1,2022-Q1,2022-01-01,2022-03-31,28,18
2022,Q2,2022-Q2,2022-04-01,2022-06-30,46,18
2022,Q3,2022-Q3,2022-07-01,2022-09-30,41,24
2022,Q4,2022-Q4,2022-10-01,2022-12-31,16,25
2023,Q1,2023-Q1,2023-01-01,2023-03-31,32,15
2023,Q2,2023-Q2,2023-04-01,2023-06-30,43,22
2023,Q3,2023-Q3,2023-07-01,2023-09-30,22,20
2023,Q4,2023-Q4,2023-10-01,2023-12-31,14,24
2024,Q1,2024-Q1,2024-01-01,2024-03-31,12,13
2024,Q2,2024-Q2,2024-04-01,2024-06-30,19,15
2024,Q3,2024-Q3,2024-07-01,2024-09-30,9,17
2024,Q4,2024-Q4,2024-10-01,2024-12-31,19,6
2025,Q1,2025-Q1,2025-01-01,2025-03-31,6,14
2025,Q2,2025-Q2,2025-04-01,2025-06-30,9,25
2025,Q3,2025-Q3,2025-07-01,2025-09-30,9,28
2025,Q4,2025-Q4,2025-10-01,2025-12-31,4,33
2026,Q1,2026-Q1,2026-01-01,2026-03-31,9,43
2026,Q2,2026-Q2,2026-04-01,2026-06-30,1,45
