repository,pr_number,expected_outcome,period,period_start_date,period_end_date,created_at,html_url
pallets/flask,2575,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-01-03T10:46:23Z,https://github.com/pallets/flask/pull/2575
pallets/flask,2577,Merged,2018-Q1,2018-01-01,2018-03-31,2018-01-03T21:10:09Z,https://github.com/pallets/flask/pull/2577
pallets/flask,2579,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-01-04T16:43:16Z,https://github.com/pallets/flask/pull/2579
pallets/flask,2582,Merged,2018-Q1,2018-01-01,2018-03-31,2018-01-06T09:24:12Z,https://github.com/pallets/flask/pull/2582
pallets/flask,2588,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-01-08T19:13:50Z,https://github.com/pallets/flask/pull/2588
pallets/flask,2592,Merged,2018-Q1,2018-01-01,2018-03-31,2018-01-10T21:57:34Z,https://github.com/pallets/flask/pull/2592
pallets/flask,2600,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-01-17T08:31:36Z,https://github.com/pallets/flask/pull/2600
pallets/flask,2603,Merged,2018-Q1,2018-01-01,2018-03-31,2018-01-22T03:10:48Z,https://github.com/pallets/flask/pull/2603
pallets/flask,2609,Merged,2018-Q1,2018-01-01,2018-03-31,2018-01-28T20:08:33Z,https://github.com/pallets/flask/pull/2609
pallets/flask,2614,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-01-31T10:16:10Z,https://github.com/pallets/flask/pull/2614
pallets/flask,2619,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-02-01T22:17:24Z,https://github.com/pallets/flask/pull/2619
pallets/flask,2622,Merged,2018-Q1,2018-01-01,2018-03-31,2018-02-06T16:07:04Z,https://github.com/pallets/flask/pull/2622
pallets/flask,2630,Merged,2018-Q1,2018-01-01,2018-03-31,2018-02-12T22:32:34Z,https://github.com/pallets/flask/pull/2630
pallets/flask,2633,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-02-18T08:13:08Z,https://github.com/pallets/flask/pull/2633
pallets/flask,2637,Merged,2018-Q1,2018-01-01,2018-03-31,2018-02-24T16:04:26Z,https://github.com/pallets/flask/pull/2637
pallets/flask,2641,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-02-26T07:19:48Z,https://github.com/pallets/flask/pull/2641
pallets/flask,2650,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-03-05T09:44:20Z,https://github.com/pallets/flask/pull/2650
pallets/flask,2652,Merged,2018-Q1,2018-01-01,2018-03-31,2018-03-05T23:50:57Z,https://github.com/pallets/flask/pull/2652
pallets/flask,2672,Closed without merge,2018-Q1,2018-01-01,2018-03-31,2018-03-26T19:01:47Z,https://github.com/pallets/flask/pull/2672
pallets/flask,2676,Merged,2018-Q1,2018-01-01,2018-03-31,2018-03-29T20:58:11Z,https://github.com/pallets/flask/pull/2676
pallets/flask,2682,Closed without merge,2018-Q2,2018-04-01,2018-06-30,2018-04-06T09:25:36Z,https://github.com/pallets/flask/pull/2682
pallets/flask,2685,Merged,2018-Q2,2018-04-01,2018-06-30,2018-04-09T07:13:09Z,https://github.com/pallets/flask/pull/2685
pallets/flask,2699,Merged,2018-Q2,2018-04-01,2018-06-30,2018-04-12T18:09:00Z,https://github.com/pallets/flask/pull/2699
pallets/flask,2719,Merged,2018-Q2,2018-04-01,2018-06-30,2018-04-24T00:09:59Z,https://github.com/pallets/flask/pull/2719
pallets/flask,2730,Merged,2018-Q2,2018-04-01,2018-06-30,2018-04-27T11:44:50Z,https://github.com/pallets/flask/pull/2730
pallets/flask,2740,Closed without merge,2018-Q2,2018-04-01,2018-06-30,2018-04-28T14:03:44Z,https://github.com/pallets/flask/pull/2740
