pr_number,was_merged,split,draft,additions,deletions,total_changes,changed_files,commit_count,title_length,body_length,body_word_count,label_count,requested_reviewer_count,file_records_returned,test_files_changed,documentation_files_changed,configuration_files_changed,security_sensitive_files_changed,files_added,files_modified,files_removed,files_renamed,has_test_changes,has_documentation_changes,has_configuration_changes,has_security_sensitive_changes,commit_count_iqr_outlier,configuration_files_changed_iqr_outlier,test_files_changed_iqr_outlier,deletions_iqr_outlier,files_modified_iqr_outlier,additions_iqr_outlier,total_changes_iqr_outlier,body_length_iqr_outlier,body_word_count_iqr_outlier,files_added_iqr_outlier,changed_files_iqr_outlier,documentation_files_changed_iqr_outlier,security_sensitive_files_changed_iqr_outlier,files_removed_iqr_outlier,files_renamed_iqr_outlier,title_length_iqr_outlier,requested_reviewer_count_iqr_outlier,iqr_outlier_feature_count,has_any_iqr_outlier,log1p_body_length,log1p_body_word_count,log1p_additions,log1p_deletions,log1p_total_changes,log1p_changed_files,log1p_commit_count,has_description,has_detailed_description,short_title,very_long_description,change_density_per_file,deletion_ratio,has_zero_code_change,has_multiple_commits,created_day_of_week,created_hour_utc,created_on_weekend
2575,False,train,0.0,1.0,0.0,1.0,1.0,1.0,44.0,842.0,119.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.736966958001855,4.787491742782046,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0
2577,True,train,0.0,1.0,1.0,2.0,1.0,1.0,28.0,335.0,54.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.817111159963204,4.007333185232471,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0,1.0,0.0,0.0,2.0,0.5,0.0,0.0,2.0,21.0,0.0
2579,False,train,0.0,58.0,28.0,86.0,3.0,1.0,45.0,199.0,35.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,5.298317366548036,3.58351893845611,4.07753744390572,3.367295829986474,4.465908118654584,1.3862943611198906,0.6931471805599453,1.0,0.0,0.0,0.0,28.666666666666668,0.3255813953488372,0.0,0.0,3.0,16.0,0.0
2582,True,train,0.0,3.0,16.0,19.0,2.0,1.0,23.0,90.0,16.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.51085950651685,2.833213344056216,1.3862943611198906,2.833213344056216,2.995732273553991,1.0986122886681098,0.6931471805599453,1.0,0.0,0.0,0.0,9.5,0.8421052631578947,0.0,0.0,5.0,9.0,1.0
2588,False,train,0.0,15.0,0.0,15.0,3.0,2.0,62.0,1153.0,172.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7.050989447068045,5.153291594497779,2.772588722239781,0.0,2.772588722239781,1.3862943611198906,1.0986122886681098,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,19.0,0.0
2592,True,train,0.0,43.0,18.0,61.0,2.0,1.0,37.0,267.0,48.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.5909869805108565,3.8918202981106265,3.784189633918261,2.9444389791664403,4.127134385045092,1.0986122886681098,0.6931471805599453,1.0,0.0,0.0,0.0,30.5,0.2950819672131147,0.0,0.0,2.0,21.0,0.0
2600,False,train,0.0,180.0,2.0,182.0,5.0,6.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.198497031265826,1.0986122886681098,5.209486152841421,1.791759469228055,1.9459101490553128,0.0,0.0,1.0,0.0,36.4,0.0109890109890109,0.0,1.0,2.0,8.0,0.0
2603,True,train,0.0,3.0,3.0,6.0,1.0,1.0,29.0,85.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.454347296253507,2.70805020110221,1.3862943611198906,1.3862943611198906,1.9459101490553128,0.6931471805599453,0.6931471805599453,1.0,0.0,0.0,0.0,6.0,0.5,0.0,0.0,0.0,3.0,0.0
2609,True,train,0.0,3.0,0.0,3.0,1.0,1.0,31.0,111.0,16.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.718498871295094,2.833213344056216,1.3862943611198906,0.0,1.3862943611198906,0.6931471805599453,0.6931471805599453,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,20.0,1.0
2614,False,train,0.0,4.0,3.0,7.0,1.0,6.0,26.0,230.0,41.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.442417710521793,3.737669618283368,1.6094379124341005,1.3862943611198906,2.079441541679836,0.6931471805599453,1.9459101490553128,1.0,0.0,0.0,0.0,7.0,0.4285714285714285,0.0,1.0,2.0,10.0,0.0
