pr_number,was_merged,split,additions,deletions,total_changes,changed_files,commit_count,title_length,body_length,body_word_count,label_count,file_records_returned,test_files_changed,documentation_files_changed,configuration_files_changed,security_sensitive_files_changed,files_added,files_modified,files_removed,files_renamed,iqr_outlier_feature_count,log1p_body_length,log1p_body_word_count,log1p_additions,log1p_deletions,log1p_total_changes,log1p_changed_files,log1p_commit_count,change_density_per_file,deletion_ratio,created_day_of_week,created_hour_utc,draft,requested_reviewer_count,has_test_changes,has_documentation_changes,has_configuration_changes,has_security_sensitive_changes,commit_count_iqr_outlier,configuration_files_changed_iqr_outlier,test_files_changed_iqr_outlier,deletions_iqr_outlier,files_modified_iqr_outlier,additions_iqr_outlier,total_changes_iqr_outlier,body_length_iqr_outlier,body_word_count_iqr_outlier,files_added_iqr_outlier,changed_files_iqr_outlier,documentation_files_changed_iqr_outlier,security_sensitive_files_changed_iqr_outlier,files_removed_iqr_outlier,files_renamed_iqr_outlier,title_length_iqr_outlier,requested_reviewer_count_iqr_outlier,has_any_iqr_outlier,has_description,has_detailed_description,short_title,very_long_description,has_zero_code_change,has_multiple_commits,created_on_weekend
2575,0,train,-0.10182850941645721,-0.11150156645270311,-0.10624884197660489,-0.15347915067568513,-0.07824481063198063,0.4509563649834031,-0.08310256549167976,0.04153617999922796,-0.6697505392372824,-0.15347915067568513,-0.1580470784389542,-0.09575505810207449,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.21131873623656344,-0.09135431758701307,-0.06346514466983384,-0.7749652817779098,0.6077265938051187,0.6638632557819377,-0.8870614097166676,-0.9845249053250537,-1.1159646413151367,-0.5383567051862455,-0.32314246870482466,-0.47554994663755895,-1.5931527127555483,-0.3064735142438632,-0.4347341826684084,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2577,1,train,-0.10182850941645721,-0.11077384660104567,-0.10593741124175554,-0.15347915067568513,-0.07824481063198063,-0.5916488269650886,-0.3404569114330127,-0.34528724819286544,-0.6697505392372824,-0.15347915067568513,-0.1580470784389542,-0.19305811945291232,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.21131873623656344,-0.09135431758701307,-0.06346514466983384,-0.7749652817779098,0.1614543523975198,0.19624468784585117,-0.8870614097166676,-0.5625167073768849,-0.8767395512791257,-0.5383567051862455,-0.32314246870482466,-0.44173539720400995,0.5275215952761285,-0.3064735142438632,1.31577617017277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2579,0,train,-0.07094563843072957,-0.0911254106062949,-0.07977722951440985,-0.07865275034626523,-0.07824481063198063,0.5161191894801839,-0.4094908188255596,-0.4583587118182466,1.1381650268020076,-0.07865275034626523,0.041782560966620086,-0.19305811945291232,-0.2320713915475348,0.8648398698929615,-0.09444490577171503,-0.025172101713864917,-0.09135431758701307,-0.06346514466983384,1.3298786934213516,-0.09024082581345613,-0.05778496962654005,1.1871884556090389,1.0655829000951853,1.1099706045341018,0.43326726781991537,-0.32314246870482466,0.4599859210239644,-0.21224851217678214,0.1985764717759862,0.5200896461540525,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2582,1,train,-0.10074489990818607,-0.09985804882618413,-0.10064308874931653,-0.11606595051097518,-0.07824481063198063,-0.9174629494489922,-0.46481946519164496,-0.5714301754436277,-0.6697505392372824,-0.11606595051097518,-0.1580470784389542,-0.19305811945291232,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.11824541897521418,-0.09135431758701307,-0.06346514466983384,-0.35399648673805756,-0.4722796029342399,-0.5075099956132192,-0.4622402945223449,0.7404179224911043,0.24256440390207276,0.030006883824063718,-0.32314246870482466,-0.18812627645239216,1.9785092797188544,1.208676443815685,-0.5938714874721519,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2588,0,train,-0.0942432428585592,-0.11150156645270311,-0.10188881168871394,-0.07865275034626523,-0.07236676441752418,1.6238872059254563,0.07476173744274735,0.3569460522173964,-0.6697505392372824,-0.07865275034626523,0.24161220037219439,-0.19305811945291232,-0.2320713915475348,-0.13392533418289954,0.004733515563737508,-0.11824541897521418,-0.09135431758701307,-0.06346514466983384,0.487941103341647,0.7600760385189229,0.8831197148122863,0.38740193586630073,-0.9845249053250537,0.11090933645825053,0.43326726781991537,0.255803221450059,-0.34029174890336283,-1.5931527127555483,-1.316573486283562,0.9975015605652829,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2592,1,train,-0.07907270974276316,-0.09840260912286926,-0.08756299788564369,-0.11606595051097518,-0.07824481063198063,-0.005183406494062019,-0.37497386512928615,-0.3809940261798279,1.1381650268020076,-0.11606595051097518,0.24161220037219439,-0.19305811945291232,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.11824541897521418,-0.09135431758701307,-0.06346514466983384,-0.35399648673805756,0.05174917402518857,0.1270075176176089,1.007399303645653,0.8081353296377196,0.9100935366830583,0.030006883824063718,-0.32314246870482466,0.5219792616521376,-0.3416072194909524,-0.3064735142438632,1.31577617017277,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2600,0,train,-0.00484545842618972,-0.11004612674938824,-0.049879878968871916,-0.003826350016845344,-0.04885457955969834,-1.7645796679071417,-0.5105036686131833,-0.6666482500755276,-0.6697505392372824,-0.003826350016845344,-0.1580470784389542,-0.19305811945291232,-0.2320713915475348,-0.13392533418289954,0.10391193689919007,-0.025172101713864917,-0.09135431758701307,-0.06346514466983384,0.9089098983814993,-2.6607436936541022,-2.2057073092032726,1.8742103686252523,-0.3156577365802952,1.54868288487585,1.0016308568302243,1.4656223519725455,0.7214851033100769,-1.5465444862054019,-0.3064735142438632,-0.7530087922758953,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2603,1,train,-0.10074489990818607,-0.1093184068977308,-0.10469168830235813,-0.15347915067568513,-0.07824481063198063,-0.5264860024683079,-0.46735747649284154,-0.5833324347726152,-0.6697505392372824,-0.15347915067568513,-0.1580470784389542,-0.19305811945291232,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.21131873623656344,-0.09135431758701307,-0.06346514466983384,-0.7749652817779098,-0.49969675983523887,-0.5825314243986272,-0.4622402945223449,-0.14050850942871598,-0.37683240049076266,-0.5383567051862455,-0.32314246870482466,-0.3064771994698138,0.5275215952761285,-1.316573486283562,-1.5486953162946127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2609,1,train,-0.10074489990818607,-0.11150156645270311,-0.10562598050690619,-0.15347915067568513,-0.07824481063198063,-0.39616035347474643,-0.45415981772661934,-0.5714301754436277,1.1381650268020076,-0.15347915067568513,-0.1580470784389542,-0.19305811945291232,0.3581679857987965,-0.13392533418289954,-0.09444490577171503,-0.21131873623656344,-0.09135431758701307,-0.06346514466983384,-0.35399648673805756,-0.3715424168213535,-0.5075099956132192,-0.4622402945223449,-0.9845249053250537,-0.7070066487240076,-0.5383567051862455,-0.32314246870482466,-0.4079208477704609,-1.5931527127555483,1.7137264298355344,1.1566388653690263,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2614,0,train,-0.10020309515405049,-0.1093184068977308,-0.10438025756750878,-0.15347915067568513,-0.04885457955969834,-0.72197447595865,-0.3937551487581408,-0.42265193383128413,-0.6697505392372824,-0.15347915067568513,-0.1580470784389542,-0.19305811945291232,-0.2320713915475348,-0.13392533418289954,-0.09444490577171503,-0.21131873623656344,-0.09135431758701307,-0.06346514466983384,-0.35399648673805756,-0.020329885827108027,0.03461127399553429,-0.32547844223991174,-0.14050850942871598,-0.2980486561328784,-0.5383567051862455,1.4656223519725455,-0.2726626500362647,0.22456812270017432,-0.3064735142438632,-0.4347341826684084,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
