pr_number,split,merge_delay_target,additions,additions_iqr_outlier,body_length,body_length_iqr_outlier,body_word_count,body_word_count_iqr_outlier,change_density_per_file,changed_files,changed_files_iqr_outlier,commit_count,commit_count_iqr_outlier,configuration_files_changed,configuration_files_changed_iqr_outlier,created_day_of_week,created_hour_utc,created_on_weekend,deletion_ratio,deletions,deletions_iqr_outlier,documentation_files_changed,documentation_files_changed_iqr_outlier,files_added,files_added_iqr_outlier,files_modified,files_modified_iqr_outlier,files_removed,files_removed_iqr_outlier,files_renamed,files_renamed_iqr_outlier,has_any_iqr_outlier,has_configuration_changes,has_description,has_detailed_description,has_documentation_changes,has_multiple_commits,has_security_sensitive_changes,has_test_changes,iqr_outlier_feature_count,label_count,log1p_additions,log1p_body_length,log1p_body_word_count,log1p_changed_files,log1p_commit_count,log1p_deletions,log1p_total_changes,requested_reviewer_count,requested_reviewer_count_iqr_outlier,security_sensitive_files_changed,security_sensitive_files_changed_iqr_outlier,short_title,test_files_changed,test_files_changed_iqr_outlier,title_length,title_length_iqr_outlier,total_changes,total_changes_iqr_outlier,very_long_description
2577,train,0,1,False,335,False,54,False,2.0,1,False,1,False,0,False,2,21,False,0.5,1,False,0,False,0,False,1,False,0,False,0,False,False,False,True,True,False,False,False,False,0,0,0.6931471805599453,5.817111159963204,4.007333185232471,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0,False,0,False,False,0,False,28,False,2,False,False
2582,train,0,3,False,90,False,16,False,9.5,2,False,1,False,0,False,5,9,True,0.8421052631578947,16,False,0,False,0,False,2,False,0,False,0,False,True,False,True,False,False,False,False,False,1,0,1.3862943611198906,4.51085950651685,2.833213344056216,1.0986122886681098,0.6931471805599453,2.833213344056216,2.995732273553991,1,True,0,False,False,0,False,23,False,19,False,False
2592,train,0,43,False,267,False,48,False,30.5,2,False,1,False,0,False,2,21,False,0.2950819672131147,18,False,0,False,0,False,2,False,0,False,0,False,True,False,True,False,False,False,False,True,1,1,3.784189633918261,5.5909869805108565,3.8918202981106265,1.0986122886681098,0.6931471805599453,2.9444389791664403,4.127134385045092,0,False,0,False,False,2,True,37,False,61,False,False
2603,train,0,3,False,85,False,14,False,6.0,1,False,1,False,0,False,0,3,False,0.5,3,False,0,False,0,False,1,False,0,False,0,False,False,False,True,False,False,False,False,False,0,0,1.3862943611198906,4.454347296253507,2.70805020110221,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.9459101490553128,0,False,0,False,False,0,False,29,False,6,False,False
2609,train,0,3,False,111,False,16,False,3.0,1,False,1,False,1,True,6,20,True,0.0,0,False,0,False,0,False,1,False,0,False,0,False,True,True,True,False,False,False,False,False,1,1,1.3862943611198906,4.718498871295094,2.833213344056216,0.6931471805599453,0.6931471805599453,0.0,1.3862943611198906,0,False,0,False,False,0,False,31,False,3,False,False
2622,train,0,29,False,12,False,2,False,15.25,4,False,1,False,2,True,1,16,False,0.5245901639344263,32,True,1,False,0,False,4,True,0,False,0,False,True,True,True,False,True,False,False,False,3,1,3.4011973816621555,2.5649493574615367,1.0986122886681098,1.6094379124341005,0.6931471805599453,3.49650756146648,4.127134385045092,0,False,0,False,False,0,False,24,False,61,False,False
2630,train,0,2,False,241,False,37,False,4.0,1,False,1,False,0,False,0,22,False,0.5,2,False,0,False,0,False,1,False,0,False,0,False,False,False,True,False,False,False,False,False,0,0,1.0986122886681098,5.488937726156687,3.6375861597263857,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.6094379124341005,0,False,0,False,False,0,False,33,False,4,False,False
2637,train,0,13,False,12,False,2,False,27.0,1,False,1,False,0,False,5,16,True,0.5185185185185185,14,False,1,False,0,False,1,False,0,False,0,False,False,False,True,False,True,False,False,False,0,1,2.6390573296152584,2.5649493574615367,1.0986122886681098,0.6931471805599453,0.6931471805599453,2.70805020110221,3.332204510175204,0,False,0,False,False,0,False,38,False,27,False,False
2652,train,0,1,False,0,False,0,False,1.0,1,False,1,False,0,False,0,23,False,0.0,0,False,1,False,0,False,1,False,0,False,0,False,False,False,False,False,True,False,False,False,0,0,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0,False,0,False,False,0,False,32,False,1,False,False
2676,train,1,3340,True,1599,False,261,False,54.14563106796116,103,True,1,False,8,True,3,20,False,0.4011117088040165,2237,True,32,True,35,True,10,True,57,True,1,True,True,True,True,True,True,False,True,True,13,1,8.114025442356757,7.377758908227872,5.568344503761097,4.6443908991413725,0.6931471805599453,7.71333788887187,8.626585568187433,0,False,8,True,False,10,True,33,False,5577,True,False
