repository,pr_number,title,body,html_url,author_login,author_association,state,draft,base_branch,head_branch,created_at,updated_at,closed_at,merged_at,was_merged,resolution_hours,merge_hours,additions,deletions,total_changes,changed_files,commit_count,title_length,body_length,body_word_count,labels,label_count,requested_reviewers,requested_reviewer_count,file_records_returned,test_files_changed,documentation_files_changed,configuration_files_changed,security_sensitive_files_changed,files_added,files_modified,files_removed,files_renamed,has_test_changes,has_documentation_changes,has_configuration_changes,has_security_sensitive_changes,expected_outcome,period,period_start_date,period_end_date,actual_outcome,outcome_matches_selection,commit_count_iqr_outlier,resolution_hours_iqr_outlier,configuration_files_changed_iqr_outlier,test_files_changed_iqr_outlier,deletions_iqr_outlier,files_modified_iqr_outlier,additions_iqr_outlier,total_changes_iqr_outlier,body_length_iqr_outlier,body_word_count_iqr_outlier,files_added_iqr_outlier,changed_files_iqr_outlier,documentation_files_changed_iqr_outlier,security_sensitive_files_changed_iqr_outlier,files_removed_iqr_outlier,files_renamed_iqr_outlier,title_length_iqr_outlier,requested_reviewer_count_iqr_outlier,label_count_iqr_outlier,iqr_outlier_feature_count,has_any_iqr_outlier,merge_target,outcome_label,log1p_body_length,log1p_body_word_count,log1p_additions,log1p_deletions,log1p_total_changes,log1p_changed_files,log1p_commit_count,has_description,has_detailed_description,short_title,very_long_description,change_density_per_file,deletion_ratio,has_zero_code_change,has_multiple_commits,pr_size_band,created_year,created_month,created_quarter,created_day_of_week,created_hour_utc,created_on_weekend,created_day_name,author_role_group,delayed_over_24_hours,merge_delay_target,delayed_over_72_hours,delayed_over_168_hours,split
pallets/flask,2577,Use string concat in jsonify,"#1262 added a newline at the end of the response body from `jsonfiy`. It passed a tuple to the `Response`, which is more appropriate for streaming responses. Instead, use a simple `+ '\n'` and pass a string. This allows the content length header to be calculated while creating the response object (#1877).

ref pallets/werkzeug#1130",https://github.com/pallets/flask/pull/2577,davidism,MEMBER,closed,False,master,jsonify-str,2018-01-03 21:10:09+00:00,2020-11-14 03:36:20+00:00,2018-01-03 21:18:00+00:00,2018-01-03 21:18:00+00:00,1,0.1308333333333333,0.1308333333333333,1,1,2,1,1,28,335,54,[],0,[],0,1,0,0,0,0,0,1,0,0,False,False,False,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,1,Merged,5.817111159963204,4.007333185232471,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,True,True,False,False,2.0,0.5,False,False,Very small,2018,1,1,2,21,False,Wednesday,Internal or trusted,0,0,0,0,train
pallets/flask,2582,cleanup werkzeug import,Flask now requires werkzeug >= 0.9. There is no need to try import these werkzeug modules.,https://github.com/pallets/flask/pull/2582,lepture,CONTRIBUTOR,closed,False,master,clean-up,2018-01-06 09:24:12+00:00,2020-11-14 03:36:17+00:00,2018-01-06 09:49:02+00:00,2018-01-06 09:49:02+00:00,1,0.4138888888888888,0.4138888888888888,3,16,19,2,1,23,90,16,[],0,['davidism'],1,2,0,0,0,0,0,2,0,0,False,False,False,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,True,1,Merged,4.51085950651685,2.833213344056216,1.3862943611198906,2.833213344056216,2.995732273553991,1.0986122886681098,0.6931471805599453,True,False,False,False,9.5,0.8421052631578947,False,False,Small,2018,1,1,5,9,True,Saturday,Previous contributor,0,0,0,0,train
pallets/flask,2592,reset standard os env after each test,"Uses monkeypatch to unset env vars for the test session, and also reset them after each test in case they were changed without cleanup.

This doesn't affect Travis, but local tests will now pass if you happen to have a var set or a `.flaskenv` file.

closes #2589 ",https://github.com/pallets/flask/pull/2592,davidism,MEMBER,closed,False,master,tests-env,2018-01-10 21:57:34+00:00,2020-11-14 03:36:14+00:00,2018-01-10 22:02:00+00:00,2018-01-10 22:01:59+00:00,1,0.0738888888888888,0.0736111111111111,43,18,61,2,1,37,267,48,['testing'],1,[],0,2,2,0,0,0,0,2,0,0,True,False,False,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True,1,Merged,5.5909869805108565,3.8918202981106265,3.784189633918261,2.9444389791664403,4.127134385045092,1.0986122886681098,0.6931471805599453,True,False,False,False,30.5,0.2950819672131147,False,False,Medium,2018,1,1,2,21,False,Wednesday,Internal or trusted,0,0,0,0,train
pallets/flask,2603,Update cli help for FLASK_ENV,This PR replace FLASK_DEBUG with FLASK_ENV in command and change the cli help string.,https://github.com/pallets/flask/pull/2603,greyli,CONTRIBUTOR,closed,False,master,patch-8,2018-01-22 03:10:48+00:00,2020-11-14 03:36:12+00:00,2018-01-23 23:39:43+00:00,2018-01-23 23:39:43+00:00,1,44.48194444444445,44.48194444444445,3,3,6,1,1,29,85,14,[],0,[],0,1,0,0,0,0,0,1,0,0,False,False,False,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,1,Merged,4.454347296253507,2.70805020110221,1.3862943611198906,1.3862943611198906,1.9459101490553128,0.6931471805599453,0.6931471805599453,True,False,False,False,6.0,0.5,False,False,Very small,2018,1,1,0,3,False,Monday,Previous contributor,1,0,0,0,train
pallets/flask,2609,allow nightly to fail on travis,"For some reason nightly just fails with ""invocation error"" on Travis. May be related to pytest-dev/pytest#3011.",https://github.com/pallets/flask/pull/2609,davidism,MEMBER,closed,False,master,nightly-travis,2018-01-28 20:08:33+00:00,2020-11-14 03:36:10+00:00,2018-01-28 22:16:34+00:00,2018-01-28 22:16:33+00:00,1,2.133611111111111,2.1333333333333333,3,0,3,1,1,31,111,16,['testing'],1,[],0,1,0,0,1,0,0,1,0,0,False,False,True,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,True,1,Merged,4.718498871295094,2.833213344056216,1.3862943611198906,0.0,1.3862943611198906,0.6931471805599453,0.6931471805599453,True,False,False,False,3.0,0.0,False,False,Very small,2018,1,1,6,20,True,Sunday,Internal or trusted,0,0,0,0,train
pallets/flask,2622,bump dependency versions,closes #2586 ,https://github.com/pallets/flask/pull/2622,davidism,MEMBER,closed,False,master,versions,2018-02-06 16:07:04+00:00,2020-11-14 03:36:08+00:00,2018-02-06 16:14:10+00:00,2018-02-06 16:14:10+00:00,1,0.1183333333333333,0.1183333333333333,29,32,61,4,1,24,12,2,['packaging'],1,[],0,4,0,1,2,0,0,4,0,0,False,True,True,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True,1,Merged,2.5649493574615367,1.0986122886681098,3.4011973816621555,3.49650756146648,4.127134385045092,1.6094379124341005,0.6931471805599453,True,False,False,False,15.25,0.5245901639344263,False,False,Medium,2018,2,1,1,16,False,Tuesday,Internal or trusted,0,0,0,0,train
pallets/flask,2630,Fix docs for test_request_context,"This corrects the docstring for `test_request_context` to say that it returns a `RequestContext`, rather than a WSGI environment; this is in line with the rest of the documentation, as well as the function's actual behaviour.

Fixes #2627.",https://github.com/pallets/flask/pull/2630,keysmashes,CONTRIBUTOR,closed,False,master,2627-test_request_context-docs,2018-02-12 22:32:34+00:00,2020-11-14 03:36:06+00:00,2018-02-13 01:33:08+00:00,2018-02-13 01:33:08+00:00,1,3.0094444444444446,3.0094444444444446,2,2,4,1,1,33,241,37,[],0,[],0,1,0,0,0,0,0,1,0,0,False,False,False,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,1,Merged,5.488937726156687,3.6375861597263857,1.0986122886681098,1.0986122886681098,1.6094379124341005,0.6931471805599453,0.6931471805599453,True,False,False,False,4.0,0.5,False,False,Very small,2018,2,1,0,22,False,Monday,Previous contributor,0,0,0,0,train
pallets/flask,2637,rewrite quickstart Unique URLs section,closes #2632 ,https://github.com/pallets/flask/pull/2637,davidism,MEMBER,closed,False,master,quickstart-unique-urls,2018-02-24 16:04:26+00:00,2020-11-14 03:36:04+00:00,2018-02-24 16:10:26+00:00,2018-02-24 16:10:26+00:00,1,0.1,0.1,13,14,27,1,1,38,12,2,['docs'],1,[],0,1,0,1,0,0,0,1,0,0,False,True,False,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,1,Merged,2.5649493574615367,1.0986122886681098,2.6390573296152584,2.70805020110221,3.332204510175204,0.6931471805599453,0.6931471805599453,True,False,False,False,27.0,0.5185185185185185,False,False,Small,2018,2,1,5,16,True,Saturday,Internal or trusted,0,0,0,0,train
pallets/flask,2652,Add documentation link in README,,https://github.com/pallets/flask/pull/2652,greyli,CONTRIBUTOR,closed,False,master,patch-8,2018-03-05 23:50:57+00:00,2020-11-14 03:27:09+00:00,2018-03-06 00:45:01+00:00,2018-03-06 00:45:01+00:00,1,0.9011111111111112,0.9011111111111112,1,0,1,1,1,32,0,0,[],0,[],0,1,0,1,0,0,0,1,0,0,False,True,False,False,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,1,Merged,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,False,False,False,False,1.0,0.0,False,False,Very small,2018,3,1,0,23,False,Monday,Previous contributor,0,0,0,0,train
pallets/flask,2676,rewrite tutorial docs and example,"This is a complete rewrite of the tutorial, both the docs and the example code. The goal is to provide a better foundation for new developers to work with. There's  a bit more code, and it's a bit more complex, but I'm hoping it sets up patterns and concepts better so that developers start with better habits.

* Use the application factory and blueprints from the start.
* Use the instance folder for config and the database.
* Multiple users, stored in the database with hashed passwords.
* Delete posts.
* Build a Wheel file, install it in another virtualenv.
* Override `SECRET_KEY` using config in the instance folder.
* Use other WSGI server in production (Waitress, since it works on Windows).
* 100% test coverage using pytest and coverage.
* All described code links to the API docs.
* General reorganization.

I've removed all the other examples. I'm going to add a JavaScript example back in but wanted to rewrite it as well. That will be the next PR. The other examples are all covered by the tutorial now.

Added a `gh` Sphinx role that adds links to GitHub files. It will select the correct tag on GitHub based on the docs version being built. I'll expand this to work with issues and extract it to pallets-sphinx-themes at some point.

You can find the rendered docs here: http://flask-dev.davidism.com/tutorial/. The only change is in the installation instructions, Flask needs to be installed from GitHub since 1.0 isn't released yet. You can find the example project on my branch: https://github.com/davidism/flask/tree/tutorial/examples/tutorial.

closes #2513 ",https://github.com/pallets/flask/pull/2676,davidism,MEMBER,closed,False,master,tutorial,2018-03-29 20:58:11+00:00,2020-11-14 02:42:43+00:00,2018-04-09 08:09:04+00:00,2018-04-09 08:09:04+00:00,1,251.18138888888888,251.18138888888888,3340,2237,5577,103,1,33,1599,261,['docs'],1,[],0,103,10,32,8,8,35,10,57,1,True,True,True,True,Merged,2018-Q1,2018-01-01,2018-03-31,Merged,True,False,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,13,True,1,Merged,7.377758908227872,5.568344503761097,8.114025442356757,7.71333788887187,8.626585568187433,4.6443908991413725,0.6931471805599453,True,True,False,False,54.14563106796116,0.4011117088040165,False,False,Very large,2018,3,1,3,20,False,Thursday,Internal or trusted,1,1,1,1,train
