pr_number,split,merge_delay_target,additions_iqr_outlier,body_length_iqr_outlier,body_word_count_iqr_outlier,changed_files_iqr_outlier,commit_count_iqr_outlier,configuration_files_changed_iqr_outlier,created_on_weekend,deletions_iqr_outlier,documentation_files_changed_iqr_outlier,files_added_iqr_outlier,files_modified_iqr_outlier,files_removed_iqr_outlier,files_renamed,files_renamed_iqr_outlier,has_any_iqr_outlier,has_configuration_changes,has_description,has_detailed_description,has_documentation_changes,has_multiple_commits,has_security_sensitive_changes,has_test_changes,requested_reviewer_count,requested_reviewer_count_iqr_outlier,security_sensitive_files_changed_iqr_outlier,short_title,test_files_changed_iqr_outlier,title_length_iqr_outlier,total_changes_iqr_outlier,very_long_description,additions,body_length,body_word_count,change_density_per_file,changed_files,commit_count,configuration_files_changed,created_day_of_week,created_hour_utc,deletion_ratio,deletions,documentation_files_changed,files_added,files_modified,files_removed,iqr_outlier_feature_count,label_count,log1p_additions,log1p_body_length,log1p_body_word_count,log1p_changed_files,log1p_commit_count,log1p_deletions,log1p_total_changes,security_sensitive_files_changed,test_files_changed,title_length,total_changes
2577,train,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1891410974326167,-0.3735145601851262,-0.3358462953136225,-0.40168836467971886,-0.2721132855129515,-0.33462683191989634,-0.34528453656689306,-0.29817586418276815,1.2069144288195255,0.30050004083973125,-0.20273860326825577,-0.41109760518947297,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.8261971883794814,-0.941362508405494,-0.8458145240015983,0.2606284672283002,0.3154487828090482,-0.664727757578983,-0.37894499455701275,-0.6678467906597125,-0.8733298057579086,-0.13523517560422083,-0.19466400788931726,-0.7644699687730685,-0.20039024911350126
2582,train,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18368033084007396,-0.4732175909985921,-0.5207442227961305,-0.15965368908662902,-0.17316299987187822,-0.33462683191989634,-0.34528453656689306,1.1927034567310724,-0.7264921804544717,1.889805255201016,-0.1582783832532874,-0.41109760518947297,-0.11204874765929806,-0.15699634498325588,-0.08794999545015139,-0.4231741696577831,-0.941362508405494,-0.4195603401344113,-0.28085430669817457,-0.3086712253412112,-0.060044691068802135,-0.37894499455701275,0.6381395226485884,0.23897713623977337,-0.13523517560422083,-0.19466400788931726,-1.1280311298843417,-0.1756458113267707
2592,train,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.07446499898921917,-0.4011872381251902,-0.3650407049161237,0.5180434025740225,-0.17316299987187822,-0.33462683191989634,-0.34528453656689306,-0.29817586418276815,1.2069144288195255,-0.6514797533867639,-0.1523503539179583,-0.41109760518947297,-0.11204874765929806,-0.15699634498325588,-0.08794999545015139,-0.4231741696577831,0.7561764411781836,1.0550368611121719,0.16689281711933468,0.25404627386266954,-0.060044691068802135,-0.37894499455701275,0.7060155349049866,0.9023333988000923,-0.13523517560422083,0.4641987880437565,-0.11005987877277651,-0.11451249444190702
2603,train,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18368033084007396,-0.4752523467294792,-0.5304756926636309,-0.2726032043634043,-0.2721132855129515,-0.33462683191989634,-0.34528453656689306,-1.2920954114586618,-1.6931954850914703,0.30050004083973125,-0.19681057393292667,-0.41109760518947297,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.8261971883794814,-0.941362508405494,-0.4195603401344113,-0.3042804116859663,-0.37520346426693063,-0.664727757578983,-0.37894499455701275,-0.2448501813209548,-0.37654768361650864,-0.13523517560422083,-0.19466400788931726,-0.6917577365508139,-0.19456802845779994
2609,train,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18368033084007396,-0.4646716169288665,-0.5207442227961305,-0.3694170746006402,-0.2721132855129515,-0.33462683191989634,0.6412427107670872,1.689663230369019,1.0457972113800256,-2.0223306570729163,-0.20570261793592035,-0.41109760518947297,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.4231741696577831,0.7561764411781836,-0.4195603401344113,-0.1947811990241544,-0.3086712253412112,-0.664727757578983,-0.37894499455701275,-1.0908433999984704,-0.7046579406013964,-0.13523517560422083,-0.19466400788931726,-0.5463332721063046,-0.1989346939495759
2622,train,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11269036513701834,-0.5049597804004303,-0.5888645118686334,0.025906228868073165,0.024737571410268316,-0.33462683191989634,1.6277699581010674,-0.795135637820715,0.4013283416220266,0.4147376161469108,-0.11085414857065448,-0.12306743594844094,-0.11204874765929806,0.12611181810130395,-0.08794999545015139,0.38287186778561344,0.7561764411781836,0.8195139382878992,-1.0874958313555239,-1.2307229502670975,0.7017658777172902,-0.37894499455701275,1.0429182086585242,0.9023333988000923,-0.13523517560422083,-0.19466400788931726,-1.055318897662087,-0.11451249444190702
2630,train,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18641071413634533,-0.4117679679258029,-0.4185637891873761,-0.3371457845215616,-0.2721132855129515,-0.33462683191989634,-0.34528453656689306,-1.2920954114586618,1.3680316462590252,0.30050004083973125,-0.19977458860059122,-0.41109760518947297,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.8261971883794814,-0.941362508405494,-0.596471810663793,0.12459016190046143,0.11890452175541837,-0.664727757578983,-0.37894499455701275,-0.42040963626434275,-0.57382587770278,-0.13523517560422083,-0.19466400788931726,-0.40090880766179515,-0.1974791387856506
2637,train,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15637649787736027,-0.5049597804004303,-0.5888645118686334,0.4050938872972472,-0.2721132855129515,-0.33462683191989634,-0.34528453656689306,1.1927034567310724,0.4013283416220266,0.38653080742908846,-0.1642064125886165,-0.12306743594844094,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.8261971883794814,0.7561764411781836,0.3508322571255962,-1.0874958313555239,-1.2307229502670975,-0.664727757578983,-0.37894499455701275,0.561758075001413,0.4362553303260452,-0.13523517560422083,-0.19466400788931726,-0.03734764655052185,-0.1640013700153681
2652,train,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1891410974326167,-0.5098431941545593,-0.5985959817361338,-0.4339596547587975,-0.2721132855129515,-0.33462683191989634,-0.34528453656689306,-1.2920954114586618,1.5291488636985249,-2.0223306570729163,-0.20570261793592035,-0.12306743594844094,-0.11204874765929806,-0.2985504265255358,-0.08794999545015139,-0.8261971883794814,-0.941362508405494,-0.8458145240015983,-2.1507487576923867,-1.8147058509142775,-0.664727757578983,-0.37894499455701275,-1.0908433999984704,-1.1110594475726732,-0.13523517560422083,-0.19466400788931726,-0.47362103988404985,-0.20184580427742657
2676,train,1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.927608728817487,0.14087168858312274,0.6713608359726713,1.2811184218710712,9.820815849876523,-0.33462683191989634,7.546933442104949,0.19878390945517868,1.0457972113800256,-0.15890147606857977,6.424798193629695,8.805867810523551,13.582798188477131,0.9754363073549833,14.617289243815161,4.413102055002596,0.7561764411781836,3.7176901627009244,0.9075664976016062,1.1452264278803577,5.22788820493569,-0.37894499455701275,3.6162604665154965,3.5404220943287337,13.087759772364038,3.0996499717760515,-0.40090880766179515,7.91432978977019
