repository,pr_number,title,body,author_login,author_association,state,draft,locked,base_branch,head_branch,head_sha,created_at,updated_at,closed_at,merged_at,was_merged,mergeable_state,additions,deletions,total_changes,changed_files,commit_count,issue_comment_count,review_comment_count,label_count,labels,requested_reviewer_count,requested_reviewers,title_length,body_length,body_word_count,html_url,file_records_returned,test_files_changed,documentation_files_changed,configuration_files_changed,security_sensitive_files_changed,files_added,files_modified,files_removed,files_renamed,has_test_changes,has_documentation_changes,has_configuration_changes,has_security_sensitive_changes,review_count,unique_reviewer_count,approved_review_count,changes_requested_count,commented_review_count,dismissed_review_count,first_review_at,first_review_hours,ci_check_count,ci_success_count,ci_failure_count,ci_cancelled_count,ci_neutral_count,ci_skipped_count,ci_other_count,ci_has_failure,resolution_hours,merge_hours,expected_outcome,actual_outcome,outcome_matches_search,merged_timestamp_present,merge_target_matches_timestamp,title_length_iqr_outlier,body_length_iqr_outlier,body_word_count_iqr_outlier,additions_iqr_outlier,deletions_iqr_outlier,total_changes_iqr_outlier,changed_files_iqr_outlier,commit_count_iqr_outlier,issue_comment_count_iqr_outlier,review_comment_count_iqr_outlier,review_count_iqr_outlier,unique_reviewer_count_iqr_outlier,test_files_changed_iqr_outlier,documentation_files_changed_iqr_outlier,configuration_files_changed_iqr_outlier,security_sensitive_files_changed_iqr_outlier,resolution_hours_iqr_outlier,iqr_outlier_feature_count,has_any_iqr_outlier
pallets/flask,5108,werkzeug 2.3.3 compatibility,fixes #5107 ,davidism,MEMBER,closed,False,True,2.2.x,werkzeug-compat,3fbfbad79fe294918459b70eb409d555b20de2c8,2023-05-02 14:07:29+00:00,2023-05-17 00:06:10+00:00,2023-05-02 14:12:59+00:00,2023-05-02 14:12:59+00:00,True,dirty,16,3,19,2,1,0,0,0,[],0,[],28,11,2,https://github.com/pallets/flask/pull/5108,2,0,1,0,0,0,2,0,0,False,True,False,False,0,0,0,0,0,0,,,0,0,0,0,0,0,0,False,0.09166666666666666,0.09166666666666666,Merged,Merged,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False
pallets/flask,5109,backport 2.2.x: set `Vary: Cookie` header consistently for session,Backport the fix for https://github.com/pallets/flask/security/advisories/GHSA-m2qf-hxjv-5gpq to 2.2.x.,davidism,MEMBER,closed,False,True,2.2.x,backport-vary-cookie,8646edca6f47e2cd57464081b3911218d4734f8d,2023-05-02 14:15:25+00:00,2023-05-17 00:06:10+00:00,2023-05-02 14:18:08+00:00,2023-05-02 14:18:08+00:00,True,dirty,30,4,34,3,1,0,0,0,[],0,[],66,103,7,https://github.com/pallets/flask/pull/5109,3,1,1,0,1,0,3,0,0,True,True,False,True,0,0,0,0,0,0,,,0,0,0,0,0,0,0,False,0.04527777777777778,0.04527777777777778,Merged,Merged,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,True
pallets/flask,5110,release version 2.2.5,,davidism,MEMBER,closed,False,True,2.2.x,release-2.2.5,47af817c8fe01045c641b97f8fb784c7ad864eee,2023-05-02 14:35:48+00:00,2023-05-17 00:06:09+00:00,2023-05-02 14:43:49+00:00,2023-05-02 14:43:49+00:00,True,dirty,2,2,4,2,1,0,0,0,[],0,[],21,0,0,https://github.com/pallets/flask/pull/5110,2,0,1,0,0,0,2,0,0,False,True,False,False,0,0,0,0,0,0,,,0,0,0,0,0,0,0,False,0.13361111111111112,0.13361111111111112,Merged,Merged,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False
pallets/flask,5111,update tests,"* Remove test that used `.egg` file, eggs aren't supported and Python 3.12 venv removes setuptools which we used to build it.
* Use pytest's `tmp_path` fixture instead of `tmpdir`.",davidism,MEMBER,closed,False,True,2.3.x,update-tests,0a00e1b6085f62fb776a95ef676ea661bff565f6,2023-05-02 17:39:58+00:00,2023-05-17 00:06:09+00:00,2023-05-02 17:41:41+00:00,2023-05-02 17:41:41+00:00,True,dirty,59,119,178,5,2,0,0,0,[],0,[],12,181,30,https://github.com/pallets/flask/pull/5111,5,4,0,0,0,0,5,0,0,True,False,False,False,0,0,0,0,0,0,,,0,0,0,0,0,0,0,False,0.02861111111111111,0.02861111111111111,Merged,Merged,True,True,True,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,4,True
pallets/flask,5126,Allow for PathLike types for config file variables,"This follows the Flask practice elsewhere and makes it clear PathLike filenames are valid.

(Minor change)",pgjones,MEMBER,closed,False,True,2.3.x,pathlike,2abb7513dc52e9d9f2c73dde91f3b89d8f9492e4,2023-05-14 15:10:35+00:00,2023-05-29 00:05:33+00:00,2023-05-14 16:43:35+00:00,2023-05-14 16:43:35+00:00,True,dirty,5,3,8,1,1,0,0,0,[],0,[],50,108,16,https://github.com/pallets/flask/pull/5126,1,0,0,0,0,0,1,0,0,False,False,False,False,0,0,0,0,0,0,,,0,0,0,0,0,0,0,False,1.55,1.55,Merged,Merged,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False
pallets/flask,5127,Split the App and Blueprint into Sansio and IO parts,"This follows a similar structure in Werkzeug and allows for async based IO projects, specifically Quart, to base themselves on Flask.

Note that the globals, and signals are specific to Flask and hence specific to Flask's IO. This means they cannot be moved to the sansio part of the codebase. (We may be able to change this in the future, but I think we should let this change settle first).


Checklist:

- [x] Add tests that demonstrate the correct behavior of the change. Tests should fail without the change.
- [x] Add or update relevant docs, in the docs folder and in code.
- [x] Add an entry in `CHANGES.rst` summarizing the change and linking to the issue.
- [x] Add `.. versionchanged::` entries in any relevant code docs.
- [x] Run `pre-commit` hooks and fix any issues.
- [x] Run `pytest` and `tox`, no tests failed.
",pgjones,MEMBER,closed,False,True,main,sansio,bc5dd3894b4b19e07abfe6a23d87d66c02e4061f,2023-05-15 19:24:37+00:00,2023-09-04 00:05:35+00:00,2023-08-20 16:32:09+00:00,2023-08-20 16:32:09+00:00,True,unknown,1820,1537,3357,13,8,3,4,0,[],0,[],52,840,147,https://github.com/pallets/flask/pull/5127,13,0,2,0,0,3,9,0,1,False,True,False,False,3,2,0,0,3,0,2023-06-07 17:21:44+00:00,549.9519444444444,0,0,0,0,0,0,0,False,2325.1255555555554,2325.1255555555554,Merged,Merged,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,False,True,10,True
pallets/flask,5136,Fix wrong FormData.append syntax on javascript.rst,"- fixes #5135
",pg1992,CONTRIBUTOR,closed,False,True,2.3.x,patch-2,38229063bdc3b063b22fe2ec560c8779bf1d2f3e,2023-05-18 12:27:57+00:00,2023-06-02 00:05:43+00:00,2023-05-18 12:33:44+00:00,2023-05-18 12:33:44+00:00,True,dirty,2,2,4,1,1,1,0,0,[],0,[],50,13,3,https://github.com/pallets/flask/pull/5136,1,0,1,0,0,0,1,0,0,False,True,False,False,0,0,0,0,0,0,,,0,0,0,0,0,0,0,False,0.09638888888888889,0.09638888888888889,Merged,Merged,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False
pallets/flask,5140,Config from Data Files to match from_file API,"In the API docs using a TOML file to load config is referred to as https://flask.palletsprojects.com/en/2.3.x/api/#flask.Config.from_file

To keep docs consistent a small change to the config docs.

- fixes Issue #5139 

**First time contributing**
Is this checklist necessary for doc clarifications?

Checklist:

- [ ] Add tests that demonstrate the correct behavior of the change. Tests should fail without the change.
- [ ] Add or update relevant docs, in the docs folder and in code.
- [ ] Add an entry in `CHANGES.rst` summarizing the change and linking to the issue.
- [ ] Add `.. versionchanged::` entries in any relevant code docs.
- [ ] Run `pre-commit` hooks and fix any issues.
- [ ] Run `pytest` and `tox`, no tests failed.
",Jeroendevr,CONTRIBUTOR,closed,False,True,2.3.x,patch-1,0f477df86a8c953cb5e4df0bd90266345140b114,2023-05-24 09:23:00+00:00,2023-06-15 00:05:50+00:00,2023-05-31 16:14:56+00:00,2023-05-31 16:14:56+00:00,True,dirty,2,2,4,1,1,0,0,1,['docs'],0,[],45,751,124,https://github.com/pallets/flask/pull/5140,1,0,1,0,0,0,1,0,0,False,True,False,False,0,0,0,0,0,0,,,0,0,0,0,0,0,0,False,174.86555555555555,174.86555555555555,Merged,Merged,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,True
pallets/flask,5148,Bump slsa-framework/slsa-github-generator from 1.5.0 to 1.6.0,"Bumps [slsa-framework/slsa-github-generator](https://github.com/slsa-framework/slsa-github-generator) from 1.5.0 to 1.6.0.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/slsa-framework/slsa-github-generator/releases"">slsa-framework/slsa-github-generator's releases</a>.</em></p>
<blockquote>
<h2>v1.6.0</h2>
<p>See the <a href=""https://github.com/slsa-framework/slsa-github-generator/blob/HEAD/CHANGELOG.md#v160"">CHANGELOG</a> for details.</p>
<h2>v1.6.0-rc.3</h2>
<p>See the <a href=""https://github.com/slsa-framework/slsa-github-generator/blob/HEAD/CHANGELOG.md"">CHANGELOG</a> for details.</p>
<h2>v1.6.0-rc.2</h2>
<p>See the <a href=""https://github.com/slsa-framework/slsa-github-generator/blob/HEAD/CHANGELOG.md"">CHANGELOG</a> for details.</p>
<h2>v1.6.0-rc.1</h2>
<p><strong>This is an un-finalized pre-release.</strong></p>
<p>See the <a href=""https://github.com/slsa-framework/slsa-github-generator/blob/HEAD/CHANGELOG.md"">CHANGELOG</a> for details.</p>
<h2>v1.6.0-rc.0</h2>
<p>See the <a href=""https://github.com/slsa-framework/slsa-github-generator/blob/HEAD/CHANGELOG.md"">CHANGELOG</a> for details.</p>
</blockquote>
</details>
<details>
<summary>Changelog</summary>
<p><em>Sourced from <a href=""https://github.com/slsa-framework/slsa-github-generator/blob/main/CHANGELOG.md"">slsa-framework/slsa-github-generator's changelog</a>.</em></p>
<blockquote>
<h2>v1.6.0</h2>
<p>This release includes the first beta release of the
<a href=""https://github.com/slsa-framework/slsa-github-generator/tree/v1.6.0/internal/builders/nodejs"">Node.js builder</a>.
The Node.js builder provides a GitHub Actions reusable workflow that can be
called to build a Node.js package, generate SLSA Build L3 compliant provenance,
and publish it to the npm registry along with the package.</p>
<h3>Summary of changes</h3>
<h4>Go builder</h4>
<h5>New Features</h5>
<ul>
<li>A new
<a href=""https://github.com/slsa-framework/slsa-github-generator/blob/v1.6.0/internal/builders/go/README.md#workflow-inputs""><code>prerelease</code></a>
input was added to allow users to create releases marked as prerelease when
<code>upload-assets</code> is set to <code>true</code>.</li>
<li>A new input <a href=""https://github.com/slsa-framework/slsa-github-generator/blob/v1.6.0/internal/builders/go/README.md#workflow-inputs""><code>draft-release</code></a> was added to allow users to create releases marked
as draft when <code>upload-assets</code> is set to <code>true</code>.</li>
<li>A new output <a href=""https://github.com/slsa-framework/slsa-github-generator/blob/v1.6.0/internal/builders/go/README.md#workflow-outputs""><code>go-provenance-name</code></a> added which can be used to retrieve the name
of the provenance file generated by the builder.</li>
</ul>
<h4>Generic generator</h4>
<h5>New Features</h5>
<ul>
<li>A new input <a href=""https://github.com/slsa-framework/slsa-github-generator/blob/v1.6.0/internal/builders/generic/README.md#workflow-inputs""><code>draft-release</code></a> was added to allow users to create releases marked
as draft when <code>upload-assets</code> is set to <code>true</code>.</li>
</ul>
<h4>Container generator</h4>
<p>The Container Generator was updated to use <code>cosign</code> v2.0.0. No changes to the
workflow's inputs or outputs were made.</p>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/slsa-framework/slsa-github-generator/commit/0779f7bec68e2bf54a7b0a32bf4763f25ab29702""><code>0779f7b</code></a> chore: Release v1.6.0 (<a href=""https://redirect.github.com/slsa-framework/slsa-github-generator/issues/2118"">#2118</a>)</li>
<li><a href=""https://github.com/slsa-framework/slsa-github-generator/commit/8ff4f7f40a208f0c2bd7cc0abb3e9d84fab74635""><code>8ff4f7f</code></a> chore: Release v1.6.0-rc.3 (<a href=""https://redirect.github.com/slsa-framework/slsa-github-generator/issues/2095"">#2095</a>)</li>
<li><a href=""https://github.com/slsa-framework/slsa-github-generator/commit/670c38d91a96f4b68706739b274cc45c53d7b4de""><code>670c38d</code></a> fix(deps): update module github.com/sigstore/sigstore to v1.6.4 (<a href=""https://redirect.github.com/slsa-framework/slsa-github-generator/issues/1689"">#1689</a>)</li>
<li><a href=""https://github.com/slsa-framework/slsa-github-generator/commit/c04243f9e82f56669676a827f3db5d7286d14440""><code>c04243f</code></a> fix(deps): update module github.com/in-toto/in-toto-golang to v0.9.0 (<a href=""https://redirect.github.com/slsa-framework/slsa-github-generator/issues/1941"">#1941</a>)</li>
<li><a href=""https://github.com/slsa-framework/slsa-github-generator/commit/a574da89ac806af05e7cc9db704ab6bd5472aed0""><code>a574da8</code></a> fix(deps): update npm (<a href=""https://redirect.github.com/slsa-framework/slsa-github-generator/issues/2105"">#2105</a>)</li>
<li><a href=""https://github.com/slsa-framework/slsa-github-generator/commit/af0983928e46546f1319fc9d3e6f3b3ba803230c""><code>af09839</code></a> feat: Break out npm publish into separate action (<a href=""https://redirect.github.com/slsa-framework/slsa-github-generator/issues/2108"">#2108</a>)</li>
<li><a href=""https://github.com/slsa-framework/slsa-github-generator/commit/4c58bbb748c404a00c25e1b8350312b723f9989b""><code>4c58bbb</code></a> chore(deps): update npm dev (<a href=""https://redirect.github.com/slsa-framework/slsa-github-generator/issues/2102"">#2102</a>)</li>
<li><a href=""https://github.com/slsa-framework/slsa-github-generator/commit/cd7ad672ccd3bdcc10f898c916582bfb548d44c3""><code>cd7ad67</code></a> fix(deps): update module github.com/sigstore/rekor to v1.1.1 [security] (<a href=""https://redirect.github.com/slsa-framework/slsa-github-generator/issues/2100"">#2100</a>)</li>
<li><a href=""https://github.com/slsa-framework/slsa-github-generator/commit/652a21be93973e902c4af79ef91484a291a84571""><code>652a21b</code></a> chore(deps): update github/codeql-action action to v2.3.3 (<a href=""https://redirect.github.com/slsa-framework/slsa-github-generator/issues/2101"">#2101</a>)</li>
<li><a href=""https://github.com/slsa-framework/slsa-github-generator/commit/038b5b339a8600ea9a0c415fc033caf156ded175""><code>038b5b3</code></a> chore: update sigstore and slsa v1 deps (<a href=""https://redirect.github.com/slsa-framework/slsa-github-generator/issues/2099"">#2099</a>)</li>
<li>Additional commits viewable in <a href=""https://github.com/slsa-framework/slsa-github-generator/compare/v1.5.0...v1.6.0"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=slsa-framework/slsa-github-generator&package-manager=github_actions&previous-version=1.5.0&new-version=1.6.0)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",dependabot[bot],CONTRIBUTOR,closed,False,True,main,dependabot/github_actions/slsa-framework/slsa-github-generator-1.6.0,40f31c307848e560336fc8b336fbc2fdc1a478ee,2023-06-01 16:56:44+00:00,2023-06-16 00:05:45+00:00,2023-06-01 18:46:49+00:00,2023-06-01 18:46:49+00:00,True,unknown,1,1,2,1,1,0,0,2,"['dependencies', 'github_actions']",0,[],61,8311,588,https://github.com/pallets/flask/pull/5148,1,0,0,1,0,0,1,0,0,False,False,True,False,0,0,0,0,0,0,,,0,0,0,0,0,0,0,False,1.8347222222222221,1.8347222222222221,Merged,Merged,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
pallets/flask,5149,Bump pypa/gh-action-pypi-publish from 1.8.5 to 1.8.6,"Bumps [pypa/gh-action-pypi-publish](https://github.com/pypa/gh-action-pypi-publish) from 1.8.5 to 1.8.6.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/pypa/gh-action-pypi-publish/releases"">pypa/gh-action-pypi-publish's releases</a>.</em></p>
<blockquote>
<h2>v1.8.6</h2>
<h2>What's Updated</h2>
<ul>
<li><a href=""https://github.com/sponsors/woodruffw""><code>@​woodruffw</code></a> dropped the references to a “private beta” from the project docs and runtime in <a href=""https://redirect.github.com/pypa/gh-action-pypi-publish/pull/147"">pypa/gh-action-pypi-publish#147</a>. He also clarified that the API tokens are still more secure than passwords in <a href=""https://redirect.github.com/pypa/gh-action-pypi-publish/pull/150"">pypa/gh-action-pypi-publish#150</a>.</li>
<li><a href=""https://github.com/sponsors/asherf""><code>@​asherf</code></a> noticed that the action metadata incorrectly marked the <code>password</code> field as required and contributed a correction in <a href=""https://redirect.github.com/pypa/gh-action-pypi-publish/pull/151"">pypa/gh-action-pypi-publish#151</a></li>
<li><a href=""https://github.com/sponsors/webknjaz""><code>@​webknjaz</code></a> moved the Trusted Publishing example to the top of the README in hopes that new users would default to using it via <a href=""https://github.com/pypa/gh-action-pypi-publish/commit/f47b34707fd264d5ddb1ef322ca74cf8e4cf351b"">https://github.com/pypa/gh-action-pypi-publish/commit/f47b34707fd264d5ddb1ef322ca74cf8e4cf351b</a></li>
</ul>
<h2>New Contributors</h2>
<ul>
<li><a href=""https://github.com/sponsors/asherf""><code>@​asherf</code></a> made their first contribution in <a href=""https://redirect.github.com/pypa/gh-action-pypi-publish/pull/151"">pypa/gh-action-pypi-publish#151</a></li>
</ul>
<p><strong>Full Diff</strong>: <a href=""https://github.com/pypa/gh-action-pypi-publish/compare/v1.8.5...v1.8.6"">https://github.com/pypa/gh-action-pypi-publish/compare/v1.8.5...v1.8.6</a></p>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/pypa/gh-action-pypi-publish/commit/a56da0b891b3dc519c7ee3284aff1fad93cc8598""><code>a56da0b</code></a> Merge pull request <a href=""https://redirect.github.com/pypa/gh-action-pypi-publish/issues/151"">#151</a> from asherf/trusted</li>
<li><a href=""https://github.com/pypa/gh-action-pypi-publish/commit/e4b903174144ed1ae155796f72e117b95cf30c3f""><code>e4b9031</code></a> password input is no longer required, since not specifying it implies trusted...</li>
<li><a href=""https://github.com/pypa/gh-action-pypi-publish/commit/5a085bf49e449ba94cc551efdc03b14b2be3788c""><code>5a085bf</code></a> Merge pull request <a href=""https://redirect.github.com/pypa/gh-action-pypi-publish/issues/150"">#150</a> from trail-of-forks/tob-doc-tweaks</li>
<li><a href=""https://github.com/pypa/gh-action-pypi-publish/commit/0811f991bd3b72bc79a131736a1966d9df922f60""><code>0811f99</code></a> README: small doc tweaks</li>
<li><a href=""https://github.com/pypa/gh-action-pypi-publish/commit/f47b34707fd264d5ddb1ef322ca74cf8e4cf351b""><code>f47b347</code></a> 📝🎨 Put OIDC on pedestal @ README</li>
<li><a href=""https://github.com/pypa/gh-action-pypi-publish/commit/7a1a355fb5ad6afb4e8f748ad036708c1c61c396""><code>7a1a355</code></a> 🎨 Show GH environments use in README examples</li>
<li><a href=""https://github.com/pypa/gh-action-pypi-publish/commit/3b6670b0bd04d54039641fb3b2ac878aad9d70fc""><code>3b6670b</code></a> Merge pull request <a href=""https://redirect.github.com/pypa/gh-action-pypi-publish/issues/147"">#147</a> from trail-of-forks/tob-stabilize-oidc</li>
<li><a href=""https://github.com/pypa/gh-action-pypi-publish/commit/c008c2f40abc7b85467b393f3b78e67391ffa7f8""><code>c008c2f</code></a> README: re-add OIDC note</li>
<li><a href=""https://github.com/pypa/gh-action-pypi-publish/commit/fe431ff9ad22d027a59d866e45c4e40d93d8ce57""><code>fe431ff</code></a> README, oidc-exchange: remove beta references</li>
<li><a href=""https://github.com/pypa/gh-action-pypi-publish/commit/c542b72dc68d2280248f2d864ba901e0c31a3ee7""><code>c542b72</code></a> Bump WPS flake8 plugin set to v0.17.0</li>
<li>Additional commits viewable in <a href=""https://github.com/pypa/gh-action-pypi-publish/compare/0bf742be3ebe032c25dd15117957dc15d0cfc38d...a56da0b891b3dc519c7ee3284aff1fad93cc8598"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=pypa/gh-action-pypi-publish&package-manager=github_actions&previous-version=1.8.5&new-version=1.8.6)](https://docs.github.com/en/github/managing-security-vulnerabilities/about-dependabot-security-updates#about-compatibility-scores)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)


</details>",dependabot[bot],CONTRIBUTOR,closed,False,True,main,dependabot/github_actions/pypa/gh-action-pypi-publish-1.8.6,fc74a114b3afe87284467f2ccdbeb7a4a8badbc4,2023-06-01 16:56:47+00:00,2023-06-16 00:05:45+00:00,2023-06-01 18:47:53+00:00,2023-06-01 18:47:53+00:00,True,unknown,2,2,4,1,1,0,0,2,"['dependencies', 'github_actions']",0,[],52,6222,464,https://github.com/pallets/flask/pull/5149,1,0,0,1,0,0,1,0,0,False,False,True,False,0,0,0,0,0,0,,,0,0,0,0,0,0,0,False,1.8516666666666666,1.8516666666666666,Merged,Merged,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,True
