repository,pr_number,title,author_login,state,draft,created_at,updated_at,closed_at,merged_at,base_branch,head_branch,html_url,was_merged,resolution_hours,merge_hours
pallets/flask,6013,autoescape selection uses case-insensitive comparison,davidism,closed,False,2026-05-02 03:56:17+00:00,2026-05-17 00:27:57+00:00,2026-05-02 03:58:57+00:00,2026-05-02 03:58:57+00:00,main,autoescape-case,https://github.com/pallets/flask/pull/6013,True,0.044444444444444446,0.044444444444444446
pallets/flask,5962,remove unicode host test,davidism,closed,False,2026-03-24 13:54:00+00:00,2026-04-08 00:18:11+00:00,2026-03-24 13:55:58+00:00,2026-03-24 13:55:57+00:00,main,remove-unicode-test,https://github.com/pallets/flask/pull/5962,True,0.03277777777777778,0.0325
pallets/flask,5945,add zizmor to scan workflows,davidism,closed,False,2026-03-08 23:11:47+00:00,2026-03-29 00:16:24+00:00,2026-03-08 23:15:00+00:00,2026-03-08 23:15:00+00:00,stable,zizmor,https://github.com/pallets/flask/pull/5945,True,0.05361111111111111,0.05361111111111111
pallets/flask,5928,all teardown callbacks are called despite errors,davidism,closed,False,2026-02-20 03:51:07+00:00,2026-03-07 00:12:24+00:00,2026-02-20 04:00:34+00:00,2026-02-20 04:00:34+00:00,main,teardown,https://github.com/pallets/flask/pull/5928,True,0.1575,0.1575
pallets/flask,5924,release version 3.1.3,davidism,closed,False,2026-02-19 03:42:42+00:00,2026-03-06 00:17:52+00:00,2026-02-19 05:01:53+00:00,2026-02-19 05:01:53+00:00,stable,release-3.1.3,https://github.com/pallets/flask/pull/5924,True,1.3197222222222222,1.3197222222222222
pallets/flask,6108,AI junk,amir-rezaei,closed,False,2026-07-27 20:04:49+00:00,2026-07-27 20:16:05+00:00,2026-07-27 20:15:16+00:00,,main,fix/ipv6-host-rpartition-parsing,https://github.com/pallets/flask/pull/6108,False,0.17416666666666666,
pallets/flask,6106,AI junk,saitejabandaru-in,closed,False,2026-07-26 14:51:53+00:00,2026-07-26 14:56:41+00:00,2026-07-26 14:52:49+00:00,,main,fix-docs-1785077509,https://github.com/pallets/flask/pull/6106,False,0.015555555555555555,
pallets/flask,6105,modofied requirement,sbisl,closed,False,2026-07-25 14:43:47+00:00,2026-07-25 14:53:47+00:00,2026-07-25 14:53:47+00:00,,main,jenkins-test,https://github.com/pallets/flask/pull/6105,False,0.16666666666666666,
pallets/flask,6104,[Draft] hello,Akankshaaaa-01,closed,False,2026-07-24 10:30:05+00:00,2026-07-24 17:21:56+00:00,2026-07-24 10:31:18+00:00,,main,patch-1,https://github.com/pallets/flask/pull/6104,False,0.020277777777777777,
pallets/flask,6103,Fix grammar in quickstart documentation,ARYANatGIT,closed,False,2026-07-23 15:50:23+00:00,2026-07-23 16:06:41+00:00,2026-07-23 16:06:41+00:00,,main,fix-doc-typo,https://github.com/pallets/flask/pull/6103,False,0.27166666666666667,
