pr_number,expected_outcome
6013,Merged
5962,Merged
5945,Merged
5928,Merged
5924,Merged
5917,Merged
5903,Merged
5900,Merged
5899,Merged
5898,Merged
5865,Merged
5844,Merged
5829,Merged
5827,Merged
5818,Merged
5812,Merged
5808,Merged
5800,Merged
5799,Merged
5798,Merged
5797,Merged
5795,Merged
5777,Merged
5757,Merged
5754,Merged
5742,Merged
5737,Merged
5736,Merged
5731,Merged
5730,Merged
5727,Merged
5723,Merged
5702,Merged
5701,Merged
5700,Merged
5695,Merged
5674,Merged
5671,Merged
5659,Merged
5650,Merged
5649,Merged
5648,Merged
5647,Merged
5640,Merged
5638,Merged
5637,Merged
5634,Merged
5633,Merged
5632,Merged
5630,Merged
5627,Merged
5626,Merged
5624,Merged
5623,Merged
5620,Merged
5618,Merged
5615,Merged
5609,Merged
5599,Merged
5541,Merged
5539,Merged
5526,Merged
5522,Merged
5517,Merged
5516,Merged
5514,Merged
5499,Merged
5496,Merged
5495,Merged
5493,Merged
5492,Merged
5487,Merged
5485,Merged
5481,Merged
5477,Merged
5476,Merged
5475,Merged
5473,Merged
5470,Merged
5468,Merged
5464,Merged
5461,Merged
5460,Merged
5459,Merged
5457,Merged
5423,Merged
5404,Merged
5403,Merged
5401,Merged
5400,Merged
5393,Merged
5389,Merged
5386,Merged
5383,Merged
5382,Merged
5377,Merged
5374,Merged
5355,Merged
5354,Merged
5352,Merged
5351,Merged
5344,Merged
5336,Merged
5331,Merged
5330,Merged
5329,Merged
5313,Merged
5303,Merged
5291,Merged
5287,Merged
5270,Merged
5264,Merged
5262,Merged
5257,Merged
5248,Merged
5247,Merged
5246,Merged
5242,Merged
5238,Merged
5232,Merged
5231,Merged
5223,Merged
5217,Merged
5215,Merged
5213,Merged
5212,Merged
5211,Merged
5187,Merged
5186,Merged
5185,Merged
5184,Merged
5183,Merged
5182,Merged
5180,Merged
5177,Merged
5171,Merged
5161,Merged
5157,Merged
5154,Merged
5150,Merged
5149,Merged
5148,Merged
5140,Merged
5136,Merged
5127,Merged
5126,Merged
5111,Merged
5110,Merged
5109,Merged
5108,Merged
6108,Closed without merge
6106,Closed without merge
6105,Closed without merge
6104,Closed without merge
6103,Closed without merge
6102,Closed without merge
6101,Closed without merge
6100,Closed without merge
6099,Closed without merge
6098,Closed without merge
6094,Closed without merge
6091,Closed without merge
6090,Closed without merge
6089,Closed without merge
6088,Closed without merge
6087,Closed without merge
6086,Closed without merge
6085,Closed without merge
6083,Closed without merge
6081,Closed without merge
6080,Closed without merge
6079,Closed without merge
6078,Closed without merge
6077,Closed without merge
6076,Closed without merge
6075,Closed without merge
6074,Closed without merge
6073,Closed without merge
6072,Closed without merge
6070,Closed without merge
6069,Closed without merge
6067,Closed without merge
6064,Closed without merge
6062,Closed without merge
6061,Closed without merge
6060,Closed without merge
6053,Closed without merge
6046,Closed without merge
6045,Closed without merge
6041,Closed without merge
6040,Closed without merge
6039,Closed without merge
6037,Closed without merge
6036,Closed without merge
6035,Closed without merge
6034,Closed without merge
6030,Closed without merge
6029,Closed without merge
6028,Closed without merge
6027,Closed without merge
6026,Closed without merge
6024,Closed without merge
6021,Closed without merge
6020,Closed without merge
6019,Closed without merge
6018,Closed without merge
6017,Closed without merge
6016,Closed without merge
6015,Closed without merge
6014,Closed without merge
6010,Closed without merge
6009,Closed without merge
6008,Closed without merge
6006,Closed without merge
6005,Closed without merge
6004,Closed without merge
6003,Closed without merge
5998,Closed without merge
5997,Closed without merge
5996,Closed without merge
5994,Closed without merge
5992,Closed without merge
5990,Closed without merge
5989,Closed without merge
5984,Closed without merge
5982,Closed without merge
5966,Closed without merge
5964,Closed without merge
5960,Closed without merge
5959,Closed without merge
5958,Closed without merge
5956,Closed without merge
5955,Closed without merge
5954,Closed without merge
5953,Closed without merge
5952,Closed without merge
5951,Closed without merge
5950,Closed without merge
5949,Closed without merge
5946,Closed without merge
5944,Closed without merge
5939,Closed without merge
5938,Closed without merge
5937,Closed without merge
5931,Closed without merge
5930,Closed without merge
5927,Closed without merge
5923,Closed without merge
5922,Closed without merge
5921,Closed without merge
5920,Closed without merge
5914,Closed without merge
5913,Closed without merge
5911,Closed without merge
5910,Closed without merge
5908,Closed without merge
5906,Closed without merge
5904,Closed without merge
5896,Closed without merge
5892,Closed without merge
5890,Closed without merge
5889,Closed without merge
5888,Closed without merge
5885,Closed without merge
5879,Closed without merge
5878,Closed without merge
5877,Closed without merge
5876,Closed without merge
5875,Closed without merge
5874,Closed without merge
5873,Closed without merge
5872,Closed without merge
5871,Closed without merge
5869,Closed without merge
5868,Closed without merge
5867,Closed without merge
5866,Closed without merge
5864,Closed without merge
5860,Closed without merge
5859,Closed without merge
5858,Closed without merge
5857,Closed without merge
5856,Closed without merge
5855,Closed without merge
5854,Closed without merge
5853,Closed without merge
5852,Closed without merge
5850,Closed without merge
5849,Closed without merge
5847,Closed without merge
5846,Closed without merge
5845,Closed without merge
5840,Closed without merge
5838,Closed without merge
5837,Closed without merge
5835,Closed without merge
5834,Closed without merge
5833,Closed without merge
5832,Closed without merge
5831,Closed without merge
