column,source_missing_count,validated_missing_count,missing_count_change
actual_outcome,0,0,0
additions,0,0,0
author_association,0,0,0
author_login,0,0,0
base_branch,0,0,0
body,35,35,0
body_length,0,0,0
body_word_count,0,0,0
changed_files,0,0,0
closed_at,0,0,0
commit_count,0,0,0
configuration_files_changed,0,0,0
created_at,0,0,0
deletions,0,0,0
documentation_files_changed,0,0,0
draft,0,0,0
expected_outcome,0,0,0
file_records_returned,0,0,0
files_added,0,0,0
files_modified,0,0,0
files_removed,0,0,0
files_renamed,0,0,0
has_configuration_changes,0,0,0
has_documentation_changes,0,0,0
has_security_sensitive_changes,0,0,0
has_test_changes,0,0,0
head_branch,0,0,0
html_url,0,0,0
label_count,0,0,0
labels,0,0,0
merge_hours,300,300,0
merged_at,300,300,0
outcome_matches_selection,0,0,0
period,0,0,0
period_end_date,0,0,0
period_start_date,0,0,0
pr_number,0,0,0
repository,0,0,0
requested_reviewer_count,0,0,0
requested_reviewers,0,0,0
resolution_hours,0,0,0
security_sensitive_files_changed,0,0,0
state,0,0,0
test_files_changed,0,0,0
title,0,0,0
title_length,0,0,0
total_changes,0,0,0
updated_at,0,0,0
was_merged,0,0,0
