check_name,passed,severity,observed_value,expected_value,details
required_columns_present,True,error,[],No missing required columns,"Columns required for dataset identity, target validation and core PR analysis."
row_count,True,error,600,600,
duplicate_pr_numbers,True,error,0,0,
missing_pr_numbers,True,error,0,0,
unique_pr_count,True,error,600,600,
missing_was_merged,True,error,0,0,
valid_binary_target,True,error,0,0,
balanced_target_distribution,True,error,"{0: 300, 1: 300}","{0: 300, 1: 300}",
valid_timestamp_created_at,True,error,0,0,
valid_timestamp_updated_at,True,error,0,0,
valid_timestamp_closed_at,True,error,0,0,
valid_timestamp_merged_at,True,error,0,0,
updated_at_not_before_created_at,True,error,0,0,
closed_at_not_before_created_at,True,error,0,0,
non_negative_additions,True,error,0,0,
non_negative_deletions,True,error,0,0,
non_negative_total_changes,True,error,0,0,
non_negative_changed_files,True,error,0,0,
non_negative_commit_count,True,error,0,0,
non_negative_title_length,True,error,0,0,
non_negative_body_length,True,error,0,0,
non_negative_body_word_count,True,error,0,0,
non_negative_label_count,True,error,0,0,
non_negative_requested_reviewer_count,True,error,0,0,
non_negative_file_records_returned,True,error,0,0,
non_negative_test_files_changed,True,error,0,0,
non_negative_documentation_files_changed,True,error,0,0,
non_negative_configuration_files_changed,True,error,0,0,
non_negative_security_sensitive_files_changed,True,error,0,0,
non_negative_files_added,True,error,0,0,
non_negative_files_modified,True,error,0,0,
non_negative_files_removed,True,error,0,0,
non_negative_files_renamed,True,error,0,0,
was_merged_matches_merged_at,True,error,0,0,
total_changes_equals_additions_plus_deletions,True,error,0,0,
