period,merged_count,unmerged_count,total_selected,is_time_matched
2018Q1,10,10,20,True
2018Q2,10,10,20,True
2018Q3,10,10,20,True
2018Q4,10,10,20,True
2019Q1,10,10,20,True
2019Q2,10,10,20,True
2019Q3,10,10,20,True
2019Q4,10,10,20,True
2020Q1,10,10,20,True
2020Q2,10,10,20,True
2020Q3,10,10,20,True
2020Q4,10,10,20,True
2021Q1,10,10,20,True
2021Q2,9,9,18,True
2021Q3,9,9,18,True
2021Q4,9,9,18,True
2022Q1,9,9,18,True
2022Q2,9,9,18,True
2022Q3,9,9,18,True
2022Q4,9,9,18,True
2023Q1,9,9,18,True
2023Q2,9,9,18,True
2023Q3,9,9,18,True
2023Q4,9,9,18,True
2024Q1,9,9,18,True
2024Q2,9,9,18,True
2024Q3,9,9,18,True
2024Q4,6,6,12,True
2025Q1,6,6,12,True
2025Q2,9,9,18,True
2025Q3,9,9,18,True
2025Q4,4,4,8,True
2026Q1,9,9,18,True
2026Q2,1,1,2,True
