period,split,pr_count,unique_split_count
2018Q1,train,20,1
2018Q2,train,20,1
2018Q3,train,20,1
2018Q4,train,20,1
2019Q1,train,20,1
2019Q2,train,20,1
2019Q3,train,20,1
2019Q4,train,20,1
2020Q1,train,20,1
2020Q2,train,20,1
2020Q3,train,20,1
2020Q4,train,20,1
2021Q1,train,20,1
2021Q2,train,18,1
2021Q3,train,18,1
2021Q4,train,18,1
2022Q1,train,18,1
2022Q2,train,18,1
2022Q3,train,18,1
2022Q4,train,18,1
2023Q1,train,18,1
2023Q2,train,18,1
2023Q3,train,18,1
2023Q4,validation,18,1
2024Q1,validation,18,1
2024Q2,validation,18,1
2024Q3,validation,18,1
2024Q4,validation,12,1
2025Q1,test,12,1
2025Q2,test,18,1
2025Q3,test,18,1
2025Q4,test,8,1
2026Q1,test,18,1
2026Q2,test,2,1
