period,total_prs,merged_prs,unmerged_prs,merge_rate_percent
2018Q1,20,10,10,50.0
2018Q2,20,10,10,50.0
2018Q3,20,10,10,50.0
2018Q4,20,10,10,50.0
2019Q1,20,10,10,50.0
2019Q2,20,10,10,50.0
2019Q3,20,10,10,50.0
2019Q4,20,10,10,50.0
2020Q1,20,10,10,50.0
2020Q2,20,10,10,50.0
2020Q3,20,10,10,50.0
2020Q4,20,10,10,50.0
2021Q1,20,10,10,50.0
2021Q2,18,9,9,50.0
2021Q3,18,9,9,50.0
2021Q4,18,9,9,50.0
2022Q1,18,9,9,50.0
2022Q2,18,9,9,50.0
2022Q3,18,9,9,50.0
2022Q4,18,9,9,50.0
2023Q1,18,9,9,50.0
2023Q2,18,9,9,50.0
2023Q3,18,9,9,50.0
2023Q4,18,9,9,50.0
2024Q1,18,9,9,50.0
2024Q2,18,9,9,50.0
2024Q3,18,9,9,50.0
2024Q4,12,6,6,50.0
2025Q1,12,6,6,50.0
2025Q2,18,9,9,50.0
2025Q3,18,9,9,50.0
2025Q4,8,4,4,50.0
2026Q1,18,9,9,50.0
2026Q2,2,1,1,50.0
