column,valid_count,missing_count,minimum,q1,median,q3,maximum,iqr,lower_bound,upper_bound,outlier_count,outlier_percent
commit_count,600,0,0.0,1.0,1.0,1.0,2701.0,0.0,1.0,1.0,144,24.0
lifecycle_days,600,0,0.0001,0.0038,0.0582,2.7708,667.7051,2.767,-4.1467,6.9212,124,20.67
configuration_files_changed,600,0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,120,20.0
test_files_changed,600,0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,111,18.5
deletions,600,0,0.0,1.0,2.0,8.25,33395.0,7.25,-9.875,19.125,102,17.0
additions,600,0,0.0,1.0,5.0,22.0,321388.0,21.0,-30.5,53.5,77,12.83
total_changes,600,0,0.0,2.0,8.5,34.0,321388.0,32.0,-46.0,82.0,72,12.0
body_length,600,0,0.0,108.75,399.0,922.5,55207.0,813.75,-1111.875,2143.125,62,10.33
changed_files,600,0,0.0,1.0,1.0,3.0,950.0,2.0,-2.0,6.0,52,8.67
documentation_files_changed,600,0,0.0,0.0,1.0,1.0,136.0,1.0,-1.5,2.5,48,8.0
security_sensitive_files_changed,600,0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,34,5.67
title_length,600,0,1.0,27.0,37.0,47.0,97.0,20.0,-3.0,77.0,11,1.83
requested_reviewer_count,600,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,1.0
label_count,600,0,0.0,0.0,0.0,1.0,2.0,1.0,-1.5,2.5,0,0.0
