feature,missing_count,missing_percent,unique_count,minimum,maximum
merge_hours,300,50.0,287,0.0047222222222222,12553.5
additions,0,0.0,116,0.0,321388.0
additions_iqr_outlier,0,0.0,2,0.0,1.0
body_length,0,0.0,408,0.0,55207.0
body_length_iqr_outlier,0,0.0,2,0.0,1.0
body_word_count,0,0.0,229,0.0,3779.0
body_word_count_iqr_outlier,0,0.0,2,0.0,1.0
change_density_per_file,0,0.0,177,0.0,338.30315789473684
changed_files,0,0.0,35,0.0,950.0
changed_files_iqr_outlier,0,0.0,2,0.0,1.0
commit_count,0,0.0,27,0.0,2701.0
commit_count_iqr_outlier,0,0.0,2,0.0,1.0
configuration_files_changed,0,0.0,14,0.0,22.0
configuration_files_changed_iqr_outlier,0,0.0,2,0.0,1.0
created_day_of_week,0,0.0,7,0.0,6.0
created_hour_utc,0,0.0,24,0.0,23.0
created_month,0,0.0,12,1.0,12.0
created_on_weekend,0,0.0,2,0.0,1.0
created_quarter,0,0.0,4,1.0,4.0
created_year,0,0.0,9,2018.0,2026.0
deletion_ratio,0,0.0,187,0.0,1.0
deletions,0,0.0,90,0.0,33395.0
deletions_iqr_outlier,0,0.0,2,0.0,1.0
documentation_files_changed,0,0.0,22,0.0,136.0
documentation_files_changed_iqr_outlier,0,0.0,2,0.0,1.0
draft,0,0.0,2,0.0,1.0
file_records_returned,0,0.0,35,0.0,950.0
files_added,0,0.0,16,0.0,949.0
files_added_iqr_outlier,0,0.0,2,0.0,1.0
files_modified,0,0.0,26,0.0,125.0
files_modified_iqr_outlier,0,0.0,2,0.0,1.0
files_removed,0,0.0,15,0.0,220.0
files_removed_iqr_outlier,0,0.0,2,0.0,1.0
files_renamed,0,0.0,7,0.0,20.0
files_renamed_iqr_outlier,0,0.0,2,0.0,1.0
has_any_iqr_outlier,0,0.0,2,0.0,1.0
has_configuration_changes,0,0.0,2,0.0,1.0
has_description,0,0.0,2,0.0,1.0
has_detailed_description,0,0.0,2,0.0,1.0
has_documentation_changes,0,0.0,2,0.0,1.0
has_multiple_commits,0,0.0,2,0.0,1.0
has_security_sensitive_changes,0,0.0,2,0.0,1.0
has_test_changes,0,0.0,2,0.0,1.0
has_zero_code_change,0,0.0,2,0.0,1.0
iqr_outlier_feature_count,0,0.0,14,0.0,13.0
label_count,0,0.0,3,0.0,2.0
log1p_additions,0,0.0,116,0.0,12.680407506435383
log1p_body_length,0,0.0,408,0.0,10.918863149300437
log1p_body_word_count,0,0.0,229,0.0,8.237479288613633
log1p_changed_files,0,0.0,35,0.0,6.85751406254539
log1p_commit_count,0,0.0,27,0.0,7.901747518520144
log1p_deletions,0,0.0,90,0.0,10.416191411313893
log1p_total_changes,0,0.0,133,0.0,12.680407506435383
merge_target,0,0.0,2,0.0,1.0
requested_reviewer_count,0,0.0,2,0.0,1.0
requested_reviewer_count_iqr_outlier,0,0.0,2,0.0,1.0
resolution_hours,0,0.0,563,0.0027777777777777,16024.9225
resolution_hours_iqr_outlier,0,0.0,2,0.0,1.0
security_sensitive_files_changed,0,0.0,7,0.0,13.0
security_sensitive_files_changed_iqr_outlier,0,0.0,2,0.0,1.0
short_title,0,0.0,2,0.0,1.0
test_files_changed,0,0.0,13,0.0,68.0
test_files_changed_iqr_outlier,0,0.0,2,0.0,1.0
title_length,0,0.0,82,1.0,97.0
title_length_iqr_outlier,0,0.0,2,0.0,1.0
total_changes,0,0.0,133,0.0,321388.0
total_changes_iqr_outlier,0,0.0,2,0.0,1.0
very_long_description,0,0.0,2,0.0,1.0
