position,feature,feature_type,imputation_strategy,scaled
1,additions,continuous,median,True
2,deletions,continuous,median,True
3,total_changes,continuous,median,True
4,changed_files,continuous,median,True
5,commit_count,continuous,median,True
6,title_length,continuous,median,True
7,body_length,continuous,median,True
8,body_word_count,continuous,median,True
9,label_count,continuous,median,True
10,file_records_returned,continuous,median,True
11,test_files_changed,continuous,median,True
12,documentation_files_changed,continuous,median,True
13,configuration_files_changed,continuous,median,True
14,security_sensitive_files_changed,continuous,median,True
15,files_added,continuous,median,True
16,files_modified,continuous,median,True
17,files_removed,continuous,median,True
18,files_renamed,continuous,median,True
19,iqr_outlier_feature_count,continuous,median,True
20,log1p_body_length,continuous,median,True
21,log1p_body_word_count,continuous,median,True
22,log1p_additions,continuous,median,True
23,log1p_deletions,continuous,median,True
24,log1p_total_changes,continuous,median,True
25,log1p_changed_files,continuous,median,True
26,log1p_commit_count,continuous,median,True
27,change_density_per_file,continuous,median,True
28,deletion_ratio,continuous,median,True
29,created_day_of_week,continuous,median,True
30,created_hour_utc,continuous,median,True
31,draft,binary,most_frequent,False
32,requested_reviewer_count,binary,most_frequent,False
33,has_test_changes,binary,most_frequent,False
34,has_documentation_changes,binary,most_frequent,False
35,has_configuration_changes,binary,most_frequent,False
36,has_security_sensitive_changes,binary,most_frequent,False
37,commit_count_iqr_outlier,binary,most_frequent,False
38,configuration_files_changed_iqr_outlier,binary,most_frequent,False
39,test_files_changed_iqr_outlier,binary,most_frequent,False
40,deletions_iqr_outlier,binary,most_frequent,False
41,files_modified_iqr_outlier,binary,most_frequent,False
42,additions_iqr_outlier,binary,most_frequent,False
43,total_changes_iqr_outlier,binary,most_frequent,False
44,body_length_iqr_outlier,binary,most_frequent,False
45,body_word_count_iqr_outlier,binary,most_frequent,False
46,files_added_iqr_outlier,binary,most_frequent,False
47,changed_files_iqr_outlier,binary,most_frequent,False
48,documentation_files_changed_iqr_outlier,binary,most_frequent,False
49,security_sensitive_files_changed_iqr_outlier,binary,most_frequent,False
50,files_removed_iqr_outlier,binary,most_frequent,False
51,files_renamed_iqr_outlier,binary,most_frequent,False
52,title_length_iqr_outlier,binary,most_frequent,False
53,requested_reviewer_count_iqr_outlier,binary,most_frequent,False
54,has_any_iqr_outlier,binary,most_frequent,False
55,has_description,binary,most_frequent,False
56,has_detailed_description,binary,most_frequent,False
57,short_title,binary,most_frequent,False
58,very_long_description,binary,most_frequent,False
59,has_zero_code_change,binary,most_frequent,False
60,has_multiple_commits,binary,most_frequent,False
61,created_on_weekend,binary,most_frequent,False
