feature_position,feature
1,title_length
2,label_count
3,file_records_returned
4,test_files_changed
5,documentation_files_changed
6,configuration_files_changed
7,security_sensitive_files_changed
8,files_added
9,files_modified
10,files_removed
11,files_renamed
12,log1p_body_length
13,log1p_body_word_count
14,log1p_additions
15,log1p_deletions
16,log1p_total_changes
17,log1p_changed_files
18,log1p_commit_count
19,change_density_per_file
20,deletion_ratio
21,created_day_of_week
22,created_hour_utc
23,draft
24,requested_reviewer_count
25,has_test_changes
26,has_documentation_changes
27,has_configuration_changes
28,has_security_sensitive_changes
29,has_description
30,has_detailed_description
31,short_title
32,very_long_description
33,has_zero_code_change
34,has_multiple_commits
35,created_on_weekend
