cv_rank,candidate_id,feature_set_name,configuration_name,feature_count,mean_cv_roc_auc,std_cv_roc_auc,minimum_cv_roc_auc,valid_fold_count,total_fold_count,training_seconds,fold_scores,selected_candidate
1,core_log__hist_candidate_04,core_log,medium_regularized,35,0.7401144753776332,0.10000243817007609,0.581203007518797,5,5,1.2747236999566667,"0.662538, 0.817568, 0.826201, 0.581203, 0.813063",True
2,full_approved__hist_candidate_04,full_approved,medium_regularized,61,0.7396676375623744,0.09703204783305805,0.5932330827067669,5,5,1.0525375999859534,"0.655030, 0.819069, 0.833709, 0.593233, 0.797297",False
3,core_log__hist_candidate_06,core_log,strong_regularization,35,0.7392933911354964,0.0967870198438319,0.5969924812030074,5,5,0.989238399954047,"0.652402, 0.839339, 0.822447, 0.596992, 0.785285",False
4,core_log__hist_candidate_05,core_log,small_leaf_model,35,0.738838650680756,0.0818837320446554,0.5827067669172933,5,5,1.6397170000127517,"0.735736, 0.811562, 0.789414, 0.582707, 0.774775",False
5,core_raw__hist_candidate_05,core_raw,small_leaf_model,35,0.738838650680756,0.08195666208053917,0.5827067669172933,5,5,1.659887499990873,"0.734985, 0.811562, 0.789414, 0.582707, 0.775526",False
6,core_raw__hist_candidate_04,core_raw,medium_regularized,35,0.7384625979362822,0.10143915042650957,0.5804511278195489,5,5,1.1589692999841645,"0.655030, 0.817568, 0.826201, 0.580451, 0.813063",False
7,full_approved__hist_candidate_06,full_approved,strong_regularization,61,0.735692271218587,0.09860819717458646,0.6052631578947367,5,5,0.730552599998191,"0.629880, 0.838589, 0.823949, 0.605263, 0.780781",False
8,core_log__hist_candidate_01,core_log,shallow_conservative,35,0.7354609496714759,0.10284493364274375,0.5849624060150376,5,5,0.969164100009948,"0.640766, 0.842342, 0.816441, 0.584962, 0.792793",False
9,core_raw__hist_candidate_06,core_raw,strong_regularization,35,0.7346387364808418,0.10099695441842975,0.5969924812030074,5,5,0.9702506000176072,"0.629880, 0.838589, 0.822447, 0.596992, 0.785285",False
10,core_raw__hist_candidate_01,core_raw,shallow_conservative,35,0.733508997719524,0.10469957850823317,0.5849624060150376,5,5,0.6345789000042714,"0.631006, 0.842342, 0.816441, 0.584962, 0.792793",False
11,full_approved__hist_candidate_05,full_approved,small_leaf_model,61,0.731178960915803,0.08351734859450233,0.5759398496240602,5,5,1.4219386000186205,"0.720721, 0.812312, 0.789414, 0.575940, 0.757508",False
12,full_approved__hist_candidate_02,full_approved,shallow_regularized,61,0.7254782225834858,0.07756039375842244,0.5924812030075188,5,5,1.1052144999848679,"0.687688, 0.808559, 0.779655, 0.592481, 0.759009",False
13,full_approved__hist_candidate_01,full_approved,shallow_conservative,61,0.7251046535257062,0.10752356271938956,0.5942192192192193,5,5,3.3123357000295073,"0.594219, 0.846096, 0.811937, 0.598496, 0.774775",False
14,core_log__hist_candidate_03,core_log,medium_balanced,35,0.7249520196888619,0.09863556849498542,0.5902255639097744,5,5,1.2990739000379108,"0.628003, 0.823574, 0.826952, 0.590226, 0.756006",False
15,core_log__hist_candidate_02,core_log,shallow_regularized,35,0.7244217525796474,0.08490569380714119,0.5744360902255639,5,5,1.3714198000379838,"0.694444, 0.813814, 0.786411, 0.574436, 0.753003",False
16,core_raw__hist_candidate_02,core_raw,shallow_regularized,35,0.723070401228296,0.08542424242852832,0.5744360902255639,5,5,0.9499891999876127,"0.687688, 0.813814, 0.786411, 0.574436, 0.753003",False
17,core_raw__hist_candidate_03,core_raw,medium_balanced,35,0.7228499175867596,0.10045680106873424,0.5902255639097744,5,5,0.8382686999975704,"0.618243, 0.823574, 0.826201, 0.590226, 0.756006",False
18,full_approved__hist_candidate_03,full_approved,medium_balanced,61,0.7194043667727879,0.09617664227562613,0.597972972972973,5,5,1.2083889999776147,"0.597973, 0.824324, 0.816441, 0.616541, 0.741742",False
