threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,true_negative,false_positive,false_negative,true_positive
0.2,0.6071428571428571,0.6071428571428572,0.5671641791044776,0.9047619047619048,0.6972477064220184,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,13,29,4,38
0.225,0.6309523809523809,0.6309523809523809,0.5846153846153846,0.9047619047619048,0.7102803738317757,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,15,27,4,38
0.25,0.6309523809523809,0.6309523809523809,0.5846153846153846,0.9047619047619048,0.7102803738317757,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,15,27,4,38
0.275,0.6309523809523809,0.6309523809523809,0.5846153846153846,0.9047619047619048,0.7102803738317757,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,15,27,4,38
0.3,0.6309523809523809,0.6309523809523809,0.5846153846153846,0.9047619047619048,0.7102803738317757,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,15,27,4,38
0.325,0.6190476190476191,0.6190476190476191,0.5806451612903226,0.8571428571428571,0.6923076923076923,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,16,26,6,36
0.35,0.6190476190476191,0.6190476190476191,0.5892857142857143,0.7857142857142857,0.673469387755102,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,19,23,9,33
0.375,0.6190476190476191,0.6190476190476191,0.5892857142857143,0.7857142857142857,0.673469387755102,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,19,23,9,33
0.4,0.6666666666666666,0.6666666666666667,0.6346153846153846,0.7857142857142857,0.7021276595744681,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,23,19,9,33
0.425,0.6666666666666666,0.6666666666666666,0.64,0.7619047619047619,0.6956521739130435,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,24,18,10,32
0.45,0.6666666666666666,0.6666666666666666,0.64,0.7619047619047619,0.6956521739130435,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,24,18,10,32
0.475,0.6785714285714286,0.6785714285714286,0.6530612244897959,0.7619047619047619,0.7032967032967034,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,25,17,10,32
0.5,0.6904761904761905,0.6904761904761905,0.6666666666666666,0.7619047619047619,0.7111111111111111,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,26,16,10,32
0.525,0.6785714285714286,0.6785714285714286,0.6595744680851063,0.7380952380952381,0.6966292134831461,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,26,16,11,31
0.55,0.6547619047619048,0.6547619047619048,0.6444444444444445,0.6904761904761905,0.6666666666666666,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,26,16,13,29
0.575,0.6547619047619048,0.6547619047619048,0.6444444444444445,0.6904761904761905,0.6666666666666666,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,26,16,13,29
0.6,0.6547619047619048,0.6547619047619048,0.6511627906976745,0.6666666666666666,0.6588235294117647,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,27,15,14,28
0.625,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,28,14,14,28
0.65,0.6428571428571429,0.6428571428571428,0.65,0.6190476190476191,0.6341463414634146,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,28,14,16,26
0.675,0.6428571428571429,0.6428571428571428,0.65,0.6190476190476191,0.6341463414634146,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,28,14,16,26
0.7,0.6428571428571429,0.6428571428571428,0.65,0.6190476190476191,0.6341463414634146,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,28,14,16,26
0.725,0.6309523809523809,0.6309523809523809,0.6410256410256411,0.5952380952380952,0.6172839506172839,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,28,14,17,25
0.75,0.6309523809523809,0.6309523809523809,0.6410256410256411,0.5952380952380952,0.6172839506172839,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,28,14,17,25
0.775,0.6428571428571429,0.6428571428571428,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,30,12,18,24
0.8,0.6309523809523809,0.6309523809523809,0.6571428571428571,0.5476190476190477,0.5974025974025974,0.703514739229025,0.7010812936702834,0.7653281800670274,0.24942584576881002,30,12,19,23
