feature,importance_mean,importance_std,positive_importance
title_length,0.03276643990929708,0.011801190758176193,True
label_count,0.022411186696901012,0.019115734426777792,True
log1p_commit_count,0.011243386243386267,0.004626543466713798,True
commit_count,0.009391534391534402,0.004816222201638294,True
log1p_body_word_count,0.00852229780801211,0.006179716167987885,True
files_modified,0.006443688586545752,0.007590846657331873,True
body_word_count,0.0063114134542706125,0.005323434792517294,True
body_length,0.005839002267573715,0.006682212401135832,True
has_documentation_changes,0.004516250944822401,0.00274415196458301,True
has_detailed_description,0.004100529100529134,0.0014091480111490672,True
commit_count_iqr_outlier,0.003892668178382493,0.0043017545805388285,True
documentation_files_changed,0.00370370370370375,0.003179099145096467,True
test_files_changed,0.0030234315948602154,0.0012275420838179854,True
has_multiple_commits,0.0030045351473923323,0.004022280958659263,True
test_files_changed_iqr_outlier,0.0029289493575208195,0.0011155307742362253,True
log1p_body_length,0.002739984882842043,0.005788762526785184,True
deletion_ratio,0.0024943310657596584,0.0077529800441173595,True
file_records_returned,0.0021352985638700213,0.004286662335934557,True
has_test_changes,0.0018140589569161313,0.001118567542475346,True
changed_files,0.0017762660619803658,0.0043537349353272095,True
log1p_changed_files,0.0015306122448979702,0.004312738983385967,True
additions,0.0014739229024943845,0.0043237780652920985,True
short_title,0.0013227513227513663,0.0030187037865027863,True
log1p_additions,0.0011715797430083552,0.003855801468627051,True
created_hour_utc,0.001058201058201073,0.005319408698620056,True
files_added,0.0009070294784580805,0.0011108797019424802,True
files_added_iqr_outlier,0.00045351473922904394,0.0010183063934472696,True
has_description,0.0003401360544217728,0.0009210927896412627,True
security_sensitive_files_changed,0.00011337868480727856,0.0005744022733775858,True
has_zero_code_change,9.448223733939942e-05,0.0004161510874063797,True
draft,0.0,0.0,False
files_renamed_iqr_outlier,0.0,0.0,False
requested_reviewer_count,0.0,0.0,False
requested_reviewer_count_iqr_outlier,0.0,0.0,False
title_length_iqr_outlier,-3.7792894935750886e-05,0.00014140806450392378,False
files_renamed,-0.00011337868480725266,0.00022675736961450535,False
files_removed,-0.0001322751322751281,0.00028091588713752904,False
total_changes,-0.00017006802721085678,0.003007386088750008,False
configuration_files_changed_iqr_outlier,-0.00024565381708235113,0.002015906458127338,False
security_sensitive_files_changed_iqr_outlier,-0.000321239606953827,0.0005608776296166029,False
log1p_deletions,-0.0003590325018896149,0.0039614544200079526,False
has_security_sensitive_changes,-0.0004913076341647097,0.0005424300867122783,False
created_on_weekend,-0.0005291005291004939,0.0009701812284953542,False
total_changes_iqr_outlier,-0.0005668934240362485,0.0006035041353995224,False
created_day_of_week,-0.0005857898715041129,0.0023026544397347507,False
files_modified_iqr_outlier,-0.0006046863189719809,0.0009811606187261701,False
files_removed_iqr_outlier,-0.0006802721088434309,0.0003070309298804436,False
has_any_iqr_outlier,-0.0007369614512471127,0.0012939583005117188,False
additions_iqr_outlier,-0.0007558578987150029,0.0006267242612160467,False
configuration_files_changed,-0.0008503401360543839,0.0024786060359446374,False
log1p_total_changes,-0.0009070294784580324,0.002550390448798638,False
has_configuration_changes,-0.0010582010582010175,0.001797051160690665,False
deletions_iqr_outlier,-0.0013605442176870504,0.0013059072217060518,False
changed_files_iqr_outlier,-0.0015306122448979886,0.0004663251201531907,False
documentation_files_changed_iqr_outlier,-0.0017762660619803287,0.0006664849617743096,False
iqr_outlier_feature_count,-0.001955782312925136,0.0024659863945578216,False
deletions,-0.0023242630385487202,0.004519412423618971,False
change_density_per_file,-0.0030612244897958883,0.004382835361343836,False
body_length_iqr_outlier,-0.00602796674225243,0.0025414843741416396,False
very_long_description,-0.006897203325774736,0.0027852235398684107,False
body_word_count_iqr_outlier,-0.00702947845804988,0.0038687447795118647,False
