feature_position,feature
1,additions
2,deletions
3,total_changes
4,changed_files
5,commit_count
6,title_length
7,body_length
8,body_word_count
9,label_count
10,file_records_returned
11,test_files_changed
12,documentation_files_changed
13,configuration_files_changed
14,security_sensitive_files_changed
15,files_added
16,files_modified
17,files_removed
18,files_renamed
19,iqr_outlier_feature_count
20,log1p_body_length
21,log1p_body_word_count
22,log1p_additions
23,log1p_deletions
24,log1p_total_changes
25,log1p_changed_files
26,log1p_commit_count
27,change_density_per_file
28,deletion_ratio
29,created_day_of_week
30,created_hour_utc
31,draft
32,requested_reviewer_count
33,has_test_changes
34,has_documentation_changes
35,has_configuration_changes
36,has_security_sensitive_changes
37,commit_count_iqr_outlier
38,configuration_files_changed_iqr_outlier
39,test_files_changed_iqr_outlier
40,deletions_iqr_outlier
41,files_modified_iqr_outlier
42,additions_iqr_outlier
43,total_changes_iqr_outlier
44,body_length_iqr_outlier
45,body_word_count_iqr_outlier
46,files_added_iqr_outlier
47,changed_files_iqr_outlier
48,documentation_files_changed_iqr_outlier
49,security_sensitive_files_changed_iqr_outlier
50,files_removed_iqr_outlier
51,files_renamed_iqr_outlier
52,title_length_iqr_outlier
53,requested_reviewer_count_iqr_outlier
54,has_any_iqr_outlier
55,has_description
56,has_detailed_description
57,short_title
58,very_long_description
59,has_zero_code_change
60,has_multiple_commits
61,created_on_weekend
