candidate_id,feature_set_name,configuration_name,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,true_negative,false_positive,false_negative,true_positive,selected_for_candidate
full_approved__candidate_01,full_approved,shallow_regularized,0.2,0.5476190476190477,0.5476190476190477,0.525,1.0,0.6885245901639344,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,4,38,0,42,False
full_approved__candidate_01,full_approved,shallow_regularized,0.225,0.5595238095238095,0.5595238095238095,0.5316455696202531,1.0,0.6942148760330579,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,5,37,0,42,False
full_approved__candidate_01,full_approved,shallow_regularized,0.25,0.5714285714285714,0.5714285714285714,0.5394736842105263,0.9761904761904762,0.6949152542372882,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,7,35,1,41,False
full_approved__candidate_01,full_approved,shallow_regularized,0.275,0.5952380952380952,0.5952380952380952,0.5540540540540541,0.9761904761904762,0.7068965517241379,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,9,33,1,41,False
full_approved__candidate_01,full_approved,shallow_regularized,0.3,0.6309523809523809,0.6309523809523809,0.5774647887323944,0.9761904761904762,0.7256637168141593,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,12,30,1,41,False
full_approved__candidate_01,full_approved,shallow_regularized,0.325,0.6428571428571429,0.6428571428571428,0.5882352941176471,0.9523809523809523,0.7272727272727273,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,14,28,2,40,False
full_approved__candidate_01,full_approved,shallow_regularized,0.35,0.6547619047619048,0.6547619047619048,0.6,0.9285714285714286,0.7289719626168224,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,16,26,3,39,False
full_approved__candidate_01,full_approved,shallow_regularized,0.375,0.6428571428571429,0.6428571428571428,0.59375,0.9047619047619048,0.7169811320754716,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,16,26,4,38,False
full_approved__candidate_01,full_approved,shallow_regularized,0.4,0.6547619047619048,0.6547619047619048,0.6101694915254238,0.8571428571428571,0.7128712871287128,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,19,23,6,36,False
full_approved__candidate_01,full_approved,shallow_regularized,0.425,0.6666666666666666,0.6666666666666667,0.625,0.8333333333333334,0.7142857142857143,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,21,21,7,35,False
full_approved__candidate_01,full_approved,shallow_regularized,0.45,0.6904761904761905,0.6904761904761905,0.6481481481481481,0.8333333333333334,0.7291666666666666,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,23,19,7,35,True
full_approved__candidate_01,full_approved,shallow_regularized,0.475,0.6547619047619048,0.6547619047619048,0.6326530612244898,0.7380952380952381,0.6813186813186813,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,24,18,11,31,False
full_approved__candidate_01,full_approved,shallow_regularized,0.5,0.6428571428571429,0.6428571428571428,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,26,16,14,28,False
full_approved__candidate_01,full_approved,shallow_regularized,0.525,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,27,15,15,27,False
full_approved__candidate_01,full_approved,shallow_regularized,0.55,0.6190476190476191,0.6190476190476191,0.631578947368421,0.5714285714285714,0.6,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,28,14,18,24,False
full_approved__candidate_01,full_approved,shallow_regularized,0.575,0.6428571428571429,0.6428571428571428,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,30,12,18,24,False
full_approved__candidate_01,full_approved,shallow_regularized,0.6,0.5952380952380952,0.5952380952380952,0.625,0.47619047619047616,0.5405405405405406,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,30,12,22,20,False
full_approved__candidate_01,full_approved,shallow_regularized,0.625,0.6071428571428571,0.6071428571428572,0.6451612903225806,0.47619047619047616,0.547945205479452,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,31,11,22,20,False
full_approved__candidate_01,full_approved,shallow_regularized,0.65,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.47619047619047616,0.5555555555555556,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,32,10,22,20,False
full_approved__candidate_01,full_approved,shallow_regularized,0.675,0.6309523809523809,0.6309523809523809,0.6896551724137931,0.47619047619047616,0.5633802816901409,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,33,9,22,20,False
full_approved__candidate_01,full_approved,shallow_regularized,0.7,0.6071428571428571,0.6071428571428571,0.6666666666666666,0.42857142857142855,0.5217391304347826,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,33,9,24,18,False
full_approved__candidate_01,full_approved,shallow_regularized,0.725,0.5952380952380952,0.5952380952380952,0.6538461538461539,0.40476190476190477,0.5,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,33,9,25,17,False
full_approved__candidate_01,full_approved,shallow_regularized,0.75,0.6071428571428571,0.6071428571428572,0.8,0.2857142857142857,0.42105263157894735,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,39,3,30,12,False
full_approved__candidate_01,full_approved,shallow_regularized,0.775,0.5238095238095238,0.5238095238095237,0.6666666666666666,0.09523809523809523,0.16666666666666666,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,40,2,38,4,False
full_approved__candidate_01,full_approved,shallow_regularized,0.8,0.5119047619047619,0.5119047619047619,0.6666666666666666,0.047619047619047616,0.08888888888888889,0.7171201814058957,0.6791177396540677,0.6233640007339665,0.21712787783754267,41,1,40,2,False
full_approved__candidate_02,full_approved,medium_regularized,0.2,0.5833333333333334,0.5833333333333333,0.5466666666666666,0.9761904761904762,0.7008547008547008,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,8,34,1,41,False
full_approved__candidate_02,full_approved,medium_regularized,0.225,0.5833333333333334,0.5833333333333333,0.5466666666666666,0.9761904761904762,0.7008547008547008,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,8,34,1,41,False
full_approved__candidate_02,full_approved,medium_regularized,0.25,0.5952380952380952,0.5952380952380952,0.5540540540540541,0.9761904761904762,0.7068965517241379,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,9,33,1,41,False
full_approved__candidate_02,full_approved,medium_regularized,0.275,0.6071428571428571,0.6071428571428571,0.5633802816901409,0.9523809523809523,0.7079646017699115,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,11,31,2,40,False
full_approved__candidate_02,full_approved,medium_regularized,0.3,0.6190476190476191,0.6190476190476191,0.5735294117647058,0.9285714285714286,0.7090909090909091,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,13,29,3,39,False
full_approved__candidate_02,full_approved,medium_regularized,0.325,0.6309523809523809,0.6309523809523809,0.582089552238806,0.9285714285714286,0.7155963302752294,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,14,28,3,39,False
full_approved__candidate_02,full_approved,medium_regularized,0.35,0.6428571428571429,0.6428571428571429,0.5909090909090909,0.9285714285714286,0.7222222222222222,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,15,27,3,39,False
full_approved__candidate_02,full_approved,medium_regularized,0.375,0.6666666666666666,0.6666666666666667,0.609375,0.9285714285714286,0.7358490566037735,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,17,25,3,39,False
full_approved__candidate_02,full_approved,medium_regularized,0.4,0.6785714285714286,0.6785714285714286,0.6271186440677966,0.8809523809523809,0.7326732673267327,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,20,22,5,37,False
full_approved__candidate_02,full_approved,medium_regularized,0.425,0.7142857142857143,0.7142857142857142,0.6666666666666666,0.8571428571428571,0.75,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,24,18,6,36,True
full_approved__candidate_02,full_approved,medium_regularized,0.45,0.6785714285714286,0.6785714285714286,0.6470588235294118,0.7857142857142857,0.7096774193548387,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,24,18,9,33,False
full_approved__candidate_02,full_approved,medium_regularized,0.475,0.6785714285714286,0.6785714285714286,0.6530612244897959,0.7619047619047619,0.7032967032967034,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,25,17,10,32,False
full_approved__candidate_02,full_approved,medium_regularized,0.5,0.6428571428571429,0.6428571428571428,0.6304347826086957,0.6904761904761905,0.6590909090909091,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,25,17,13,29,False
full_approved__candidate_02,full_approved,medium_regularized,0.525,0.6428571428571429,0.6428571428571428,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,26,16,14,28,False
full_approved__candidate_02,full_approved,medium_regularized,0.55,0.6309523809523809,0.6309523809523809,0.627906976744186,0.6428571428571429,0.6352941176470588,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,26,16,15,27,False
full_approved__candidate_02,full_approved,medium_regularized,0.575,0.6190476190476191,0.6190476190476191,0.631578947368421,0.5714285714285714,0.6,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,28,14,18,24,False
full_approved__candidate_02,full_approved,medium_regularized,0.6,0.6428571428571429,0.6428571428571428,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,30,12,18,24,False
full_approved__candidate_02,full_approved,medium_regularized,0.625,0.6309523809523809,0.6309523809523809,0.6571428571428571,0.5476190476190477,0.5974025974025974,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,30,12,19,23,False
full_approved__candidate_02,full_approved,medium_regularized,0.65,0.6309523809523809,0.6309523809523809,0.6666666666666666,0.5238095238095238,0.5866666666666667,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,31,11,20,22,False
full_approved__candidate_02,full_approved,medium_regularized,0.675,0.5952380952380952,0.5952380952380952,0.6333333333333333,0.4523809523809524,0.5277777777777778,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,31,11,23,19,False
full_approved__candidate_02,full_approved,medium_regularized,0.7,0.6071428571428571,0.6071428571428571,0.6551724137931034,0.4523809523809524,0.5352112676056338,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,32,10,23,19,False
full_approved__candidate_02,full_approved,medium_regularized,0.725,0.6547619047619048,0.6547619047619048,0.782608695652174,0.42857142857142855,0.5538461538461539,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,37,5,24,18,False
full_approved__candidate_02,full_approved,medium_regularized,0.75,0.6309523809523809,0.6309523809523809,0.7619047619047619,0.38095238095238093,0.5079365079365079,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,37,5,26,16,False
full_approved__candidate_02,full_approved,medium_regularized,0.775,0.5952380952380952,0.5952380952380952,0.8333333333333334,0.23809523809523808,0.37037037037037035,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,40,2,32,10,False
full_approved__candidate_02,full_approved,medium_regularized,0.8,0.5714285714285714,0.5714285714285714,0.8,0.19047619047619047,0.3076923076923077,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,40,2,34,8,False
full_approved__candidate_03,full_approved,medium_wider_features,0.2,0.5952380952380952,0.5952380952380952,0.5540540540540541,0.9761904761904762,0.7068965517241379,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,9,33,1,41,False
full_approved__candidate_03,full_approved,medium_wider_features,0.225,0.5833333333333334,0.5833333333333334,0.5492957746478874,0.9285714285714286,0.6902654867256637,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,10,32,3,39,False
full_approved__candidate_03,full_approved,medium_wider_features,0.25,0.5833333333333334,0.5833333333333334,0.5492957746478874,0.9285714285714286,0.6902654867256637,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,10,32,3,39,False
full_approved__candidate_03,full_approved,medium_wider_features,0.275,0.6071428571428571,0.6071428571428572,0.5652173913043478,0.9285714285714286,0.7027027027027027,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,12,30,3,39,False
full_approved__candidate_03,full_approved,medium_wider_features,0.3,0.6428571428571429,0.6428571428571429,0.5909090909090909,0.9285714285714286,0.7222222222222222,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,15,27,3,39,True
full_approved__candidate_03,full_approved,medium_wider_features,0.325,0.6309523809523809,0.6309523809523809,0.5846153846153846,0.9047619047619048,0.7102803738317757,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,15,27,4,38,False
full_approved__candidate_03,full_approved,medium_wider_features,0.35,0.6428571428571429,0.6428571428571428,0.59375,0.9047619047619048,0.7169811320754716,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,16,26,4,38,False
full_approved__candidate_03,full_approved,medium_wider_features,0.375,0.6428571428571429,0.6428571428571429,0.603448275862069,0.8333333333333334,0.7,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,19,23,7,35,False
full_approved__candidate_03,full_approved,medium_wider_features,0.4,0.6428571428571429,0.6428571428571428,0.6071428571428571,0.8095238095238095,0.6938775510204082,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,20,22,8,34,False
full_approved__candidate_03,full_approved,medium_wider_features,0.425,0.6666666666666666,0.6666666666666667,0.6296296296296297,0.8095238095238095,0.7083333333333334,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,22,20,8,34,False
full_approved__candidate_03,full_approved,medium_wider_features,0.45,0.6785714285714286,0.6785714285714286,0.6415094339622641,0.8095238095238095,0.7157894736842105,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,23,19,8,34,False
full_approved__candidate_03,full_approved,medium_wider_features,0.475,0.6547619047619048,0.6547619047619048,0.6382978723404256,0.7142857142857143,0.6741573033707865,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,25,17,12,30,False
full_approved__candidate_03,full_approved,medium_wider_features,0.5,0.6428571428571429,0.6428571428571428,0.6363636363636364,0.6666666666666666,0.6511627906976745,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,26,16,14,28,False
full_approved__candidate_03,full_approved,medium_wider_features,0.525,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,27,15,15,27,False
full_approved__candidate_03,full_approved,medium_wider_features,0.55,0.6666666666666666,0.6666666666666667,0.6842105263157895,0.6190476190476191,0.65,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,30,12,16,26,False
full_approved__candidate_03,full_approved,medium_wider_features,0.575,0.6428571428571429,0.6428571428571428,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,30,12,18,24,False
full_approved__candidate_03,full_approved,medium_wider_features,0.6,0.6428571428571429,0.6428571428571428,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,30,12,18,24,False
full_approved__candidate_03,full_approved,medium_wider_features,0.625,0.6428571428571429,0.6428571428571429,0.6764705882352942,0.5476190476190477,0.6052631578947368,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,31,11,19,23,False
full_approved__candidate_03,full_approved,medium_wider_features,0.65,0.6785714285714286,0.6785714285714286,0.7586206896551724,0.5238095238095238,0.6197183098591549,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,35,7,20,22,False
full_approved__candidate_03,full_approved,medium_wider_features,0.675,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.5,0.6086956521739131,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,36,6,21,21,False
full_approved__candidate_03,full_approved,medium_wider_features,0.7,0.6428571428571429,0.6428571428571428,0.75,0.42857142857142855,0.5454545454545454,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,36,6,24,18,False
