validation_rank,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,true_negative,false_positive,false_negative,true_positive,candidate_id,feature_set_name,configuration_name,feature_count,training_seconds,train_accuracy,train_f1,train_roc_auc,accuracy_gap,roc_auc_gap,selected_candidate
1,0.425,0.7142857142857143,0.7142857142857142,0.6666666666666666,0.8571428571428571,0.75,0.731859410430839,0.716422156611146,0.6112455424986973,0.21221419494692803,24.0,18.0,6.0,36.0,full_approved__candidate_06,full_approved,balanced_subsample,61,1.6191977999988012,0.9022727272727272,0.908315565031983,0.9746280991735536,0.18798701298701292,0.24276868874271462,True
2,0.4,0.6904761904761905,0.6904761904761905,0.6428571428571429,0.8571428571428571,0.7346938775510204,0.7307256235827665,0.7287681208315626,0.612367265482392,0.2120672437423757,22.0,20.0,6.0,36.0,core_raw__candidate_03,core_raw,medium_wider_features,35,0.8898591999895871,0.9136363636363637,0.919831223628692,0.9821694214876032,0.22316017316017323,0.25144379790483673,False
3,0.3,0.6428571428571429,0.6428571428571429,0.5909090909090909,0.9285714285714286,0.7222222222222222,0.7301587301587302,0.7373412293200035,0.611108502855655,0.2122924390840033,15.0,27.0,3.0,39.0,full_approved__candidate_03,full_approved,medium_wider_features,61,0.8355228999862447,0.8431818181818181,0.8644400785854617,0.9836157024793388,0.20032467532467524,0.2534569723206086,False
4,0.425,0.7142857142857143,0.7142857142857142,0.6666666666666666,0.8571428571428571,0.75,0.7301587301587301,0.7045309170122024,0.613666024701708,0.21305072307778042,24.0,18.0,6.0,36.0,full_approved__candidate_02,full_approved,medium_regularized,61,0.9146999000222422,0.8886363636363637,0.8964059196617337,0.9708884297520661,0.17435064935064937,0.240729699593336,False
5,0.4,0.7142857142857143,0.7142857142857143,0.6607142857142857,0.8809523809523809,0.7551020408163265,0.7295918367346939,0.7107849002968811,0.6132558318125506,0.2126979610708745,23.0,19.0,5.0,37.0,full_approved__candidate_04,full_approved,deep_regularized,61,0.9963058999856003,0.8977272727272727,0.9064449064449065,0.9781611570247934,0.1834415584415584,0.2485693202900996,False
6,0.425,0.6904761904761905,0.6904761904761905,0.6481481481481481,0.8333333333333334,0.7291666666666666,0.7290249433106576,0.727871076885952,0.6170744481094884,0.21349640127791308,23.0,19.0,7.0,35.0,core_log__candidate_03,core_log,medium_wider_features,35,0.9430697000352666,0.9204545454545454,0.9253731343283582,0.9820247933884297,0.22997835497835495,0.25299985007777215,False
7,0.375,0.6666666666666666,0.6666666666666666,0.6206896551724138,0.8571428571428571,0.72,0.7278911564625851,0.7327538763523325,0.6187000228372629,0.2148525387470818,20.0,22.0,6.0,36.0,core_raw__candidate_08,core_raw,wide_feature_sampling,35,1.304713899968192,0.884090909090909,0.8952772073921971,0.973801652892562,0.2174242424242424,0.24591049642997698,False
8,0.325,0.6547619047619048,0.6547619047619048,0.6065573770491803,0.8809523809523809,0.7184466019417476,0.7264739229024944,0.7393039855346065,0.617858902881136,0.2146338252651637,18.0,24.0,5.0,37.0,full_approved__candidate_08,full_approved,wide_feature_sampling,61,1.1964907000074163,0.8454545454545455,0.8650793650793651,0.9750619834710743,0.1906926406926407,0.24858806056857996,False
9,0.45,0.7142857142857143,0.7142857142857143,0.68,0.8095238095238095,0.7391304347826086,0.7250566893424036,0.6863550193636319,0.6145754145834723,0.21277936453874693,26.0,16.0,8.0,34.0,core_log__candidate_06,core_log,balanced_subsample,35,1.4843985000043176,0.9068181818181819,0.9114470842332614,0.9737190082644628,0.19253246753246755,0.24866231892205914,False
10,0.425,0.7142857142857143,0.7142857142857143,0.6607142857142857,0.8809523809523809,0.7551020408163265,0.7242063492063492,0.6904162128770486,0.6176991514072001,0.21478931597045042,23.0,19.0,5.0,37.0,full_approved__candidate_05,full_approved,unlimited_leaf_regularized,61,1.006609300035052,0.8818181818181818,0.8907563025210085,0.965,0.16753246753246753,0.24079365079365078,False
11,0.35,0.6666666666666666,0.6666666666666666,0.6166666666666667,0.8809523809523809,0.7254901960784313,0.7222222222222223,0.7243847469832536,0.6206190552699349,0.21624498019232202,19.0,23.0,5.0,37.0,core_log__candidate_08,core_log,wide_feature_sampling,35,1.0974524000193924,0.8681818181818182,0.8825910931174089,0.9739256198347108,0.20151515151515154,0.2517033976124885,False
12,0.35,0.6666666666666666,0.6666666666666667,0.609375,0.9285714285714286,0.7358490566037735,0.721655328798186,0.6779674981611562,0.6150265911931013,0.21258027649818256,17.0,25.0,3.0,39.0,core_log__candidate_04,core_log,deep_regularized,35,1.227191700018011,0.865909090909091,0.8808080808080808,0.9770867768595042,0.19924242424242433,0.25543144806131823,False
13,0.4,0.6785714285714286,0.6785714285714286,0.6271186440677966,0.8809523809523809,0.7326732673267327,0.7210884353741497,0.6744804552900879,0.6174784690742932,0.21377468545505365,20.0,22.0,5.0,37.0,core_log__candidate_02,core_log,medium_regularized,35,0.9276574999676086,0.8795454545454545,0.8902691511387164,0.9696074380165289,0.20097402597402592,0.24851900264237925,False
