combined_rank,feature,impurity_importance_rank,impurity_importance,importance_percentage,permutation_importance_rank,permutation_importance_mean,permutation_importance_std,positive_importance,importance_stability_ratio,average_rank
1,label_count,1,0.08540344867088115,8.540344867088114,1,0.05860110803324106,0.015653966079917262,True,3.743531047280179,1.0
2,title_length,2,0.07025747959833921,7.025747959833921,6,0.005013850415512528,0.00740130748731939,True,0.6774276604644145,4.0
3,deletion_ratio,7,0.04921183138377435,4.921183138377435,3,0.008476454293628897,0.005974267196902881,True,1.4188274501721607,5.0
4,log1p_commit_count,19,0.017706440198834585,1.7706440198834585,2,0.008670360110803403,0.003207320836018503,True,2.7033030227080728,10.5
5,files_modified,16,0.023500462446682708,2.350046244668271,5,0.00612188365650979,0.005428868200653894,True,1.127653763223138,10.5
6,commit_count,18,0.018208617982573776,1.8208617982573776,4,0.007936288088642744,0.0027394777422063074,True,2.8970076910539357,11.0
7,body_length,3,0.06762351775053857,6.762351775053857,19,0.002063711911357424,0.007022160664819948,True,0.29388560157792104,11.0
8,file_records_returned,22,0.015603008193753301,1.56030081937533,7,0.003947368421052712,0.003044729631160743,True,1.296459423081141,14.5
9,changed_files,21,0.016035755263961306,1.6035755263961307,9,0.003434903047091502,0.0032745616218935987,True,1.0489657681583595,15.0
10,log1p_body_length,6,0.0634045512451455,6.34045512451455,24,0.001398891966759077,0.006857690258761767,True,0.20398879418208993,15.0
11,log1p_changed_files,20,0.01666184881317304,1.666184881317304,12,0.0029916897506925945,0.0033426307110939395,True,0.8950105498532642,16.0
12,deletions,9,0.03299786358739622,3.2997863587396217,23,0.0014404432132964628,0.0031790852419969133,True,0.45309990253412064,16.0
13,has_documentation_changes,26,0.010885099049574328,1.0885099049574327,8,0.003518005540166267,0.002382271468144028,True,1.4767441860465478,17.0
14,documentation_files_changed,24,0.013616650623348018,1.361665062334802,10,0.0030747922437673837,0.0023915942043378647,True,1.2856663719080508,17.0
15,created_day_of_week,17,0.02059782811440838,2.059782811440838,18,0.002160664819944702,0.001188556119275623,True,1.8178904511985015,17.5
16,has_multiple_commits,27,0.010639281664774718,1.0639281664774718,11,0.0030193905817175203,0.0024376731301939177,True,1.2386363636363857,19.0
17,commit_count_iqr_outlier,25,0.01188192515107292,1.1881925151072918,13,0.002963988919667664,0.0027071805468041614,True,1.0948619304932086,19.0
18,change_density_per_file,11,0.029995453143949816,2.9995453143949815,28,0.0006925207756233665,0.003501170265862758,True,0.19779694303233653,19.5
19,iqr_outlier_feature_count,23,0.015478847783927968,1.5478847783927967,17,0.002174515235457146,0.0019341548610270947,True,1.1242715251365203,20.0
20,log1p_deletions,10,0.030151514369472544,3.0151514369472543,31,0.00037396121883664034,0.003520867159049914,True,0.10621281688388143,20.5
21,configuration_files_changed,34,0.0049172333500223245,0.4917233350022325,14,0.0027839335180056147,0.001129382278775409,True,2.465005490456463,24.0
22,files_modified_iqr_outlier,33,0.005147396379290477,0.5147396379290476,15,0.002271468144044382,0.0010821066473476173,True,2.099116708701534,24.0
23,has_any_iqr_outlier,38,0.004559034154826837,0.4559034154826837,16,0.0022576177285319222,0.0009872733178502482,True,2.2867200882606684,27.0
24,created_on_weekend,35,0.004912706948926404,0.49127069489264036,21,0.0017174515235457855,0.0006383223613187254,True,2.690570826937132,28.0
25,body_word_count,5,0.06462919279644683,6.462919279644683,53,-0.00022160664819937282,0.0059240932725000755,False,-0.03740769059597381,29.0
26,log1p_body_word_count,4,0.06638265358715531,6.638265358715531,54,-0.0005124653739611573,0.00612997860411781,False,-0.08359986340195527,29.0
27,has_configuration_changes,39,0.0045097101148794455,0.45097101148794455,20,0.00181440443213303,0.0010896149260508135,True,1.6651794948414798,29.5
28,configuration_files_changed_iqr_outlier,41,0.0036557834772257556,0.3655783477225756,22,0.0016759002770083797,0.0009196717618301435,True,1.8222808903834822,31.5
29,additions,13,0.027652230222414236,2.7652230222414236,52,-0.00018005540166197376,0.002058127005773452,False,-0.08748507801359337,32.5
30,created_hour_utc,8,0.03867997173374188,3.867997173374188,61,-0.0043905817174514404,0.004740829508655425,False,-0.9261209898891047,34.5
31,log1p_total_changes,15,0.027036554974003778,2.7036554974003777,55,-0.0005401662049860679,0.002013271167652227,False,-0.26830275705779955,35.0
32,total_changes,14,0.027503876787267047,2.7503876787267045,56,-0.0008171745152353726,0.0024957280433577315,False,-0.3274293116232139,35.0
33,files_added,45,0.002051631735697019,0.20516317356970187,26,0.0010110803324100547,0.0007612690351058876,True,1.3281511342037182,35.5
34,body_length_iqr_outlier,32,0.005155427175781999,0.5155427175781999,39,9.695290858727335e-05,0.00033954711003134937,True,0.2855359557568373,35.5
35,log1p_additions,12,0.027695287299161618,2.769528729916162,59,-0.0015650969529085157,0.002241072558475657,False,-0.6983696029784375,35.5
36,test_files_changed_iqr_outlier,43,0.0034193005255425076,0.34193005255425074,29,0.00063711911357347,0.0014249109307048796,True,0.4471290800318991,36.0
37,has_test_changes,42,0.0034695252433285017,0.3469525243328502,30,0.0004293628808864858,0.0016843494803445494,True,0.25491317918099493,36.0
38,very_long_description,31,0.005346351995619911,0.5346351995619911,41,6.925207756234287e-05,0.00034626038781164324,True,0.20000000000004106,36.0
39,body_word_count_iqr_outlier,30,0.008114969180493009,0.8114969180493009,42,5.540166204988317e-05,0.00038781163434903945,True,0.14285714285719545,36.0
40,files_added_iqr_outlier,46,0.001764071734613804,0.17640717346138038,27,0.0009833795013851287,0.0007208871844694273,True,1.3641239885668042,36.5
41,total_changes_iqr_outlier,49,0.001529600298968807,0.1529600298968807,25,0.001218836565097019,0.0007656662028302035,True,1.591864131643423,37.0
42,has_description,40,0.003737495260200338,0.3737495260200338,37,0.0002077562326870197,0.0007617728531856063,True,0.2727272727273202,38.5
43,security_sensitive_files_changed_iqr_outlier,48,0.0015388728225276228,0.15388728225276227,32,0.00036011080332413846,0.0007094874501310766,True,0.507564726138015,40.0
44,has_security_sensitive_changes,47,0.001577783080751318,0.15777830807513182,35,0.0002631578947368807,0.0006177036875617284,True,0.42602610286438153,41.0
45,additions_iqr_outlier,51,0.0010932191712676009,0.1093219171267601,33,0.0002908587257617934,0.00043995512948115546,True,0.6611099775215865,42.0
46,changed_files_iqr_outlier,52,0.000910805842544996,0.0910805842544996,34,0.0002908587257617934,0.00041758485960339056,True,0.6965260331469925,43.0
47,security_sensitive_files_changed,50,0.0013493390035528776,0.13493390035528777,36,0.00026315789473686514,0.00047758835594369984,True,0.551014051037474,43.0
48,short_title,29,0.008355514872713162,0.8355514872713162,57,-0.0011772853185594845,0.0017642298064898811,False,-0.6673083711819926,43.0
49,test_files_changed,36,0.004719752753440161,0.47197527534401607,51,-2.770083102486387e-05,0.001638569132539622,False,-0.016905500338536397,43.5
50,documentation_files_changed_iqr_outlier,44,0.002188157948847577,0.2188157948847577,44,4.155124653744124e-05,0.0008804551288261923,True,0.047192917818352255,44.0
51,has_detailed_description,28,0.009846942861626271,0.9846942861626271,60,-0.0015789473684209643,0.0024777924957133817,False,-0.6372395473602277,44.0
52,files_removed_iqr_outlier,53,0.0008331259319387091,0.08331259319387091,38,0.00011080332409974414,0.00037575235363576334,True,0.29488391230983924,45.5
53,deletions_iqr_outlier,37,0.004698315264055727,0.4698315264055727,58,-0.001357340720221536,0.0013353984258386703,False,-1.0164312717150952,47.5
54,title_length_iqr_outlier,56,7.099357216110727e-05,0.007099357216110727,40,8.31024930747981e-05,0.00022504261508688461,True,0.36927447293799814,48.0
55,files_removed,54,0.0006475717876588578,0.06475717876588578,43,5.540166204987651e-05,0.00033471041478102105,True,0.1655211777205145,48.5
56,has_zero_code_change,55,0.0003281287379353815,0.03281287379353815,48,0.0,0.0,False,,51.5
57,files_renamed,58,3.1294413594378596e-05,0.00312944135943786,46,0.0,0.0,False,,52.0
58,draft,61,0.0,0.0,45,0.0,0.0,False,,53.0
59,files_renamed_iqr_outlier,59,2.744582740786179e-05,0.002744582740786179,47,0.0,0.0,False,,53.0
60,requested_reviewer_count_iqr_outlier,57,3.868436416913925e-05,0.003868436416913925,50,0.0,0.0,False,,53.5
61,requested_reviewer_count,60,1.2621732616914252e-05,0.0012621732616914252,49,0.0,0.0,False,,54.5
