importance_rank,feature,permutation_importance_mean,permutation_importance_std,positive_importance,importance_stability_ratio
1,label_count,0.05860110803324106,0.015653966079917262,True,3.743531047280179
2,log1p_commit_count,0.008670360110803403,0.003207320836018503,True,2.7033030227080728
3,deletion_ratio,0.008476454293628897,0.005974267196902881,True,1.4188274501721607
4,commit_count,0.007936288088642744,0.0027394777422063074,True,2.8970076910539357
5,files_modified,0.00612188365650979,0.005428868200653894,True,1.127653763223138
6,title_length,0.005013850415512528,0.00740130748731939,True,0.6774276604644145
7,file_records_returned,0.003947368421052712,0.003044729631160743,True,1.296459423081141
8,has_documentation_changes,0.003518005540166267,0.002382271468144028,True,1.4767441860465478
9,changed_files,0.003434903047091502,0.0032745616218935987,True,1.0489657681583595
10,documentation_files_changed,0.0030747922437673837,0.0023915942043378647,True,1.2856663719080508
11,has_multiple_commits,0.0030193905817175203,0.0024376731301939177,True,1.2386363636363857
12,log1p_changed_files,0.0029916897506925945,0.0033426307110939395,True,0.8950105498532642
13,commit_count_iqr_outlier,0.002963988919667664,0.0027071805468041614,True,1.0948619304932086
14,configuration_files_changed,0.0027839335180056147,0.001129382278775409,True,2.465005490456463
15,files_modified_iqr_outlier,0.002271468144044382,0.0010821066473476173,True,2.099116708701534
16,has_any_iqr_outlier,0.0022576177285319222,0.0009872733178502482,True,2.2867200882606684
17,iqr_outlier_feature_count,0.002174515235457146,0.0019341548610270947,True,1.1242715251365203
18,created_day_of_week,0.002160664819944702,0.001188556119275623,True,1.8178904511985015
19,body_length,0.002063711911357424,0.007022160664819948,True,0.29388560157792104
20,has_configuration_changes,0.00181440443213303,0.0010896149260508135,True,1.6651794948414798
21,created_on_weekend,0.0017174515235457855,0.0006383223613187254,True,2.690570826937132
22,configuration_files_changed_iqr_outlier,0.0016759002770083797,0.0009196717618301435,True,1.8222808903834822
23,deletions,0.0014404432132964628,0.0031790852419969133,True,0.45309990253412064
24,log1p_body_length,0.001398891966759077,0.006857690258761767,True,0.20398879418208993
25,total_changes_iqr_outlier,0.001218836565097019,0.0007656662028302035,True,1.591864131643423
26,files_added,0.0010110803324100547,0.0007612690351058876,True,1.3281511342037182
27,files_added_iqr_outlier,0.0009833795013851287,0.0007208871844694273,True,1.3641239885668042
28,change_density_per_file,0.0006925207756233665,0.003501170265862758,True,0.19779694303233653
29,test_files_changed_iqr_outlier,0.00063711911357347,0.0014249109307048796,True,0.4471290800318991
30,has_test_changes,0.0004293628808864858,0.0016843494803445494,True,0.25491317918099493
31,log1p_deletions,0.00037396121883664034,0.003520867159049914,True,0.10621281688388143
32,security_sensitive_files_changed_iqr_outlier,0.00036011080332413846,0.0007094874501310766,True,0.507564726138015
33,additions_iqr_outlier,0.0002908587257617934,0.00043995512948115546,True,0.6611099775215865
34,changed_files_iqr_outlier,0.0002908587257617934,0.00041758485960339056,True,0.6965260331469925
35,has_security_sensitive_changes,0.0002631578947368807,0.0006177036875617284,True,0.42602610286438153
36,security_sensitive_files_changed,0.00026315789473686514,0.00047758835594369984,True,0.551014051037474
37,has_description,0.0002077562326870197,0.0007617728531856063,True,0.2727272727273202
38,files_removed_iqr_outlier,0.00011080332409974414,0.00037575235363576334,True,0.29488391230983924
39,body_length_iqr_outlier,9.695290858727335e-05,0.00033954711003134937,True,0.2855359557568373
40,title_length_iqr_outlier,8.31024930747981e-05,0.00022504261508688461,True,0.36927447293799814
41,very_long_description,6.925207756234287e-05,0.00034626038781164324,True,0.20000000000004106
42,body_word_count_iqr_outlier,5.540166204988317e-05,0.00038781163434903945,True,0.14285714285719545
43,files_removed,5.540166204987651e-05,0.00033471041478102105,True,0.1655211777205145
44,documentation_files_changed_iqr_outlier,4.155124653744124e-05,0.0008804551288261923,True,0.047192917818352255
45,draft,0.0,0.0,False,
46,files_renamed,0.0,0.0,False,
47,files_renamed_iqr_outlier,0.0,0.0,False,
48,has_zero_code_change,0.0,0.0,False,
49,requested_reviewer_count,0.0,0.0,False,
50,requested_reviewer_count_iqr_outlier,0.0,0.0,False,
51,test_files_changed,-2.770083102486387e-05,0.001638569132539622,False,-0.016905500338536397
52,additions,-0.00018005540166197376,0.002058127005773452,False,-0.08748507801359337
53,body_word_count,-0.00022160664819937282,0.0059240932725000755,False,-0.03740769059597381
54,log1p_body_word_count,-0.0005124653739611573,0.00612997860411781,False,-0.08359986340195527
55,log1p_total_changes,-0.0005401662049860679,0.002013271167652227,False,-0.26830275705779955
56,total_changes,-0.0008171745152353726,0.0024957280433577315,False,-0.3274293116232139
57,short_title,-0.0011772853185594845,0.0017642298064898811,False,-0.6673083711819926
58,deletions_iqr_outlier,-0.001357340720221536,0.0013353984258386703,False,-1.0164312717150952
59,log1p_additions,-0.0015650969529085157,0.002241072558475657,False,-0.6983696029784375
60,has_detailed_description,-0.0015789473684209643,0.0024777924957133817,False,-0.6372395473602277
61,created_hour_utc,-0.0043905817174514404,0.004740829508655425,False,-0.9261209898891047
