probability_bin,prediction_count,average_predicted_probability,observed_merge_rate,calibration_gap,absolute_calibration_gap
"(-0.001, 0.1]",2,0.0887564265343241,0.0,0.0887564265343241,0.0887564265343241
"(0.1, 0.2]",15,0.14835973883017653,0.06666666666666667,0.08169307216350986,0.08169307216350986
"(0.2, 0.3]",8,0.24576601256085143,0.25,-0.004233987439148573,0.004233987439148573
"(0.3, 0.4]",8,0.33471716230659787,0.0,0.33471716230659787,0.33471716230659787
"(0.4, 0.5]",8,0.4504401663790198,0.5,-0.04955983362098021,0.04955983362098021
"(0.5, 0.6]",10,0.5461534164042616,0.8,-0.2538465835957384,0.2538465835957384
"(0.6, 0.7]",8,0.6495457172852728,0.875,-0.22545428271472723,0.22545428271472723
"(0.7, 0.8]",11,0.7449638248325637,0.9090909090909091,-0.16412708425834532,0.16412708425834532
"(0.8, 0.9]",6,0.8544205556407806,1.0,-0.14557944435921943,0.14557944435921943
"(0.9, 1.0]",0,,,,
