column,decision,approved_as_feature,reason,source_dtype
additions,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,int64
additions_iqr_outlier,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,bool
body_length,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,int64
body_length_iqr_outlier,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,bool
body_word_count,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,int64
body_word_count_iqr_outlier,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,bool
change_density_per_file,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,float64
changed_files,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,int64
changed_files_iqr_outlier,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,bool
commit_count,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,int64
commit_count_iqr_outlier,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,bool
configuration_files_changed,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,int64
configuration_files_changed_iqr_outlier,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,bool
created_day_of_week,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,int64
created_hour_utc,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,int64
created_on_weekend,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,bool
deletion_ratio,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,float64
deletions,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,int64
deletions_iqr_outlier,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,bool
documentation_files_changed,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,int64
documentation_files_changed_iqr_outlier,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,bool
files_added,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,int64
files_added_iqr_outlier,approved,True,Contributor-neutral numeric snapshot feature with variation in the Model 2 population.,bool
