threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,true_negative,false_positive,false_negative,true_positive,predicted_positive_count,predicted_negative_count
0.2,0.6904761904761905,0.7148148148148148,0.5454545454545454,0.8,0.6486486486486487,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,17,10,3,12,22,20
0.225,0.6904761904761905,0.7148148148148148,0.5454545454545454,0.8,0.6486486486486487,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,17,10,3,12,22,20
0.25,0.6904761904761905,0.7148148148148148,0.5454545454545454,0.8,0.6486486486486487,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,17,10,3,12,22,20
0.275,0.6904761904761905,0.7148148148148148,0.5454545454545454,0.8,0.6486486486486487,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,17,10,3,12,22,20
0.3,0.7142857142857143,0.7333333333333334,0.5714285714285714,0.8,0.6666666666666666,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,18,9,3,12,21,21
0.325,0.7142857142857143,0.7333333333333334,0.5714285714285714,0.8,0.6666666666666666,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,18,9,3,12,21,21
0.35,0.7142857142857143,0.7333333333333334,0.5714285714285714,0.8,0.6666666666666666,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,18,9,3,12,21,21
0.375,0.7142857142857143,0.7333333333333334,0.5714285714285714,0.8,0.6666666666666666,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,18,9,3,12,21,21
0.4,0.7142857142857143,0.7333333333333334,0.5714285714285714,0.8,0.6666666666666666,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,18,9,3,12,21,21
0.425,0.7619047619047619,0.7703703703703704,0.631578947368421,0.8,0.7058823529411765,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,20,7,3,12,19,23
0.45,0.7619047619047619,0.7703703703703704,0.631578947368421,0.8,0.7058823529411765,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,20,7,3,12,19,23
0.475,0.7857142857142857,0.788888888888889,0.6666666666666666,0.8,0.7272727272727273,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,21,6,3,12,18,24
0.5,0.7857142857142857,0.788888888888889,0.6666666666666666,0.8,0.7272727272727273,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,21,6,3,12,18,24
0.525,0.7857142857142857,0.788888888888889,0.6666666666666666,0.8,0.7272727272727273,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,21,6,3,12,18,24
0.55,0.8333333333333334,0.825925925925926,0.75,0.8,0.7741935483870968,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,23,4,3,12,16,26
0.575,0.8333333333333334,0.825925925925926,0.75,0.8,0.7741935483870968,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,23,4,3,12,16,26
0.6,0.8333333333333334,0.825925925925926,0.75,0.8,0.7741935483870968,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,23,4,3,12,16,26
0.625,0.8333333333333334,0.825925925925926,0.75,0.8,0.7741935483870968,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,23,4,3,12,16,26
0.65,0.8333333333333334,0.825925925925926,0.75,0.8,0.7741935483870968,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,23,4,3,12,16,26
0.675,0.8095238095238095,0.7925925925925925,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,23,4,4,11,15,27
0.7,0.8095238095238095,0.7777777777777777,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,24,3,5,10,13,29
0.725,0.7619047619047619,0.711111111111111,0.7272727272727273,0.5333333333333333,0.6153846153846154,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,24,3,7,8,11,31
0.75,0.7619047619047619,0.6962962962962963,0.7777777777777778,0.4666666666666667,0.5833333333333334,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,25,2,8,7,9,33
0.775,0.7619047619047619,0.6962962962962963,0.7777777777777778,0.4666666666666667,0.5833333333333334,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,25,2,8,7,9,33
0.8,0.7380952380952381,0.662962962962963,0.75,0.4,0.5217391304347826,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,25,2,9,6,8,34
