threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,true_negative,false_positive,false_negative,true_positive,predicted_positive_count,predicted_negative_count
0.2,0.6428571428571429,0.7074074074074074,0.5,0.9333333333333333,0.6511627906976745,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,13,14,1,14,28,14
0.225,0.6666666666666666,0.7259259259259259,0.5185185185185185,0.9333333333333333,0.6666666666666666,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,14,13,1,14,27,15
0.25,0.6904761904761905,0.7444444444444445,0.5384615384615384,0.9333333333333333,0.6829268292682927,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,15,12,1,14,26,16
0.275,0.6666666666666666,0.7111111111111111,0.52,0.8666666666666667,0.65,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,15,12,2,13,25,17
0.3,0.7380952380952381,0.7666666666666666,0.5909090909090909,0.8666666666666667,0.7027027027027027,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,18,9,2,13,22,20
0.325,0.7142857142857143,0.7333333333333334,0.5714285714285714,0.8,0.6666666666666666,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,18,9,3,12,21,21
0.35,0.7142857142857143,0.7333333333333334,0.5714285714285714,0.8,0.6666666666666666,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,18,9,3,12,21,21
0.375,0.7142857142857143,0.7333333333333334,0.5714285714285714,0.8,0.6666666666666666,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,18,9,3,12,21,21
0.4,0.7619047619047619,0.7703703703703704,0.631578947368421,0.8,0.7058823529411765,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,20,7,3,12,19,23
0.425,0.7619047619047619,0.7703703703703704,0.631578947368421,0.8,0.7058823529411765,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,20,7,3,12,19,23
0.45,0.7619047619047619,0.7703703703703704,0.631578947368421,0.8,0.7058823529411765,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,20,7,3,12,19,23
0.475,0.7619047619047619,0.7555555555555555,0.6470588235294118,0.7333333333333333,0.6875,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,21,6,4,11,17,25
0.5,0.7619047619047619,0.7407407407407407,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,22,5,5,10,15,27
0.525,0.8333333333333334,0.7962962962962963,0.8333333333333334,0.6666666666666666,0.7407407407407407,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,25,2,5,10,12,30
0.55,0.8333333333333334,0.7962962962962963,0.8333333333333334,0.6666666666666666,0.7407407407407407,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,25,2,5,10,12,30
0.575,0.8095238095238095,0.762962962962963,0.8181818181818182,0.6,0.6923076923076923,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,25,2,6,9,11,31
0.6,0.7619047619047619,0.6962962962962963,0.7777777777777778,0.4666666666666667,0.5833333333333334,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,25,2,8,7,9,33
0.625,0.7619047619047619,0.6962962962962963,0.7777777777777778,0.4666666666666667,0.5833333333333334,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,25,2,8,7,9,33
0.65,0.6904761904761905,0.5962962962962963,0.6666666666666666,0.26666666666666666,0.38095238095238093,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,25,2,11,4,6,36
0.675,0.6904761904761905,0.5814814814814815,0.75,0.2,0.3157894736842105,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,26,1,12,3,4,38
0.7,0.6666666666666666,0.5481481481481482,0.6666666666666666,0.13333333333333333,0.2222222222222222,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,26,1,13,2,3,39
0.725,0.6666666666666666,0.5481481481481482,0.6666666666666666,0.13333333333333333,0.2222222222222222,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,26,1,13,2,3,39
0.75,0.6666666666666666,0.5333333333333333,1.0,0.06666666666666667,0.125,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,27,0,14,1,1,41
0.775,0.6428571428571429,0.5,0.0,0.0,0.0,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,27,0,15,0,0,42
0.8,0.6428571428571429,0.5,0.0,0.0,0.0,0.817283950617284,0.7167283642283642,0.4997938434328194,0.1611009836154147,27,0,15,0,0,42
