validation_rank,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,true_negative,false_positive,false_negative,true_positive,predicted_positive_count,predicted_negative_count,candidate_id,model_family,training_accuracy,training_balanced_accuracy,training_roc_auc,roc_auc_gap,balanced_accuracy_gap,overfitting_warning,parameters,absolute_distance_from_half,selected_for_locking
1,0.75,0.9047619047619048,0.8814814814814815,0.9230769230769231,0.8,0.8571428571428571,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,26,1,3,12,13,29,logistic_candidate_07,logistic_regression,0.9272727272727272,0.8777676675765848,0.9626933575978163,0.09355755512868047,-0.003713813904896779,False,"{'C': 10.0, 'class_weight': 'balanced', 'solver': 'liblinear', 'max_iter': 3000, 'random_state': 42}",0.25,True
2,0.7,0.8571428571428571,0.8444444444444444,0.8,0.8,0.8,0.854320987654321,0.8057110210051386,0.5446471048729313,0.15930704187798814,24,3,3,12,15,27,logistic_candidate_06,logistic_regression,0.9,0.8586593873218077,0.9486401779395409,0.09431919028521996,0.014214942877363246,False,"{'C': 3.0, 'class_weight': 'balanced', 'solver': 'liblinear', 'max_iter': 3000, 'random_state': 42}",0.19999999999999996,False
3,0.55,0.8333333333333334,0.825925925925926,0.75,0.8,0.7741935483870968,0.8395061728395062,0.7846460366068209,0.5313685879058403,0.161435778193271,23,4,3,12,16,26,logistic_candidate_05,logistic_regression,0.8863636363636364,0.8728642199979779,0.9272065514103731,0.08770037857086688,0.04693829407205197,False,"{'C': 1.0, 'class_weight': 'balanced', 'solver': 'liblinear', 'max_iter': 3000, 'random_state': 42}",0.050000000000000044,False
4,0.55,0.8333333333333334,0.8111111111111111,0.7857142857142857,0.7333333333333333,0.7586206896551724,0.8271604938271604,0.7343385113911429,0.48762310708083284,0.1567937342240314,24,3,4,11,14,28,random_forest_candidate_04,random_forest,0.9545454545454546,0.9396420988777676,0.9906986149024366,0.1635381210752762,0.1285309877666565,False,"{'n_estimators': 800, 'max_depth': 12, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': 0.4, 'max_samples': 0.85, 'class_weight': 'balanced_subsample', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}",0.050000000000000044,False
5,0.575,0.8095238095238095,0.8074074074074074,0.7058823529411765,0.8,0.75,0.8148148148148149,0.6760516085221968,0.5314505909044742,0.17190973120470396,22,5,3,12,17,25,logistic_candidate_04,logistic_regression,0.8590909090909091,0.8395005560610656,0.9043574967141846,0.08954268189936976,0.0320931486536582,False,"{'C': 0.3, 'class_weight': 'balanced', 'solver': 'liblinear', 'max_iter': 3000, 'random_state': 42}",0.07499999999999996,False
6,0.575,0.8333333333333334,0.7962962962962963,0.8333333333333334,0.6666666666666666,0.7407407407407407,0.8222222222222223,0.7249602467249525,0.5122834335282901,0.16537975219323667,25,2,5,10,12,30,random_forest_candidate_01,random_forest,0.9,0.872914771003943,0.9524820543928825,0.13025983217066017,0.07661847470764671,False,"{'n_estimators': 600, 'max_depth': 6, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_samples': 0.8, 'class_weight': 'balanced_subsample', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}",0.07499999999999996,False
7,0.525,0.8333333333333334,0.7962962962962963,0.8333333333333334,0.6666666666666666,0.7407407407407407,0.8197530864197532,0.7193427433133316,0.4994425950098053,0.16101012838043335,25,2,5,10,12,30,random_forest_candidate_02,random_forest,0.9318181818181818,0.9237185319987868,0.9765443332322313,0.15679124681247814,0.12742223570249056,False,"{'n_estimators': 800, 'max_depth': 8, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.85, 'class_weight': 'balanced_subsample', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}",0.025000000000000022,False
8,0.525,0.8333333333333334,0.7962962962962963,0.8333333333333334,0.6666666666666666,0.7407407407407407,0.8148148148148149,0.7078394753394753,0.4983454934214217,0.16039932065633875,25,2,5,10,12,30,random_forest_candidate_03,random_forest,0.9227272727272727,0.9030937215650592,0.9793751895662723,0.16456037475145746,0.1067974252687629,False,"{'n_estimators': 1000, 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_samples': 0.85, 'class_weight': 'balanced_subsample', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}",0.025000000000000022,False
9,0.575,0.8095238095238095,0.7925925925925925,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8148148148148149,0.7025724996251312,0.4964329655656794,0.16130084614626797,23,4,4,11,15,27,random_forest_candidate_05,random_forest,0.9136363636363637,0.891972500252755,0.9713881306237995,0.1565733158089846,0.09937990766016247,False,"{'n_estimators': 1000, 'max_depth': 8, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 0.5, 'max_samples': 0.9, 'class_weight': 'balanced_subsample', 'bootstrap': True, 'random_state': 42, 'n_jobs': -1}",0.07499999999999996,False
10,0.5,0.7857142857142857,0.788888888888889,0.6666666666666666,0.8,0.7272727272727273,0.7728395061728395,0.5632134717134717,0.5505120408117934,0.1858538649491248,21,6,3,12,18,24,logistic_candidate_03,logistic_regression,0.8227272727272728,0.818774643615408,0.8770599534930744,0.10422044732023494,0.029885754726518998,False,"{'C': 0.1, 'class_weight': 'balanced', 'solver': 'liblinear', 'max_iter': 3000, 'random_state': 42}",0.0,False
