threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,true_negative,false_positive,false_negative,true_positive,predicted_positive_count,predicted_negative_count
0.2,0.7142857142857143,0.7333333333333334,0.5714285714285714,0.8,0.6666666666666666,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,18,9,3,12,21,21
0.225,0.7380952380952381,0.7518518518518519,0.6,0.8,0.6857142857142857,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,19,8,3,12,20,22
0.25,0.7380952380952381,0.7518518518518519,0.6,0.8,0.6857142857142857,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,19,8,3,12,20,22
0.275,0.7380952380952381,0.7518518518518519,0.6,0.8,0.6857142857142857,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,19,8,3,12,20,22
0.3,0.7619047619047619,0.7703703703703704,0.631578947368421,0.8,0.7058823529411765,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,20,7,3,12,19,23
0.325,0.7619047619047619,0.7703703703703704,0.631578947368421,0.8,0.7058823529411765,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,20,7,3,12,19,23
0.35,0.7857142857142857,0.788888888888889,0.6666666666666666,0.8,0.7272727272727273,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,21,6,3,12,18,24
0.375,0.7857142857142857,0.788888888888889,0.6666666666666666,0.8,0.7272727272727273,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,21,6,3,12,18,24
0.4,0.7857142857142857,0.788888888888889,0.6666666666666666,0.8,0.7272727272727273,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,21,6,3,12,18,24
0.425,0.7857142857142857,0.788888888888889,0.6666666666666666,0.8,0.7272727272727273,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,21,6,3,12,18,24
0.45,0.8095238095238095,0.8074074074074074,0.7058823529411765,0.8,0.75,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,22,5,3,12,17,25
0.475,0.8095238095238095,0.8074074074074074,0.7058823529411765,0.8,0.75,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,22,5,3,12,17,25
0.5,0.8333333333333334,0.825925925925926,0.75,0.8,0.7741935483870968,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,23,4,3,12,16,26
0.525,0.8333333333333334,0.825925925925926,0.75,0.8,0.7741935483870968,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,23,4,3,12,16,26
0.55,0.8571428571428571,0.8444444444444444,0.8,0.8,0.8,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,24,3,3,12,15,27
0.575,0.8571428571428571,0.8444444444444444,0.8,0.8,0.8,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,24,3,3,12,15,27
0.6,0.8571428571428571,0.8444444444444444,0.8,0.8,0.8,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,24,3,3,12,15,27
0.625,0.8571428571428571,0.8444444444444444,0.8,0.8,0.8,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,24,3,3,12,15,27
0.65,0.8571428571428571,0.8444444444444444,0.8,0.8,0.8,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,24,3,3,12,15,27
0.675,0.8571428571428571,0.8444444444444444,0.8,0.8,0.8,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,24,3,3,12,15,27
0.7,0.8571428571428571,0.8444444444444444,0.8,0.8,0.8,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,24,3,3,12,15,27
0.725,0.8571428571428571,0.8444444444444444,0.8,0.8,0.8,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,24,3,3,12,15,27
0.75,0.9047619047619048,0.8814814814814815,0.9230769230769231,0.8,0.8571428571428571,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,26,1,3,12,13,29
0.775,0.9047619047619048,0.8814814814814815,0.9230769230769231,0.8,0.8571428571428571,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,26,1,3,12,13,29
0.8,0.9047619047619048,0.8814814814814815,0.9230769230769231,0.8,0.8571428571428571,0.8691358024691358,0.7575139588080765,0.5618041223543189,0.14093061413118516,26,1,3,12,13,29
