combined_rank,feature,coefficient_rank,coefficient,absolute_coefficient,odds_ratio,effect_direction,interpretation,permutation_rank,permutation_importance_mean,permutation_importance_std,positive_importance,importance_stability_ratio,average_rank
1,iqr_outlier_feature_count,1,7.331112160524516,7.331112160524516,1527.079185105151,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1527.079.,1,0.32081159420289856,0.07255516554931908,True,4.42162307499427,1.0
2,additions_iqr_outlier,3,-4.190881436862923,4.190881436862923,0.015132940261303894,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.015.,4,0.10892753623188406,0.0409017860448577,True,2.6631486486292144,3.5
3,deletions_iqr_outlier,5,-2.961802812178733,2.961802812178733,0.05172558155633047,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.052.,3,0.11194202898550724,0.04412995644775388,True,2.5366449005685534,4.0
4,documentation_files_changed_iqr_outlier,2,-4.81610934373044,4.81610934373044,0.008098233368625264,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.008.,8,0.045101449275362304,0.04054308906575188,True,1.1124324839239008,5.0
5,changed_files_iqr_outlier,4,-3.4977264471765612,3.4977264471765612,0.030266116873617736,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.030.,6,0.07408695652173913,0.04113557178040051,True,1.8010435570762788,5.0
6,log1p_body_length,10,1.8200252359938878,1.8200252359938878,6.172014204830978,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 6.172.,2,0.17037681159420287,0.0590487927428295,True,2.8853563922336467,6.0
7,total_changes_iqr_outlier,7,-2.3529709210777865,2.3529709210777865,0.09508624842671366,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.095.,11,0.023072463768115944,0.026647504142051085,True,0.8658395790135726,9.0
8,files_removed_iqr_outlier,6,-2.940230451209701,2.940230451209701,0.052853547170893286,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.053.,13,0.021333333333333305,0.019303216226571444,True,1.1051698889414783,9.5
9,additions,14,1.7661025397536942,1.7661025397536942,5.848016475629965,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 5.848.,9,0.04023188405797101,0.03296527741135834,True,1.2204321400343785,11.5
10,log1p_deletions,20,-1.3707518045312312,1.3707518045312312,0.2539159925831024,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.254.,5,0.07686956521739131,0.045473965491170054,True,1.6904082234112072,12.5
11,log1p_changed_files,23,-1.3550338980924748,1.3550338980924748,0.2579385506787842,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.258.,7,0.07205797101449277,0.045782459593005836,True,1.5739209220096386,15.0
12,configuration_files_changed_iqr_outlier,17,-1.3920014378361558,1.3920014378361558,0.24857729442740129,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.249.,17,0.008753623188405779,0.016554658280225766,True,0.5287709984845668,17.0
13,files_added_iqr_outlier,16,-1.6400610927015604,1.6400610927015604,0.19396819188804978,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.194.,19,0.005043478260869571,0.010919652713109572,True,0.46187167242183735,17.5
14,has_configuration_changes,18,-1.3920014378361558,1.3920014378361558,0.24857729442740129,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.249.,18,0.008753623188405779,0.016554658280225766,True,0.5287709984845668,18.0
15,has_detailed_description,24,1.2698548258360167,1.2698548258360167,3.5603356560833386,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 3.560.,14,0.0178550724637681,0.019133596576660975,True,0.9331791015990998,19.0
16,title_length_iqr_outlier,9,-2.099304351643023,2.099304351643023,0.12254164450293294,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.123.,31,0.0,0.0,False,,20.0
17,documentation_files_changed,36,0.7099363389105319,0.7099363389105319,2.033861776668782,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 2.034.,10,0.031362318840579675,0.016103947157503636,True,1.9474926571630236,23.0
18,deletions,8,-2.1379564425924915,2.1379564425924915,0.1178955232859747,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.118.,43,-0.004927536231884071,0.028151777551161203,False,-0.1750346393910327,25.5
19,requested_reviewer_count,26,-1.0586552429830396,1.0586552429830396,0.3469220226129278,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.347.,29,0.0,0.0,False,,27.5
20,deletion_ratio,40,0.5964342088319403,0.5964342088319403,1.815633075507267,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.816.,15,0.017043478260869556,0.019638745358618495,True,0.8678496487246319,27.5
21,requested_reviewer_count_iqr_outlier,27,-1.0586552429830396,1.0586552429830396,0.3469220226129278,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.347.,30,0.0,0.0,False,,28.5
22,configuration_files_changed,45,-0.4291204356687111,0.4291204356687111,0.6510815110217902,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.651.,12,0.021449275362318828,0.014270763623294104,True,1.5030222578494168,28.5
23,created_day_of_week,42,0.5352948401819307,0.5352948401819307,1.707951740826753,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.708.,16,0.013565217391304327,0.015210516045213207,True,0.8918315033481944,29.0
24,log1p_additions,39,0.6178348893041752,0.6178348893041752,1.8549076107698839,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.855.,20,0.004753623188405778,0.016597942746727695,True,0.28639833628435435,29.5
25,log1p_total_changes,37,0.6913169080199277,0.6913169080199277,1.9963428027747285,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1.996.,23,0.0032463768115941895,0.015637566989952726,True,0.20760114496583867,30.0
26,has_test_changes,21,-1.3615290082694813,1.3615290082694813,0.25626864036957914,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.256.,41,-0.004521739130434814,0.017850554670300525,False,-0.25331084741910087,31.0
27,commit_count_iqr_outlier,28,-1.04886417768004,1.04886417768004,0.35033544202868344,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.350.,34,-0.00040579710144927005,0.006052629223808353,False,-0.06704476458809745,31.0
28,has_any_iqr_outlier,15,1.7218879245484449,1.7218879245484449,5.595081591274505,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 5.595.,48,-0.009449275362318838,0.011253098245453246,False,-0.8397043335275924,31.5
29,short_title,31,-0.9957938005049144,0.9957938005049144,0.36943007434121367,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.369.,32,-0.000173913043478251,0.005034140948490315,False,-0.03454671715745378,31.5
30,test_files_changed_iqr_outlier,22,-1.3615290082694813,1.3615290082694813,0.25626864036957914,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.256.,42,-0.004521739130434814,0.017850554670300525,False,-0.25331084741910087,32.0
31,has_multiple_commits,29,-1.04886417768004,1.04886417768004,0.35033544202868344,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.350.,35,-0.00040579710144927005,0.006052629223808353,False,-0.06704476458809745,32.0
