prediction_outcome,feature,contribution_direction,occurrence_count,average_absolute_contribution,average_logit_contribution
false_negative,iqr_outlier_feature_count,toward_delayed,1,26.44373223402138,26.44373223402138
false_negative,iqr_outlier_feature_count,toward_not_delayed,1,6.056944254719981,-6.056944254719981
false_negative,deletions,toward_not_delayed,1,5.941509557180547,-5.941509557180547
false_negative,log1p_changed_files,toward_not_delayed,1,4.995518010721531,-4.995518010721531
false_negative,documentation_files_changed_iqr_outlier,toward_not_delayed,1,4.81610934373044,-4.81610934373044
false_negative,log1p_deletions,toward_not_delayed,1,4.289784465385961,-4.289784465385961
false_negative,additions_iqr_outlier,toward_not_delayed,1,4.190881436862923,-4.190881436862923
false_negative,documentation_files_changed,toward_delayed,1,3.7978085481720814,3.7978085481720814
false_negative,changed_files_iqr_outlier,toward_not_delayed,1,3.4977264471765612,-3.4977264471765612
false_negative,additions,toward_delayed,1,3.417579915460188,3.417579915460188
false_negative,deletions_iqr_outlier,toward_not_delayed,1,2.961802812178733,-2.961802812178733
false_negative,log1p_deletions,toward_delayed,1,0.9154521934471924,0.9154521934471924
false_negative,created_day_of_week,toward_delayed,1,0.9044680088616689,0.9044680088616689
false_negative,log1p_changed_files,toward_delayed,1,0.9007286445225189,0.9007286445225189
false_negative,log1p_total_changes,toward_not_delayed,1,0.6037476609982014,-0.6037476609982014
false_negative,created_on_weekend,toward_not_delayed,1,0.5804137370157485,-0.5804137370157485
false_negative,log1p_additions,toward_not_delayed,1,0.5225737228083911,-0.5225737228083911
false_negative,has_description,toward_delayed,1,0.48368925775151506,0.48368925775151506
false_negative,deletions,toward_delayed,1,0.43344630301957043,0.43344630301957043
false_negative,body_word_count,toward_delayed,1,0.42837617142864803,0.42837617142864803
false_positive,iqr_outlier_feature_count,toward_not_delayed,1,3.1023373011980384,-3.1023373011980384
false_positive,log1p_body_length,toward_not_delayed,1,1.979269857105207,-1.979269857105207
false_positive,has_any_iqr_outlier,toward_delayed,1,1.7218879245484449,1.7218879245484449
false_positive,log1p_body_word_count,toward_delayed,1,1.6972152040884607,1.6972152040884607
false_positive,log1p_deletions,toward_delayed,1,1.4952755590088869,1.4952755590088869
false_positive,deletion_ratio,toward_not_delayed,1,1.2061871854478627,-1.2061871854478627
false_positive,has_security_sensitive_changes,toward_not_delayed,1,0.9683032594515192,-0.9683032594515192
false_positive,security_sensitive_files_changed_iqr_outlier,toward_not_delayed,1,0.9683032594515192,-0.9683032594515192
false_positive,log1p_changed_files,toward_delayed,1,0.9007286445225189,0.9007286445225189
false_positive,created_day_of_week,toward_not_delayed,1,0.6916520067765705,-0.6916520067765705
