coefficient_rank,feature,coefficient,absolute_coefficient,odds_ratio,effect_direction,interpretation
1,iqr_outlier_feature_count,7.331112160524516,7.331112160524516,1527.079185105151,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 1527.079.
2,documentation_files_changed_iqr_outlier,-4.81610934373044,4.81610934373044,0.008098233368625264,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.008.
3,additions_iqr_outlier,-4.190881436862923,4.190881436862923,0.015132940261303894,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.015.
4,changed_files_iqr_outlier,-3.4977264471765612,3.4977264471765612,0.030266116873617736,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.030.
5,deletions_iqr_outlier,-2.961802812178733,2.961802812178733,0.05172558155633047,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.052.
6,files_removed_iqr_outlier,-2.940230451209701,2.940230451209701,0.052853547170893286,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.053.
7,total_changes_iqr_outlier,-2.3529709210777865,2.3529709210777865,0.09508624842671366,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.095.
8,deletions,-2.1379564425924915,2.1379564425924915,0.1178955232859747,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.118.
9,title_length_iqr_outlier,-2.099304351643023,2.099304351643023,0.12254164450293294,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.123.
10,log1p_body_length,1.8200252359938878,1.8200252359938878,6.172014204830978,increases_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 6.172.
11,body_length_iqr_outlier,-1.7921581062548813,1.7921581062548813,0.1666002404030594,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.167.
12,body_word_count_iqr_outlier,-1.7921581062548813,1.7921581062548813,0.1666002404030594,reduces_delay_risk,A one-standard-deviation increase in this feature multiplies the estimated delay odds by 0.167.
