permutation_rank,feature,permutation_importance_mean,permutation_importance_std,positive_importance,importance_stability_ratio
1,iqr_outlier_feature_count,0.32081159420289856,0.07255516554931908,True,4.42162307499427
2,log1p_body_length,0.17037681159420287,0.0590487927428295,True,2.8853563922336467
3,deletions_iqr_outlier,0.11194202898550724,0.04412995644775388,True,2.5366449005685534
4,additions_iqr_outlier,0.10892753623188406,0.0409017860448577,True,2.6631486486292144
5,log1p_deletions,0.07686956521739131,0.045473965491170054,True,1.6904082234112072
6,changed_files_iqr_outlier,0.07408695652173913,0.04113557178040051,True,1.8010435570762788
7,log1p_changed_files,0.07205797101449277,0.045782459593005836,True,1.5739209220096386
8,documentation_files_changed_iqr_outlier,0.045101449275362304,0.04054308906575188,True,1.1124324839239008
9,additions,0.04023188405797101,0.03296527741135834,True,1.2204321400343785
10,documentation_files_changed,0.031362318840579675,0.016103947157503636,True,1.9474926571630236
11,total_changes_iqr_outlier,0.023072463768115944,0.026647504142051085,True,0.8658395790135726
12,configuration_files_changed,0.021449275362318828,0.014270763623294104,True,1.5030222578494168
13,files_removed_iqr_outlier,0.021333333333333305,0.019303216226571444,True,1.1051698889414783
14,has_detailed_description,0.0178550724637681,0.019133596576660975,True,0.9331791015990998
15,deletion_ratio,0.017043478260869556,0.019638745358618495,True,0.8678496487246319
16,created_day_of_week,0.013565217391304327,0.015210516045213207,True,0.8918315033481944
17,configuration_files_changed_iqr_outlier,0.008753623188405779,0.016554658280225766,True,0.5287709984845668
18,has_configuration_changes,0.008753623188405779,0.016554658280225766,True,0.5287709984845668
19,files_added_iqr_outlier,0.005043478260869571,0.010919652713109572,True,0.46187167242183735
20,log1p_additions,0.004753623188405778,0.016597942746727695,True,0.28639833628435435
21,files_modified,0.004753623188405769,0.008863311236459788,True,0.536325878848916
22,label_count,0.0037681159420289777,0.011214807027335122,True,0.33599471955643295
23,log1p_total_changes,0.0032463768115941895,0.015637566989952726,True,0.20760114496583867
24,changed_files,0.0015072463768115686,0.006865099753315914,True,0.2195519993840662
25,test_files_changed,0.000521739130434764,0.005845881723341069,True,0.08924900556088858
26,files_added,0.00023188405797102573,0.002582151588558864,True,0.08980265101339134
27,files_renamed,0.0,0.0,False,
28,files_renamed_iqr_outlier,0.0,0.0,False,
29,requested_reviewer_count,0.0,0.0,False,
30,requested_reviewer_count_iqr_outlier,0.0,0.0,False,
31,title_length_iqr_outlier,0.0,0.0,False,
32,short_title,-0.000173913043478251,0.005034140948490315,False,-0.03454671715745378
33,log1p_commit_count,-0.0003478260869565153,0.006152579321238999,False,-0.05653337710832967
34,commit_count_iqr_outlier,-0.00040579710144927005,0.006052629223808353,False,-0.06704476458809745
35,has_multiple_commits,-0.00040579710144927005,0.006052629223808353,False,-0.06704476458809745
36,has_description,-0.0008115942028985534,0.0049203698954024214,False,-0.16494577036919614
37,created_hour_utc,-0.0010434782608695792,0.002301383564206308,False,-0.4534134496738921
38,commit_count,-0.0020289855072463635,0.00826468256775842,False,-0.24550071834116102
39,change_density_per_file,-0.002666666666666708,0.0018184796685632597,False,-1.4664264400457017
40,title_length,-0.004289855072463786,0.003240159678256715,False,-1.3239640938843584
41,has_test_changes,-0.004521739130434814,0.017850554670300525,False,-0.25331084741910087
42,test_files_changed_iqr_outlier,-0.004521739130434814,0.017850554670300525,False,-0.25331084741910087
43,deletions,-0.004927536231884071,0.028151777551161203,False,-0.1750346393910327
44,files_modified_iqr_outlier,-0.006260869565217413,0.014738325259810843,False,-0.42480196730966757
45,files_removed,-0.006666666666666667,0.006330530338504798,False,-1.0530976569399493
46,created_on_weekend,-0.007536231884057958,0.009147671790179408,False,-0.823841525681821
47,total_changes,-0.00910144927536233,0.004058385072043414,False,-2.2426283149074644
48,has_any_iqr_outlier,-0.009449275362318838,0.011253098245453246,False,-0.8397043335275924
49,security_sensitive_files_changed,-0.009449275362318908,0.0036114592758661056,False,-2.616470141436876
50,has_documentation_changes,-0.009507246376811608,0.004300808577621197,False,-2.2105718506704903
51,has_security_sensitive_changes,-0.01988405797101452,0.009957017476003232,False,-1.9969893614162886
52,security_sensitive_files_changed_iqr_outlier,-0.01988405797101452,0.009957017476003232,False,-1.9969893614162886
53,log1p_body_word_count,-0.022724637681159416,0.020824105076495476,False,-1.09126599187252
54,body_length_iqr_outlier,-0.0337971014492754,0.006151759942372095,False,-5.493891466162018
55,body_word_count_iqr_outlier,-0.0337971014492754,0.006151759942372095,False,-5.493891466162018
56,very_long_description,-0.0337971014492754,0.006151759942372095,False,-5.493891466162018
57,body_length,-0.03385507246376812,0.008951595662357145,False,-3.782015379239478
58,body_word_count,-0.03605797101449276,0.012689694850055425,False,-2.8415160049601407
