rule_id,rule_name,category,severity,weight,evaluated_pr_count,triggered_pr_count,trigger_rate
PR012,Multiple unusual PR characteristics,Complexity,Moderate,10,600,265,0.44166666666666665
PR002,Weak PR description,Documentation,Moderate,8,600,243,0.405
PR003,Substantive change without tests,Testing,High,22,600,156,0.26
PR011,Risk-bearing PR without reviewer,Governance,High,18,600,146,0.24333333333333335
PR007,Configuration change,Operations,Moderate,10,600,120,0.2
PR004,Substantial change without documentation,Documentation,Moderate,10,600,85,0.14166666666666666
PR001,Missing PR description,Documentation,High,18,600,37,0.06166666666666667
PR005,Security-sensitive file change,Security,High,20,600,34,0.056666666666666664
PR010,High commit complexity,Complexity,Moderate,8,600,18,0.03
PR009,Very large pull request,Complexity,High,22,600,16,0.02666666666666667
PR006,Security-sensitive change without tests,Security,Critical,28,600,15,0.025
PR008,Large pull request,Complexity,Moderate,12,600,12,0.02
