pr_number,merge_probability,merge_prediction,merge_prediction_confidence,merge_prediction_threshold,merge_prediction_model_name
2575,0.12413223789635217,0,0.8758677621036478,0.425,contributor_neutral_random_forest_tuned
2577,0.6063836044566375,1,0.6063836044566375,0.425,contributor_neutral_random_forest_tuned
2579,0.5424118964285671,1,0.5424118964285671,0.425,contributor_neutral_random_forest_tuned
2582,0.6791366591230973,1,0.6791366591230973,0.425,contributor_neutral_random_forest_tuned
2588,0.19253889193084375,0,0.8074611080691563,0.425,contributor_neutral_random_forest_tuned
2592,0.6770398463629556,1,0.6770398463629556,0.425,contributor_neutral_random_forest_tuned
2600,0.2811555578088652,0,0.7188444421911349,0.425,contributor_neutral_random_forest_tuned
2603,0.5299483568350415,1,0.5299483568350415,0.425,contributor_neutral_random_forest_tuned
2609,0.6048965989324757,1,0.6048965989324757,0.425,contributor_neutral_random_forest_tuned
2614,0.15138040270164665,0,0.8486195972983533,0.425,contributor_neutral_random_forest_tuned
2619,0.3930403309951553,0,0.6069596690048447,0.425,contributor_neutral_random_forest_tuned
2622,0.8917955778423303,1,0.8917955778423303,0.425,contributor_neutral_random_forest_tuned
2630,0.5130859656654961,1,0.5130859656654961,0.425,contributor_neutral_random_forest_tuned
2633,0.3409796593033153,0,0.6590203406966847,0.425,contributor_neutral_random_forest_tuned
2637,0.7864915218914679,1,0.7864915218914679,0.425,contributor_neutral_random_forest_tuned
2641,0.4523949612614834,1,0.4523949612614834,0.425,contributor_neutral_random_forest_tuned
2650,0.5094717385239322,1,0.5094717385239322,0.425,contributor_neutral_random_forest_tuned
2652,0.6538876852978115,1,0.6538876852978115,0.425,contributor_neutral_random_forest_tuned
2672,0.37266001983288327,0,0.6273399801671167,0.425,contributor_neutral_random_forest_tuned
2676,0.7522309276748866,1,0.7522309276748866,0.425,contributor_neutral_random_forest_tuned
2682,0.13132606124812135,0,0.8686739387518787,0.425,contributor_neutral_random_forest_tuned
2685,0.817884388652609,1,0.817884388652609,0.425,contributor_neutral_random_forest_tuned
2699,0.7593021498785573,1,0.7593021498785573,0.425,contributor_neutral_random_forest_tuned
2719,0.6060490870587475,1,0.6060490870587475,0.425,contributor_neutral_random_forest_tuned
2730,0.8714437722056534,1,0.8714437722056534,0.425,contributor_neutral_random_forest_tuned
2740,0.3939829460166661,0,0.6060170539833338,0.425,contributor_neutral_random_forest_tuned
2746,0.822725396971964,1,0.822725396971964,0.425,contributor_neutral_random_forest_tuned
2753,0.333109926484755,0,0.666890073515245,0.425,contributor_neutral_random_forest_tuned
2765,0.7382781408034665,1,0.7382781408034665,0.425,contributor_neutral_random_forest_tuned
2775,0.2630635029790975,0,0.7369364970209025,0.425,contributor_neutral_random_forest_tuned
2781,0.22272486764252203,0,0.777275132357478,0.425,contributor_neutral_random_forest_tuned
2783,0.19076443468590937,0,0.8092355653140906,0.425,contributor_neutral_random_forest_tuned
2793,0.6703942368035245,1,0.6703942368035245,0.425,contributor_neutral_random_forest_tuned
2797,0.38940749989338225,0,0.6105925001066177,0.425,contributor_neutral_random_forest_tuned
2808,0.8737231838681356,1,0.8737231838681356,0.425,contributor_neutral_random_forest_tuned
2809,0.2391055759331268,0,0.7608944240668731,0.425,contributor_neutral_random_forest_tuned
2834,0.649317873773218,1,0.649317873773218,0.425,contributor_neutral_random_forest_tuned
2835,0.3553843354678273,0,0.6446156645321728,0.425,contributor_neutral_random_forest_tuned
2849,0.09980543851104706,0,0.9001945614889529,0.425,contributor_neutral_random_forest_tuned
2850,0.6154036188996329,1,0.6154036188996329,0.425,contributor_neutral_random_forest_tuned
2854,0.5635226098170723,1,0.5635226098170723,0.425,contributor_neutral_random_forest_tuned
2855,0.23392915839793915,0,0.7660708416020608,0.425,contributor_neutral_random_forest_tuned
2858,0.2981411398259485,0,0.7018588601740515,0.425,contributor_neutral_random_forest_tuned
2859,0.18028559261885288,0,0.8197144073811471,0.425,contributor_neutral_random_forest_tuned
2861,0.6678881573562487,1,0.6678881573562487,0.425,contributor_neutral_random_forest_tuned
2862,0.13545896525911796,0,0.8645410347408821,0.425,contributor_neutral_random_forest_tuned
2871,0.29975507082096603,0,0.700244929179034,0.425,contributor_neutral_random_forest_tuned
2872,0.8442238849217868,1,0.8442238849217868,0.425,contributor_neutral_random_forest_tuned
2874,0.4586231821118756,1,0.4586231821118756,0.425,contributor_neutral_random_forest_tuned
2877,0.8116320433656046,1,0.8116320433656046,0.425,contributor_neutral_random_forest_tuned
2889,0.3618583116705874,0,0.6381416883294126,0.425,contributor_neutral_random_forest_tuned
2898,0.6403986895129262,1,0.6403986895129262,0.425,contributor_neutral_random_forest_tuned
2904,0.09228191400158689,0,0.9077180859984131,0.425,contributor_neutral_random_forest_tuned
2910,0.40352152171336997,0,0.59647847828663,0.425,contributor_neutral_random_forest_tuned
2913,0.8214086374829547,1,0.8214086374829547,0.425,contributor_neutral_random_forest_tuned
2915,0.6089709858043876,1,0.6089709858043876,0.425,contributor_neutral_random_forest_tuned
2917,0.7592464227979401,1,0.7592464227979401,0.425,contributor_neutral_random_forest_tuned
2921,0.16944452610814248,0,0.8305554738918575,0.425,contributor_neutral_random_forest_tuned
2928,0.7616536651547674,1,0.7616536651547674,0.425,contributor_neutral_random_forest_tuned
2929,0.23433026989972808,0,0.765669730100272,0.425,contributor_neutral_random_forest_tuned
2930,0.40101010714068713,0,0.5989898928593129,0.425,contributor_neutral_random_forest_tuned
2934,0.7573673192318187,1,0.7573673192318187,0.425,contributor_neutral_random_forest_tuned
2940,0.3853678223710733,0,0.6146321776289267,0.425,contributor_neutral_random_forest_tuned
2944,0.13617982150764665,0,0.8638201784923534,0.425,contributor_neutral_random_forest_tuned
2955,0.17309475287980206,0,0.826905247120198,0.425,contributor_neutral_random_forest_tuned
2963,0.5319896760036378,1,0.5319896760036378,0.425,contributor_neutral_random_forest_tuned
2969,0.7187847888299546,1,0.7187847888299546,0.425,contributor_neutral_random_forest_tuned
2973,0.625177535660288,1,0.625177535660288,0.425,contributor_neutral_random_forest_tuned
2983,0.2545501922638784,0,0.7454498077361216,0.425,contributor_neutral_random_forest_tuned
2986,0.548978406730685,1,0.548978406730685,0.425,contributor_neutral_random_forest_tuned
2993,0.723879881814607,1,0.723879881814607,0.425,contributor_neutral_random_forest_tuned
3001,0.39486317914861213,0,0.6051368208513879,0.425,contributor_neutral_random_forest_tuned
3011,0.7292834746109518,1,0.7292834746109518,0.425,contributor_neutral_random_forest_tuned
3015,0.08925007076777589,0,0.9107499292322241,0.425,contributor_neutral_random_forest_tuned
3030,0.27074420770225216,0,0.7292557922977478,0.425,contributor_neutral_random_forest_tuned
3031,0.7275723290614863,1,0.7275723290614863,0.425,contributor_neutral_random_forest_tuned
3042,0.31825198205967725,0,0.6817480179403228,0.425,contributor_neutral_random_forest_tuned
3049,0.9096561610464075,1,0.9096561610464075,0.425,contributor_neutral_random_forest_tuned
3052,0.22454328690331865,0,0.7754567130966814,0.425,contributor_neutral_random_forest_tuned
3056,0.5656008719037929,1,0.5656008719037929,0.425,contributor_neutral_random_forest_tuned
3058,0.23714903805883322,0,0.7628509619411667,0.425,contributor_neutral_random_forest_tuned
3059,0.6883297395369058,1,0.6883297395369058,0.425,contributor_neutral_random_forest_tuned
3060,0.48200937359848056,1,0.48200937359848056,0.425,contributor_neutral_random_forest_tuned
3063,0.6153212100594584,1,0.6153212100594584,0.425,contributor_neutral_random_forest_tuned
3065,0.7832278887618563,1,0.7832278887618563,0.425,contributor_neutral_random_forest_tuned
3067,0.9020719659717266,1,0.9020719659717266,0.425,contributor_neutral_random_forest_tuned
3069,0.5718941998637556,1,0.5718941998637556,0.425,contributor_neutral_random_forest_tuned
3073,0.3936968644679576,0,0.6063031355320424,0.425,contributor_neutral_random_forest_tuned
3075,0.25211334147598113,0,0.7478866585240189,0.425,contributor_neutral_random_forest_tuned
3079,0.15575644590244372,0,0.8442435540975562,0.425,contributor_neutral_random_forest_tuned
3082,0.27678363747895485,0,0.7232163625210452,0.425,contributor_neutral_random_forest_tuned
3100,0.465315486637795,1,0.465315486637795,0.425,contributor_neutral_random_forest_tuned
3101,0.5474244124960402,1,0.5474244124960402,0.425,contributor_neutral_random_forest_tuned
3104,0.7761433059560798,1,0.7761433059560798,0.425,contributor_neutral_random_forest_tuned
3109,0.32244451243466415,0,0.6775554875653358,0.425,contributor_neutral_random_forest_tuned
3112,0.524380542817665,1,0.524380542817665,0.425,contributor_neutral_random_forest_tuned
3113,0.5938898294586269,1,0.5938898294586269,0.425,contributor_neutral_random_forest_tuned
3121,0.1562565954076359,0,0.8437434045923641,0.425,contributor_neutral_random_forest_tuned
3128,0.5199339179576089,1,0.5199339179576089,0.425,contributor_neutral_random_forest_tuned
3129,0.8180965124154733,1,0.8180965124154733,0.425,contributor_neutral_random_forest_tuned
3136,0.46206399136192344,1,0.46206399136192344,0.425,contributor_neutral_random_forest_tuned
3137,0.6154667196128004,1,0.6154667196128004,0.425,contributor_neutral_random_forest_tuned
3149,0.264197473377915,0,0.735802526622085,0.425,contributor_neutral_random_forest_tuned
3156,0.48238391281113663,1,0.48238391281113663,0.425,contributor_neutral_random_forest_tuned
3159,0.6791983831760673,1,0.6791983831760673,0.425,contributor_neutral_random_forest_tuned
3173,0.4704272310472624,1,0.4704272310472624,0.425,contributor_neutral_random_forest_tuned
3177,0.3316848347733248,0,0.6683151652266752,0.425,contributor_neutral_random_forest_tuned
3183,0.634973033126887,1,0.634973033126887,0.425,contributor_neutral_random_forest_tuned
3184,0.2196441455873162,0,0.7803558544126838,0.425,contributor_neutral_random_forest_tuned
3192,0.1863988024250282,0,0.8136011975749717,0.425,contributor_neutral_random_forest_tuned
3199,0.8032084468322039,1,0.8032084468322039,0.425,contributor_neutral_random_forest_tuned
3200,0.45999794781199377,1,0.45999794781199377,0.425,contributor_neutral_random_forest_tuned
3205,0.1455213523101458,0,0.8544786476898543,0.425,contributor_neutral_random_forest_tuned
3230,0.7067599781373758,1,0.7067599781373758,0.425,contributor_neutral_random_forest_tuned
3236,0.6641703754631071,1,0.6641703754631071,0.425,contributor_neutral_random_forest_tuned
3238,0.4930759037770775,1,0.4930759037770775,0.425,contributor_neutral_random_forest_tuned
3244,0.8009141097269332,1,0.8009141097269332,0.425,contributor_neutral_random_forest_tuned
3260,0.39168384540938334,0,0.6083161545906166,0.425,contributor_neutral_random_forest_tuned
3267,0.3995672271810428,0,0.6004327728189571,0.425,contributor_neutral_random_forest_tuned
3274,0.6504711604583897,1,0.6504711604583897,0.425,contributor_neutral_random_forest_tuned
3276,0.34556995974356197,0,0.654430040256438,0.425,contributor_neutral_random_forest_tuned
3278,0.8015521518080451,1,0.8015521518080451,0.425,contributor_neutral_random_forest_tuned
