pr_number,delay_probability,delay_prediction,delay_prediction_confidence,delay_prediction_threshold,delay_prediction_model_name
2577,0.2179780611179871,0,0.7820219388820129,0.75,logistic_candidate_07
2582,0.4672111366383131,0,0.5327888633616868,0.75,logistic_candidate_07
2592,0.408469108146235,0,0.591530891853765,0.75,logistic_candidate_07
2603,0.06133596527210352,0,0.9386640347278965,0.75,logistic_candidate_07
2609,0.5424403277002824,0,0.4575596722997176,0.75,logistic_candidate_07
2622,0.33935606341453023,0,0.6606439365854697,0.75,logistic_candidate_07
2630,0.04938091533898488,0,0.9506190846610151,0.75,logistic_candidate_07
2637,0.19679438013278422,0,0.8032056198672157,0.75,logistic_candidate_07
2652,0.0036159502951153555,0,0.9963840497048846,0.75,logistic_candidate_07
2676,0.990802000620399,1,0.990802000620399,0.75,logistic_candidate_07
2685,0.07089696930275306,0,0.929103030697247,0.75,logistic_candidate_07
2699,0.02456501036669743,0,0.9754349896333026,0.75,logistic_candidate_07
2719,0.11888215973771682,0,0.8811178402622832,0.75,logistic_candidate_07
2730,0.1112063700294096,0,0.8887936299705904,0.75,logistic_candidate_07
2746,0.24811896636116745,0,0.7518810336388325,0.75,logistic_candidate_07
2765,0.9385603452087589,1,0.9385603452087589,0.75,logistic_candidate_07
2793,0.061912454026365686,0,0.9380875459736343,0.75,logistic_candidate_07
2808,0.013209598214613793,0,0.9867904017853862,0.75,logistic_candidate_07
2834,0.15351069625082805,0,0.846489303749172,0.75,logistic_candidate_07
2850,0.13325961920270274,0,0.8667403807972973,0.75,logistic_candidate_07
2854,0.9947148356478268,1,0.9947148356478268,0.75,logistic_candidate_07
2861,0.84892867262843,1,0.84892867262843,0.75,logistic_candidate_07
2872,0.07665855836487048,0,0.9233414416351295,0.75,logistic_candidate_07
2877,0.8753322985417812,1,0.8753322985417812,0.75,logistic_candidate_07
2898,0.9915051154605792,1,0.9915051154605792,0.75,logistic_candidate_07
2910,0.5392221052284601,0,0.46077789477153985,0.75,logistic_candidate_07
2913,0.9833641058786768,1,0.9833641058786768,0.75,logistic_candidate_07
2915,0.10142838278008207,0,0.898571617219918,0.75,logistic_candidate_07
2917,0.9770076002360116,1,0.9770076002360116,0.75,logistic_candidate_07
2928,0.8244603400266939,1,0.8244603400266939,0.75,logistic_candidate_07
2934,0.9332939984958257,1,0.9332939984958257,0.75,logistic_candidate_07
2940,0.6466989047592094,0,0.35330109524079056,0.75,logistic_candidate_07
2963,0.42156818368909615,0,0.5784318163109039,0.75,logistic_candidate_07
2969,0.16079946678878163,0,0.8392005332112183,0.75,logistic_candidate_07
2986,0.954135312926163,1,0.954135312926163,0.75,logistic_candidate_07
2993,0.3352827178877678,0,0.6647172821122322,0.75,logistic_candidate_07
3011,0.9321670813375919,1,0.9321670813375919,0.75,logistic_candidate_07
3031,0.9114451400633345,1,0.9114451400633345,0.75,logistic_candidate_07
3049,0.8245150098605212,1,0.8245150098605212,0.75,logistic_candidate_07
3056,0.3385206087287268,0,0.6614793912712732,0.75,logistic_candidate_07
3059,0.4820350163212167,0,0.5179649836787833,0.75,logistic_candidate_07
3063,0.25972073598317347,0,0.7402792640168265,0.75,logistic_candidate_07
3065,0.2726820079070612,0,0.7273179920929388,0.75,logistic_candidate_07
3067,0.12969318243973685,0,0.8703068175602632,0.75,logistic_candidate_07
3069,0.9250198520637377,1,0.9250198520637377,0.75,logistic_candidate_07
3082,0.14342083775919603,0,0.856579162240804,0.75,logistic_candidate_07
