chunk_id,document_id,chunk_index,section_name,character_count,word_count,repository,pr_number,review_priority,policy_risk_band,manual_review_required
prchunk_43245663e9bd58dd8141,prdoc_771bb76adc7750ca0ebc,0,PR identity,262,34,pallets/flask,5844,Critical,Critical,True
prchunk_47445f21984594b4a0c2,prdoc_771bb76adc7750ca0ebc,1,PR description,1184,180,pallets/flask,5844,Critical,Critical,True
prchunk_a08a1ccb0fea3d14dde2,prdoc_771bb76adc7750ca0ebc,2,PR description,216,39,pallets/flask,5844,Critical,Critical,True
prchunk_b8cb17f0a3eff9eadfd9,prdoc_771bb76adc7750ca0ebc,3,Change evidence,404,68,pallets/flask,5844,Critical,Critical,True
prchunk_7662e412a3bd619ab62d,prdoc_771bb76adc7750ca0ebc,4,Predictive intelligence,430,60,pallets/flask,5844,Critical,Critical,True
prchunk_985b970ba8efeae270b3,prdoc_771bb76adc7750ca0ebc,5,Deterministic policy intelligence,996,129,pallets/flask,5844,Critical,Critical,True
prchunk_dbec4b66e227f94e7859,prdoc_771bb76adc7750ca0ebc,6,Unified review priority,306,41,pallets/flask,5844,Critical,Critical,True
prchunk_d7fe55941eb2c3d6b561,prdoc_70dcfe694d641b6da04a,0,PR identity,279,34,pallets/flask,4397,Critical,Critical,True
prchunk_4a0bb6238153561df355,prdoc_70dcfe694d641b6da04a,1,PR description,715,89,pallets/flask,4397,Critical,Critical,True
prchunk_772df6e8b34a3e742dd5,prdoc_70dcfe694d641b6da04a,2,Change evidence,404,68,pallets/flask,4397,Critical,Critical,True
prchunk_1d56aed7b6cdc2e095c3,prdoc_70dcfe694d641b6da04a,3,Predictive intelligence,426,59,pallets/flask,4397,Critical,Critical,True
prchunk_488f7cc38b37acdc3882,prdoc_70dcfe694d641b6da04a,4,Deterministic policy intelligence,754,103,pallets/flask,4397,Critical,Critical,True
prchunk_8989185cd31b8acbe7f0,prdoc_70dcfe694d641b6da04a,5,Unified review priority,306,41,pallets/flask,4397,Critical,Critical,True
prchunk_d535ae833eca5f065086,prdoc_1908e0b55ad11421c346,0,PR identity,274,37,pallets/flask,4139,Critical,Critical,True
