document_id,repository,pr_number,title,document_character_count,document_word_count,chunk_count,review_priority,review_priority_score,policy_risk_band,policy_risk_score,manual_review_required,merge_probability,delay_score_available,delay_probability,triggered_rule_count
prdoc_771bb76adc7750ca0ebc,pallets/flask,5844,pre-commit: Add codespell,3673,526,7,Critical,94.1748,Critical,100.0,True,0.2608143609772189,True,0.9594029364299322,7
prdoc_70dcfe694d641b6da04a,pallets/flask,4397,Remove X-XSS-Protection suggestion,2894,394,6,Critical,85.3982,Critical,98.0,True,0.662804556416862,True,0.9969549040124652,5
prdoc_1908e0b55ad11421c346,pallets/flask,4139,Avoid race condition in example app,2828,417,6,Critical,84.7626,Critical,98.0,True,0.6840918341313483,True,0.9829596066285672,5
prdoc_d838c75e7379dbb6f883,pallets/flask,5798,security docs for TRUSTED_HOSTS,2346,331,6,Critical,82.8668,Critical,96.0,True,0.5718918594916389,True,0.7936433330545047,5
prdoc_69e9ee304279e3c60fe0,pallets/flask,5017,Add files via upload.,3563,543,7,Critical,81.1747,Critical,100.0,True,0.1912635337922163,False,,7
prdoc_3c8e2ba1646df3130162,pallets/flask,4415,Fixed Typos and Grammatical Errors,3516,542,7,Critical,80.6951,Critical,98.0,True,0.1502444307432603,False,,5
prdoc_f2f91946be86f82f5f5d,pallets/flask,5457,update project files,2639,366,6,Critical,80.4788,Critical,86.0,True,0.5174980083985552,True,0.9952481732942012,7
prdoc_c1b926c76a39e24f30d8,pallets/flask,5765,Fix session cookie path resolution,2948,420,6,Critical,80.4253,Critical,98.0,True,0.1637353947600335,False,,5
prdoc_2a821b9cecaaa89bbfaa,pallets/flask,5460,support FIPS builds without SHA-1,2589,381,6,Critical,79.5971,Critical,88.0,True,0.437112013398262,True,0.7426229376482432,4
prdoc_551fc8566d45fc88bf1a,pallets/flask,4936,Code Refactor,3799,538,7,Critical,77.6703,Critical,100.0,True,0.3664842037835412,False,,6
prdoc_d3c64c45fa73fe9556e5,pallets/flask,5713,try 3,3381,500,6,Critical,77.3873,Critical,100.0,True,0.3806336132417549,False,,7
prdoc_2cdcb2eda4624dac8174,pallets/flask,3733,Disable required attributes overriding error output,2758,389,6,Critical,77.0206,Critical,100.0,True,0.3989684641473853,False,,6
prdoc_d6300fe17906f83c0a7e,pallets/flask,5795,Update GitHub Actions workflow for artifact handling,3819,537,7,Critical,76.5557,Critical,70.0,True,0.138783489048591,True,0.9220933181336824,5
prdoc_65c370e5d5b0473a2b71,pallets/flask,5695,Remove HTTP Public Key Pinning from docs,2635,376,6,Critical,76.4694,Critical,88.0,True,0.66808052758993,True,0.8420679841526947,4
prdoc_24c4580b01e459d3aa4d,pallets/flask,3876,Increase the point in the comment.,2728,383,6,Critical,75.7806,Critical,96.0,True,0.3309686436000031,False,,7
prdoc_8af2e53a908b4619aa28,pallets/flask,5377,[pre-commit.ci] pre-commit autoupdate,2662,349,6,Critical,75.1838,Critical,78.0,True,0.4248633708733975,True,0.8654011903676954,6
prdoc_5ad6c8bb7ed4995adac2,pallets/flask,5727,use uv,3207,490,6,Critical,74.6486,Critical,92.0,True,0.4812525792309955,True,0.2982460872811567,6
prdoc_57fe185a86bde8fec56b,pallets/flask,5865,Increase required flit_core version to 3.11,3436,504,7,Critical,74.6178,Critical,70.0,True,0.2240847543744287,True,0.9066326703014124,5
prdoc_6f766227dcbf0e9e163e,pallets/flask,5449,Number of characters in lines,2808,396,6,Critical,74.5757,Critical,96.0,True,0.3912135581452383,False,,7
prdoc_1e5a4e3009ce383f389d,pallets/flask,4173,Update... eliminated binaries of CPython 3.10.0 Beta 3.,2762,389,6,Critical,74.3668,Critical,100.0,True,0.5316619855321042,False,,8
prdoc_05204bf6ef5a0fea869f,pallets/flask,5423,Use per-release URLs in GH env UI when publishing to the PyPI,2654,382,6,Critical,74.0432,Critical,78.0,True,0.4529842207635838,True,0.8268573960570009,6
prdoc_cc8ef61c677618f75e7b,pallets/flask,5750,Add section on host header injection and _external=True in url_for (#…,2948,420,6,Critical,73.5985,Critical,88.0,True,0.1800745943759512,False,,4
prdoc_c3a32848bab7e6b17db3,pallets/flask,4833,[pre-commit.ci] pre-commit autoupdate,2788,353,6,Critical,72.4514,Critical,78.0,True,0.5968609393400178,True,0.9125731071800656,6
prdoc_ef0c730d0df57e10c7cf,pallets/flask,3737,provided possibility to configure digest method with different hashin…,2765,396,6,Critical,72.1739,Critical,88.0,True,0.2513026651326828,False,,4
prdoc_207d1edd1e836be34626,pallets/flask,3524,Remove deprecated `license_file` option,3322,449,6,Critical,71.8574,Critical,70.0,True,0.3913102173278763,True,0.9455704297888016,5
prdoc_316cf9ed8849c6892a0f,pallets/flask,2676,rewrite tutorial docs and example,3947,593,7,Critical,71.8174,Critical,80.0,True,0.7522309276748866,True,0.990802000620399,5
prdoc_6d8e56c2d8a28ec78362,pallets/flask,3785,Add python 3.9 to CI.,2568,361,6,Critical,71.7356,Critical,78.0,True,0.4922992421592331,True,0.7254381030943419,6
prdoc_04fc67667308080af911,pallets/flask,4272,docs/debugging.rst typo fix,3007,438,6,Critical,71.721,Critical,88.0,True,0.2739524071469808,False,,6
prdoc_da535d7432cb8775bdc4,pallets/flask,5068,Documentation for Flask,3242,474,6,Critical,71.4379,Critical,88.0,True,0.2881033504718046,False,,6
prdoc_9eb01be2297d670214e1,pallets/flask,3670,revising/consolidating error docs,3101,442,6,Critical,71.0967,Critical,88.0,True,0.3051669502432287,False,,6
prdoc_3ddd4e7badcdcccf372a,pallets/flask,3183,Pre-commit: Black,2615,354,6,Critical,71.095,Critical,98.0,True,0.634973033126887,True,0.0062958695168265,7
prdoc_ac1ee77075fdfdefc5a7,pallets/flask,5767,Collapsable posts,3302,486,6,Critical,71.0674,Critical,88.0,True,0.3066305190494906,False,,6
prdoc_2cdb2f5daac6d36b4a80,pallets/flask,5602,Sept 6th demo,3294,488,6,Critical,70.5081,Critical,88.0,True,0.3345972274943751,False,,6
prdoc_808f9cbafcbf69dea721,pallets/flask,5127,Split the App and Blueprint into Sansio and IO parts,3076,475,6,Critical,69.2402,Critical,72.0,True,0.6089470818551215,True,0.9746098546861076,4
prdoc_8745622425869b88e990,pallets/flask,5706,Add PR trigger to workflow,3305,490,6,Critical,68.6758,Critical,78.0,True,0.1012078219872587,False,,6
prdoc_0ea2057bf5048e45d25d,pallets/flask,3616,add readthedocs config,2456,343,6,Critical,67.6501,Critical,88.0,True,0.5922094129865796,True,0.152954579963068,6
prdoc_4c9547a20c2ffd0817e5,pallets/flask,3184,Upload test results for Azure Pipelines,2679,366,6,Critical,66.3071,Critical,78.0,True,0.2196441455873162,False,,6
prdoc_9061fcb9a8fb3588cf2c,pallets/flask,5772,newStaging,3186,471,6,Critical,65.9559,Critical,80.0,True,0.3022027740657465,False,,5
