vector_position,chunk_id,document_id,repository,pr_number,section_name,review_priority,original_character_count,embedding_character_count,template_text_removed
0,prchunk_43245663e9bd58dd8141,prdoc_771bb76adc7750ca0ebc,pallets/flask,5844,PR identity,Critical,262,262,False
1,prchunk_47445f21984594b4a0c2,prdoc_771bb76adc7750ca0ebc,pallets/flask,5844,PR description,Critical,1184,762,True
2,prchunk_a08a1ccb0fea3d14dde2,prdoc_771bb76adc7750ca0ebc,pallets/flask,5844,PR description,Critical,216,216,False
3,prchunk_b8cb17f0a3eff9eadfd9,prdoc_771bb76adc7750ca0ebc,pallets/flask,5844,Change evidence,Critical,404,404,False
4,prchunk_7662e412a3bd619ab62d,prdoc_771bb76adc7750ca0ebc,pallets/flask,5844,Predictive intelligence,Critical,430,430,False
5,prchunk_985b970ba8efeae270b3,prdoc_771bb76adc7750ca0ebc,pallets/flask,5844,Deterministic policy intelligence,Critical,996,996,False
6,prchunk_dbec4b66e227f94e7859,prdoc_771bb76adc7750ca0ebc,pallets/flask,5844,Unified review priority,Critical,306,306,False
7,prchunk_d7fe55941eb2c3d6b561,prdoc_70dcfe694d641b6da04a,pallets/flask,4397,PR identity,Critical,279,279,False
8,prchunk_4a0bb6238153561df355,prdoc_70dcfe694d641b6da04a,pallets/flask,4397,PR description,Critical,715,715,False
9,prchunk_772df6e8b34a3e742dd5,prdoc_70dcfe694d641b6da04a,pallets/flask,4397,Change evidence,Critical,404,404,False
10,prchunk_1d56aed7b6cdc2e095c3,prdoc_70dcfe694d641b6da04a,pallets/flask,4397,Predictive intelligence,Critical,426,426,False
11,prchunk_488f7cc38b37acdc3882,prdoc_70dcfe694d641b6da04a,pallets/flask,4397,Deterministic policy intelligence,Critical,754,754,False
12,prchunk_8989185cd31b8acbe7f0,prdoc_70dcfe694d641b6da04a,pallets/flask,4397,Unified review priority,Critical,306,306,False
13,prchunk_d535ae833eca5f065086,prdoc_1908e0b55ad11421c346,pallets/flask,4139,PR identity,Critical,274,274,False
14,prchunk_0ec96661633eba12c995,prdoc_1908e0b55ad11421c346,pallets/flask,4139,PR description,Critical,653,653,False
15,prchunk_566ceb5a25ca4dccc755,prdoc_1908e0b55ad11421c346,pallets/flask,4139,Change evidence,Critical,405,405,False
16,prchunk_e530498e9c05098067ba,prdoc_1908e0b55ad11421c346,pallets/flask,4139,Predictive intelligence,Critical,426,426,False
17,prchunk_8cc1001714fb488df006,prdoc_1908e0b55ad11421c346,pallets/flask,4139,Deterministic policy intelligence,Critical,754,754,False
18,prchunk_78ea6c25df053f232061,prdoc_1908e0b55ad11421c346,pallets/flask,4139,Unified review priority,Critical,306,306,False
19,prchunk_692d09c8a1c6f03c7d13,prdoc_d838c75e7379dbb6f883,pallets/flask,5798,PR identity,Critical,269,269,False
20,prchunk_c945a74b8128e98308f0,prdoc_d838c75e7379dbb6f883,pallets/flask,5798,PR description,Critical,183,183,False
21,prchunk_03215333006aef4dd26e,prdoc_d838c75e7379dbb6f883,pallets/flask,5798,Change evidence,Critical,404,404,False
22,prchunk_0db930e03d8c24044342,prdoc_d838c75e7379dbb6f883,pallets/flask,5798,Predictive intelligence,Critical,426,426,False
23,prchunk_c47992b2a6a40e3241f6,prdoc_d838c75e7379dbb6f883,pallets/flask,5798,Deterministic policy intelligence,Critical,748,748,False
24,prchunk_1c801898c65f9ffcdb41,prdoc_d838c75e7379dbb6f883,pallets/flask,5798,Unified review priority,Critical,306,306,False
25,prchunk_12724faf64a097db8baf,prdoc_69e9ee304279e3c60fe0,pallets/flask,5017,PR identity,Critical,266,266,False
26,prchunk_abf791637896af61da6c,prdoc_69e9ee304279e3c60fe0,pallets/flask,5017,PR description,Critical,1031,524,True
27,prchunk_1ed234d5e8b41e57c587,prdoc_69e9ee304279e3c60fe0,pallets/flask,5017,PR description,Critical,237,237,False
28,prchunk_8fb2ff03fb6decb16f63,prdoc_69e9ee304279e3c60fe0,pallets/flask,5017,Change evidence,Critical,411,411,False
29,prchunk_11729f5ff5985ca9da99,prdoc_69e9ee304279e3c60fe0,pallets/flask,5017,Predictive intelligence,Critical,474,474,False
30,prchunk_608427704b4094107c96,prdoc_69e9ee304279e3c60fe0,pallets/flask,5017,Deterministic policy intelligence,Critical,971,971,False
31,prchunk_ce6c66daebd036fc7d5f,prdoc_69e9ee304279e3c60fe0,pallets/flask,5017,Unified review priority,Critical,306,306,False
